Dataset	Random-mean	P-value
0	0.5148059	2.634574743476168e-18
1	0.5156423	4.084789154114989e-18
2	0.5170018	8.295924731596624e-18
3	0.5109002	3.309641170772744e-19
4	0.5096778	1.7137146872793021e-19
5	0.5036963	6.443675151152595e-21
6	0.5224441	1.339710354677748e-16
7	0.520769	5.743937649019097e-17
8	0.5108233	3.175798012409733e-19
9	0.5202389	4.3859168936326605e-17
10	0.5068654	3.7100694211450186e-20
11	0.5084463	8.792697695382867e-20
12	0.5142657	1.9825932169977694e-18
13	0.5119201	5.713023207587594e-19
14	0.5100244	2.066200056764391e-19
15	0.5116356	4.907500529701894e-19
16	0.5126849	8.586332830152172e-19
17	0.5075264	5.3264086534967236e-20
18	0.5157803	4.390454629642751e-18
19	0.5087518	1.0379812113065953e-19
20	0.5138262	1.5721902964123522e-18
21	0.515195	3.2316398425199844e-18
22	0.5097361	1.7685313711875426e-19
23	0.5154905	3.772837688134749e-18
24	0.517008	8.322670362088865e-18
25	0.5192573	2.655692555510202e-17
26	0.5213342	7.650971578813973e-17
27	0.5183824	1.6940981492244078e-17
28	0.51157	4.738344173793748e-19
29	0.5114414	4.423310972995445e-19
30	0.5174917	1.0694745533335529e-17
31	0.5105581	2.7540377637753006e-19
32	0.5091562	1.2924470129800745e-19
33	0.516307	5.779664196954601e-18
34	0.5135081	1.3287698689219013e-18
35	0.5099591	1.9947065507247247e-19
36	0.5138085	1.5575550920981147e-18
37	0.5151369	3.134646536590359e-18
38	0.508816	1.0747806203357092e-19
39	0.5130302	1.0314724944592357e-18
40	0.5191378	2.4978616126307578e-17
41	0.5183597	1.674402686502724e-17
42	0.514237	1.9528247051411488e-18
43	0.5120307	6.0603656843344085e-19
44	0.5154586	3.710343477549675e-18
45	0.5196407	3.231670517234102e-17
46	0.5112423	3.976015303676613e-19
47	0.5225497	1.4127831909527373e-16
48	0.5064276	2.9179092658563487e-20
49	0.5084809	8.959627697568771e-20
50	0.5138069	1.5562387999720297e-18
51	0.5104613	2.614331326628864e-19
52	0.5083327	8.265992913391338e-20
53	0.517153	8.973077204063278e-18
54	0.5081512	7.488598689041301e-20
55	0.5078219	6.258555656947377e-20
56	0.5115223	4.618982192403037e-19
57	0.5094974	1.5545312165281765e-19
58	0.5121971	6.622705995530433e-19
59	0.516987	8.232423539097536e-18
60	0.5127495	8.886283772723917e-19
61	0.5177222	1.2049369204017436e-17
62	0.51456	2.314988941058279e-18
63	0.5102202	2.296136601184339e-19
64	0.5116183	4.862318831155039e-19
65	0.5164987	6.3866118425197505e-18
66	0.5114456	4.43326436119228e-19
67	0.5093766	1.456216742968504e-19
68	0.5117923	5.336149888861587e-19
69	0.5122664	6.87186448400742e-19
70	0.5066523	3.300939874953949e-20
71	0.5118121	5.392884744874799e-19
72	0.5102812	2.372819306527912e-19
73	0.5195569	3.096065788603576e-17
74	0.5106064	2.826486179117141e-19
75	0.5135536	1.3611534926943812e-18
76	0.5120347	6.073312019616488e-19
77	0.5125378	7.940199202054232e-19
78	0.5100254	2.067314401334349e-19
79	0.5143581	2.081516984372178e-18
80	0.5127803	9.03292323936192e-19
81	0.5090169	1.1984903298263463e-19
82	0.5043346	9.187998747612421e-21
83	0.5127723	8.99460637251617e-19
84	0.514443	2.176709452388718e-18
85	0.5098166	1.8470863251617864e-19
86	0.5091031	1.2558007934902196e-19
87	0.5087281	1.0247141382202124e-19
88	0.5046378	1.0870379774287386e-20
89	0.5188157	2.11716342324029e-17
90	0.5056097	1.8602973714230777e-20
91	0.5127264	8.777852904332457e-19
92	0.5209055	6.156258410713801e-17
93	0.5101737	2.2393348373614315e-19
94	0.5091419	1.2824751277526392e-19
95	0.5110473	3.581415657306287e-19
96	0.5105004	2.669896782785132e-19
97	0.5170508	8.50964259380483e-18
98	0.5153421	3.490690475009222e-18
99	0.5200301	3.9429145758805595e-17
100	0.5153899	3.579212678307871e-18
101	0.5143534	2.0763692616682323e-18
102	0.5164038	6.078652046808162e-18
103	0.5119831	5.908385556076669e-19
104	0.5049031	1.2590726653916022e-20
105	0.5117861	5.31850621774951e-19
106	0.507489	5.2187005980077245e-20
107	0.5104495	2.5977882783093285e-19
108	0.5121753	6.546192232562727e-19
109	0.5153924	3.583903134850277e-18
110	0.5146208	2.3902438332106715e-18
111	0.5132749	1.174390729023953e-18
112	0.5101987	2.269698240888083e-19
113	0.521239	7.290781200607382e-17
114	0.507138	4.30739965769072e-20
115	0.5057461	2.005577964345982e-20
116	0.5110284	3.5452966479831805e-19
117	0.5149095	2.781949540820729e-18
118	0.5111006	3.685249392996853e-19
119	0.5081842	7.624344715462023e-20
120	0.5238813	2.7521337759445305e-16
121	0.5116862	5.042050047560515e-19
122	0.5146496	2.4267309020391802e-18
123	0.5124838	7.715286423792424e-19
124	0.5160417	5.032777797747386e-18
125	0.5113812	4.2830535230952953e-19
126	0.4976166	2.0774587352082674e-22
127	0.5123683	7.255176672764686e-19
128	0.5035834	6.051026068865594e-21
129	0.5103994	2.528697142700756e-19
130	0.5134998	1.322945314461791e-18
131	0.5151879	3.2196295102862428e-18
132	0.514674	2.458074453556548e-18
133	0.5044701	9.905325452888976e-21
134	0.5183133	1.634845914703612e-17
135	0.5113511	4.2145852319166395e-19
136	0.5150791	3.041013369907099e-18
137	0.5088661	1.1043930411684924e-19
138	0.5037311	6.569720567238531e-21
139	0.5195997	3.164606362164726e-17
140	0.5195891	3.147492871666561e-17
141	0.5157507	4.323040890109531e-18
142	0.5097757	1.8067521002736354e-19
143	0.5138121	1.560520779513791e-18
144	0.5135093	1.3296140705746063e-18
145	0.506175	2.5397004925308763e-20
146	0.522742	1.5561068790923508e-16
147	0.5175469	1.1004749600541952e-17
148	0.506688	3.3662199088124446e-20
149	0.5112892	4.0771692328117326e-19
150	0.5105388	2.7256053305794806e-19
151	0.5082723	7.998801889828628e-20
152	0.5159616	4.826655749049758e-18
153	0.512368	7.254017681177418e-19
154	0.5224508	1.3442335305262582e-16
155	0.5056807	1.9345685401309632e-20
156	0.516707	7.117724257473737e-18
157	0.5076648	5.744487680934857e-20
158	0.5144415	2.1749907936914636e-18
159	0.5171051	8.75284241438541e-18
160	0.5158726	4.6074164566644734e-18
161	0.5110881	3.660633745010742e-19
162	0.5066076	3.220968647230319e-20
163	0.5115195	4.6120688710353015e-19
164	0.5141711	1.8861348059708197e-18
165	0.5082587	7.939829888126282e-20
166	0.5153359	3.479368398574547e-18
167	0.512213	6.679069617427309e-19
168	0.5091549	1.2915373136182565e-19
169	0.5096349	1.6744557813258168e-19
170	0.5132813	1.1783805057615624e-18
171	0.5124014	7.384184410879928e-19
172	0.5074591	5.1341461736987626e-20
173	0.5138316	1.5766823089996848e-18
174	0.512573	8.090290865744056e-19
175	0.5155206	3.832760105454109e-18
176	0.5258754	7.396026346690052e-16
177	0.50933	1.4199592556270892e-19
178	0.5116942	5.063654482174339e-19
179	0.5120792	6.219199695656056e-19
180	0.5123056	7.016888609177275e-19
181	0.5079724	6.7936808291917e-20
182	0.5140672	1.7855396664276136e-18
183	0.5099869	2.0248387913363072e-19
184	0.5053914	1.6491882021387315e-20
185	0.512861	9.428595193513269e-19
186	0.5156352	4.0696455282739786e-18
187	0.5112805	4.0582144988868426e-19
188	0.506799	3.577473311597036e-20
189	0.5122735	6.897909741781257e-19
190	0.5205844	5.2294399672807575e-17
191	0.5116876	5.045824224714324e-19
192	0.5116413	4.922477830449414e-19
193	0.5120326	6.066511783389459e-19
194	0.5159629	4.8299334210898876e-18
195	0.5095596	1.6076888424131402e-19
196	0.5155351	3.8619615071189715e-18
197	0.5205766	5.208734146702237e-17
198	0.5142907	2.0088896569243916e-18
199	0.5202541	4.420023301295624e-17
200	0.5127231	8.762470074848962e-19
201	0.5125664	8.061936340594389e-19
202	0.5095008	1.5573914270031665e-19
203	0.518814	2.1153147898184875e-17
204	0.5091829	1.3112718386444038e-19
205	0.5092569	1.3648766398931875e-19
206	0.5158594	4.5757502996960846e-18
207	0.5165236	6.46993909234403e-18
208	0.5195776	3.1290298243331503e-17
209	0.5150572	3.006264046454918e-18
210	0.5181184	1.4785411347972798e-17
211	0.5148497	2.695914685125228e-18
212	0.5175256	1.0884089255599342e-17
213	0.5064271	2.91710808772555e-20
214	0.5151514	3.158579943794573e-18
215	0.5146998	2.4916521996584282e-18
216	0.5156338	4.066666024252103e-18
217	0.5092143	1.3337581172287738e-19
218	0.5072753	4.643395161157135e-20
219	0.5114086	4.346337074838955e-19
220	0.5175534	1.1041833615969865e-17
221	0.5080385	7.042805751865026e-20
222	0.5135073	1.3282073625725498e-18
223	0.5075579	5.418831719228538e-20
224	0.5195397	3.068936745412816e-17
225	0.5054571	1.7100947785419427e-20
226	0.5097032	1.7373870996820414e-19
227	0.5096362	1.6756322535345892e-19
228	0.5136775	1.4533497491845206e-18
229	0.5106082	2.829222288600093e-19
230	0.5104453	2.5919251238221994e-19
231	0.5120653	6.173261570717036e-19
232	0.5124277	7.488305843192578e-19
233	0.5079394	6.672594065547788e-20
234	0.5098846	1.916128514178145e-19
235	0.5054676	1.7200331615109138e-20
236	0.5204571	4.901458128819057e-17
237	0.5154268	3.6490647953197685e-18
238	0.5126646	8.494161942125262e-19
239	0.5182609	1.591284378255283e-17
240	0.516266	5.657456593348941e-18
241	0.5086223	9.67507480233758e-20
242	0.5145855	2.3462616283051366e-18
243	0.5197914	3.490468382409984e-17
244	0.5145421	2.2932834963672515e-18
245	0.5050923	1.3979871567848504e-20
246	0.5114269	4.389117832109046e-19
247	0.5069221	3.8271414315056125e-20
248	0.5142037	1.9188389545854063e-18
249	0.5105887	2.7997202757874485e-19
250	0.5114132	4.357051702784903e-19
251	0.5124001	7.379075062862158e-19
252	0.5169172	7.939359956878948e-18
253	0.517874	1.3032784444244473e-17
254	0.5142888	2.0068790655468766e-18
255	0.5150628	3.0151121479739618e-18
256	0.5098333	1.86381054601393e-19
257	0.5083211	8.214001145030286e-20
258	0.5125099	7.823195584419322e-19
