Dataset	Random-mean	P-value
0	0.1296366	4.918426512005305e-05
1	0.127282	1.94432010056383e-05
2	0.1282401	2.850343770532895e-05
3	0.1305021	6.847794474760072e-05
4	0.12987100000000001	5.3825279427593965e-05
5	0.1262928	1.3007680370516009e-05
6	0.1292929	4.306153757125884e-05
7	0.129808	5.253858566213964e-05
8	0.1280237	2.6159465558052133e-05
9	0.1288762	3.6608839429055785e-05
10	0.1261094	1.2064109387307384e-05
11	0.1306298	7.187109475938705e-05
12	0.12396	4.901446562243671e-06
13	0.131696	0.0001071234960068656
14	0.1280725	2.6671421408874937e-05
15	0.1265607	1.4513835945008195e-05
16	0.1275917	2.2018415217913466e-05
17	0.1301213	5.9239237252573246e-05
18	0.1291097	4.010153592939642e-05
19	0.1254139	9.04708339531396e-06
20	0.1280616	2.6556248488441437e-05
21	0.1256899	1.014588843162631e-05
22	0.1266154	1.4841225785462827e-05
23	0.1273829	2.024884278680439e-05
24	0.1288888	3.678967161600184e-05
25	0.1333168	0.00019337627182008525
26	0.1259528	1.1310605952140378e-05
27	0.129973	5.5972189518267926e-05
28	0.13106980000000001	8.482516819490797e-05
29	0.1285059	3.1657018438406e-05
30	0.12917700000000001	4.1165676260494296e-05
31	0.1276731	2.274749496362328e-05
32	0.1262174	1.2611509539835853e-05
33	0.1289842	3.818669040616307e-05
34	0.1275639	2.1774567806005615e-05
35	0.1260999	1.2017062016963392e-05
36	0.1298083	5.2544642924252035e-05
37	0.1292692	4.266722712617151e-05
38	0.124282	5.621447077078923e-06
39	0.130172	6.039711510260421e-05
40	0.1273861	2.0274907753834424e-05
41	0.1283197	2.9414981616052843e-05
42	0.1273391	1.9895279338094893e-05
43	0.1295774	4.807377693786782e-05
44	0.1262618	1.2843377964931695e-05
45	0.1265651	1.4539913219315761e-05
46	0.1296919	5.02435908848198e-05
47	0.1251648	8.154050640501904e-06
48	0.1289322	3.7419069988901266e-05
49	0.1212124	1.4766007320089496e-06
50	0.1312113	8.94413457017645e-05
51	0.1262045	1.2544896877118602e-05
52	0.1262177	1.261306269157285e-05
53	0.1277898	2.3833055417123046e-05
54	0.1299799	5.612032168798346e-05
55	0.1244585	6.058116370037796e-06
56	0.1269083	1.671793741702676e-05
57	0.1249652	7.500092470746368e-06
58	0.1331934	0.00018499904326927698
59	0.125624	9.87246547207014e-06
60	0.1312382	9.034541287717268e-05
61	0.1256001	9.775058292388557e-06
62	0.1314344	9.720605725980377e-05
63	0.1263788	1.3474082088784936e-05
64	0.1263342	1.3230242211937199e-05
65	0.1295613	4.777591745694569e-05
66	0.130918	8.012440054391925e-05
67	0.128298	2.9163764887276626e-05
68	0.12749270000000001	2.1161738632517755e-05
69	0.1300769	5.824258122874869e-05
70	0.128382	3.01477298099028e-05
71	0.1242095	5.4509766505480225e-06
72	0.1297594	5.1566022253919526e-05
73	0.1232717	3.6475436229785207e-06
74	0.1274892	2.113204225681781e-05
75	0.1277676	2.3622811968511262e-05
76	0.1305579	6.994148719386236e-05
77	0.1303038	6.350852720127733e-05
78	0.1229674	3.197398159528404e-06
79	0.1270135	1.7445769646041014e-05
80	0.1282265	2.8350415290195066e-05
81	0.1263352	1.323566290647909e-05
82	0.127076	1.789241502640456e-05
83	0.1230855	3.3653636870042247e-06
84	0.1279127	2.502965492682168e-05
85	0.1274696	2.0966476431054224e-05
86	0.1294952	4.657131966469445e-05
87	0.1267622	1.5755126237463273e-05
88	0.1240749	5.147561400554556e-06
89	0.1229224	3.1355440562787704e-06
90	0.1285501	3.221265958835752e-05
91	0.1280911	2.6869055800366135e-05
92	0.1273457	1.9948176146176746e-05
93	0.1310206	8.327369492051603e-05
94	0.1248024	7.004240934610963e-06
95	0.1279907	2.5818592680433478e-05
96	0.1273888	2.0296924987940033e-05
97	0.1291667	4.100109014726931e-05
98	0.1281283	2.7268522224231215e-05
99	0.1267573	1.5723771926305e-05
100	0.1262971	1.3030628915490962e-05
101	0.12857470000000001	3.252592016968636e-05
102	0.1296596	4.9622247631412934e-05
103	0.1272077	1.886961906401486e-05
104	0.1263863	1.3515506550819748e-05
105	0.1275756	2.1876878404050142e-05
106	0.1254463	9.169906700121364e-06
107	0.1272728	1.9371285807125018e-05
108	0.1299104	5.4645132434415156e-05
109	0.1285608	3.234856032478125e-05
110	0.1260195	1.1625864138161589e-05
111	0.1283738	3.0050299843899996e-05
112	0.1276866	2.2870617079321794e-05
113	0.1275777	2.1895290351901044e-05
114	0.1254953	9.358697985088763e-06
115	0.125521	9.45920024429752e-06
116	0.1283381	2.9629609668319183e-05
117	0.1249683	7.509853363195229e-06
118	0.128461	3.1101935160436074e-05
119	0.1291348	4.049531626694153e-05
120	0.1278297	2.4215421434693462e-05
121	0.1279122	2.5024672612333468e-05
122	0.1309182	8.013042820672485e-05
123	0.127221	1.8971090568393685e-05
124	0.1266639	1.5137403753372015e-05
125	0.128146	2.746057328619814e-05
126	0.1261969	1.2505809961119662e-05
127	0.1266755	1.5209075170795213e-05
128	0.126434	1.3781831506485081e-05
129	0.1279233	2.5135502946052206e-05
130	0.1300544	5.7743619531429636e-05
131	0.1290846	3.971140157869677e-05
132	0.1290968	3.9900575255071294e-05
133	0.1303604	6.489087054258489e-05
134	0.1257122	1.0240043941581805e-05
135	0.1315893	0.00010296802329283665
136	0.1291411	4.059472975377248e-05
137	0.1252864	8.578884821988441e-06
138	0.1304343	6.673875713764813e-05
139	0.1248499	7.1455691431025835e-06
140	0.1299998	5.654963220607162e-05
141	0.1297841	5.205815028572785e-05
142	0.1299877	5.6288223891580847e-05
143	0.1302491	6.219918494152579e-05
144	0.1256194	9.85364568059919e-06
145	0.1297794	5.1964163943414683e-05
146	0.1314314	9.709753662283872e-05
147	0.12827	2.8842635305335302e-05
148	0.1246244	6.4981076610647e-06
149	0.1267538	1.5701412522011526e-05
150	0.1257793	1.0528429065335827e-05
151	0.127237	1.9093852296571164e-05
152	0.1298096	5.2570898729902856e-05
153	0.1285844	3.265023770900293e-05
154	0.1284972	3.15487312677232e-05
155	0.1273316	1.9835331931804138e-05
156	0.1273347	1.9860089247992097e-05
157	0.1239378	4.855215382600532e-06
158	0.1273024	1.9603575830818543e-05
159	0.128696	3.411348485127014e-05
160	0.1253117	8.669903246937434e-06
161	0.1270016	1.7361944583097787e-05
162	0.1282046	2.8105649065834353e-05
163	0.1299159	5.476051828260378e-05
164	0.127668	2.2701147003475736e-05
165	0.1219243	2.025452650725803e-06
166	0.1255983	9.767759586077183e-06
167	0.1223887	2.4843573540898465e-06
168	0.1264088	1.3640512201694918e-05
169	0.1289974	3.838392036241645e-05
170	0.1313732	9.501480023071609e-05
171	0.127536	2.1532436392242122e-05
172	0.12857760000000001	3.256303993081494e-05
173	0.1293809	4.4556192559221896e-05
174	0.1259641	1.1363433380566407e-05
175	0.1265854	1.4660805625349806e-05
176	0.1280258	2.618130210993317e-05
177	0.1287636	3.502997951435528e-05
178	0.1283689	2.9992222824258123e-05
179	0.1251446	8.08546049812444e-06
180	0.1267291	1.5544481012674315e-05
181	0.1306523	7.248523791915723e-05
182	0.1272323	1.9057712550312818e-05
183	0.1327145	0.0001556190950626114
184	0.13084490000000001	7.794984703103691e-05
185	0.128002	2.5934836008761973e-05
186	0.1280024	2.5938959950993178e-05
187	0.1210739	1.387960078574855e-06
188	0.1280874	2.6829630491034425e-05
189	0.1269846	1.724286187893762e-05
190	0.1245453	6.284628996442832e-06
191	0.128546	3.216072977192562e-05
192	0.1247445	6.835593427355873e-06
193	0.1279296	2.5198614787401338e-05
194	0.1282052	2.811232806295464e-05
195	0.1261558	1.2296443227371682e-05
196	0.1266969	1.5342148867336183e-05
197	0.1247748	6.923357515112933e-06
198	0.1300398	5.742202376435877e-05
199	0.127343	1.9926520329353323e-05
200	0.1276425	2.2470755951750247e-05
201	0.1257869	1.0561578763355366e-05
202	0.1276354	2.2407006119485775e-05
203	0.1290072	3.853097547423533e-05
204	0.1276943	2.2941126850178974e-05
205	0.1261984	1.2513515241185526e-05
206	0.1278231	2.415177145592423e-05
207	0.1253363	8.759290345753257e-06
208	0.1260753	1.1896048814794381e-05
209	0.1257989	1.0614123982974141e-05
210	0.1300034	5.662762890891997e-05
211	0.1287478	3.481369247652663e-05
212	0.1272367	1.9091543549765172e-05
213	0.1294088	4.5040279645588616e-05
214	0.13113	8.676078937807028e-05
215	0.1249506	7.454285158345148e-06
216	0.1285916	3.274280722389556e-05
217	0.1285469	3.2172122162498775e-05
218	0.126518	1.4263080320165826e-05
219	0.1310373	8.379727266477941e-05
