Dataset	Random-mean	P-value
0	0.52347874	1.4929399295009073e-29
1	0.51662073	1.6812134583029377e-32
2	0.51900227	1.8181633301753801e-31
3	0.51587157	7.910561175099227e-33
4	0.51900299	1.8194658436292569e-31
5	0.52110407	1.4565812124859624e-30
6	0.51777004	5.320295412374951e-32
7	0.51698117	2.414283672820194e-32
8	0.51680006	2.0130153255813404e-32
9	0.51740212	3.6816113735177284e-32
10	0.51908469	1.9734624746715366e-31
11	0.52177579	2.8207029140522232e-30
12	0.52544853	1.0089344117881459e-28
13	0.51077701	4.4207930631493013e-35
14	0.51706848	2.63525777496961e-32
15	0.52241959	5.3042149027916656e-30
16	0.52089517	1.185479456574706e-30
17	0.51960263	3.3008519720805443e-31
18	0.51624934	1.1572733810207109e-32
19	0.51615765	1.0552523281043762e-32
20	0.5155531	5.737411416510897e-33
21	0.5183213	9.226659234173081e-32
22	0.51860832	1.2283311571237905e-31
23	0.51944995	2.836776111630097e-31
24	0.52456558	4.294127182642165e-29
25	0.52119089	1.5866526750189156e-30
26	0.51452878	2.0362640144018017e-33
27	0.51343165	6.682303666898015e-34
28	0.51541166	4.9740075114950545e-33
29	0.51841566	1.013716398333047e-31
30	0.51763843	4.664088512506503e-32
31	0.51981835	4.088087294058254e-31
32	0.52131245	1.7884155676681832e-30
33	0.51571782	6.774648868987495e-33
34	0.52254077	5.972462005769432e-30
35	0.5229941	9.304129541919636e-30
36	0.51959981	3.29163070553556e-31
37	0.51917321	2.154989213031677e-31
38	0.51592751	8.369325907926361e-33
39	0.52012339	5.530015054199528e-31
40	0.52129197	1.7527175633310807e-30
41	0.51836069	9.596398175039299e-32
42	0.51725131	3.165366886975204e-32
43	0.52012744	5.552226003842249e-31
44	0.51866188	1.2956517596682806e-31
45	0.52244186	5.421178356187446e-30
46	0.51875789	1.4256526601767198e-31
47	0.52321745	1.1571210197968111e-29
48	0.51897279	1.765622339234046e-31
49	0.51964304	3.435850639007286e-31
50	0.51943097	2.7838261068119307e-31
51	0.51452898	2.0366767592457105e-33
52	0.51724039	3.130915878887766e-32
53	0.52224835	4.4848835065845314e-30
54	0.51793293	6.261059703386213e-32
55	0.52123346	1.6545911582893907e-30
56	0.52214253	4.042884510191023e-30
57	0.5203748499999999	7.091734784789172e-31
58	0.52352407	1.5603676079186944e-29
59	0.519773	3.9083975036128e-31
60	0.51792878	6.235149918764865e-32
61	0.51996238	4.715128927451039e-31
62	0.51792589	6.217169808343996e-32
63	0.52006031	5.195273592297184e-31
64	0.52375946	1.962377261119751e-29
65	0.51714787	2.8536166122967267e-32
66	0.51947163	2.8984862934688454e-31
67	0.51919873	2.210344459571912e-31
68	0.51920629	2.2270129673854235e-31
69	0.51927034	2.373348259550208e-31
70	0.51804878	7.029258833367837e-32
71	0.51980329	4.027521274452915e-31
72	0.52331448	1.2720073448402064e-29
73	0.5174587	3.8962229063458844e-32
74	0.51877112	1.4445564020641624e-31
75	0.51774261	5.176345996771662e-32
76	0.52021158	6.034289726991574e-31
77	0.51792872	6.234776103479933e-32
78	0.51872302	1.3770003349393916e-31
79	0.51852314	1.1283690148285274e-31
80	0.51817241	7.952782873362974e-32
81	0.51874453	1.4068131139947535e-31
82	0.52137498	1.901949349665623e-30
83	0.52040688	7.31987623724762e-31
84	0.51667723	1.779404230619643e-32
85	0.51684159	2.098718692525991e-32
86	0.52431733	3.3750594743447484e-29
87	0.51429379	1.6045928516928976e-33
88	0.52355138	1.602444853845075e-29
89	0.51892499	1.6836243462867869e-31
90	0.51863086	1.256226902904145e-31
91	0.51748103	3.984310542256892e-32
92	0.51821311	8.282503446367529e-32
93	0.52368799	1.8304877845265206e-29
94	0.52023186	6.156578589531305e-31
95	0.520687	9.653437564938347e-31
96	0.51833302	9.335162802362565e-32
97	0.51454909	2.07860655110313e-33
98	0.51255702	2.7394375215484784e-34
99	0.52045753	7.695644309817042e-31
100	0.5172017	3.0118323206122366e-32
101	0.52431254	3.3594026609594145e-29
102	0.51527784	4.345149797922525e-33
103	0.5159475	8.539611490612115e-33
104	0.51848811	1.0896496573425124e-31
105	0.52199696	3.504849141169195e-30
106	0.51931759	2.4874005601466835e-31
107	0.517833	5.66595473521146e-32
108	0.51711992	2.774759564211931e-32
109	0.5138398	1.0120290660373544e-33
110	0.51697004	2.387474495868337e-32
111	0.52279599	7.66640278937383e-30
112	0.5121015	1.719688330080745e-34
113	0.51998398	4.817084200553592e-31
114	0.52306299	9.951682905417892e-30
115	0.52275548	7.368656477896633e-30
116	0.51919866	2.2101907033532404e-31
117	0.51595487	8.603259979736648e-33
118	0.5208673	1.1533339865688273e-30
119	0.51878991	1.4718342653449035e-31
120	0.52041911	7.40890204732926e-31
121	0.51727884	3.2539046705716426e-32
122	0.52111591	1.4736741867542249e-30
123	0.51923719	2.2964532945901835e-31
124	0.52639753	2.516587858725092e-28
125	0.51467666	2.365363079463783e-33
126	0.51702866	2.5320837559915544e-32
127	0.51415021	1.3870655056277196e-33
128	0.52244414	5.4332969630612584e-30
129	0.51959598	3.2791478427873655e-31
130	0.5199014	4.438741419197998e-31
131	0.52027839	6.4465594273660175e-31
132	0.52281487	7.80923086479368e-30
133	0.51630488	1.2237882864009206e-32
134	0.52121575	1.6259825356834233e-30
135	0.52320508	1.1432372341969612e-29
136	0.52220695	4.306505609270165e-30
137	0.52078264	1.0609117568677453e-30
138	0.52358808	1.6607729405127122e-29
139	0.51802391	6.856804185919196e-32
140	0.51927568	2.385972458632452e-31
141	0.52158419	2.336561839810848e-30
142	0.51766171	4.7739901054959527e-32
143	0.52082159	1.1024797074697421e-30
144	0.51862346	1.246999725449775e-31
145	0.5167203	1.8580730315173567e-32
146	0.51667962	1.78368139430081e-32
147	0.52144961	2.0468783547875252e-30
148	0.52109354	1.4415453199451981e-30
149	0.51987361	4.318194273583087e-31
150	0.51995718	4.690906728168299e-31
151	0.51900353	1.8204433383517914e-31
152	0.52188543	3.14139360365438e-30
153	0.520481	7.87621732483396e-31
154	0.51980722	4.043239669638957e-31
155	0.52311839	1.0504816062997417e-29
156	0.51960602	3.3119711584552237e-31
157	0.52011033	5.458992348390664e-31
158	0.51848477	1.086027699203692e-31
159	0.51822478	8.379531340210584e-32
160	0.52347379	1.4857547995220748e-29
161	0.52267911	6.838290053676906e-30
162	0.51925147	2.3292683809208093e-31
163	0.51786508	5.850587509992957e-32
164	0.51595341	8.590613773091354e-33
165	0.5162446	1.1517663374937255e-32
166	0.52454074	4.191938241125537e-29
167	0.5198536	4.233418743489214e-31
168	0.51661917	1.678580313025385e-32
169	0.52122604	1.6425444543994218e-30
170	0.52029721	6.567674053497797e-31
171	0.51602926	9.272756236192114e-33
172	0.51802636	6.873604308774861e-32
173	0.51729107	3.2940239195982505e-32
174	0.51885248	1.5664195844074817e-31
175	0.52264067	6.585889295621021e-30
176	0.5195807	3.2298140896139816e-31
177	0.51911561	2.0350705227499437e-31
178	0.5192164	2.2494995307609734e-31
179	0.51344135	6.74860080119059e-34
180	0.5163151	1.2364361798749167e-32
181	0.51298021	4.218944679630405e-34
182	0.5165936	1.6360010895681697e-32
183	0.51706047	2.614172802726896e-32
184	0.51299137	4.267223398018822e-34
185	0.52013758	5.608225933008687e-31
186	0.5225517	6.0367055709475276e-30
187	0.51837223	9.707487695506844e-32
188	0.51970963	3.670403608123391e-31
189	0.52381292	2.0671752110759668e-29
190	0.52077057	1.048349953294182e-30
191	0.52385161	2.1464756518263398e-29
192	0.52147835	2.105577164066835e-30
193	0.51980081	4.017633609445619e-31
194	0.51830945	9.118228820661967e-32
195	0.51163652	1.0682570390424386e-34
196	0.52013286	5.582089297598364e-31
197	0.51770411	4.98082134281951e-32
198	0.51909879	2.0013229372245492e-31
199	0.52077108	1.0488777254140313e-30
200	0.52003146	5.0489767051861705e-31
201	0.51647316	1.449467927361051e-32
202	0.51477603	2.615752281159734e-33
203	0.51854436	1.1524870143858418e-31
204	0.51669926	1.8192192868379375e-32
205	0.51690847	2.244436974998382e-32
206	0.52177064	2.8064682069303294e-30
207	0.52248923	5.678574796843655e-30
208	0.52404711	2.5959088132881303e-29
209	0.51834776	9.473430912797489e-32
210	0.5219528	3.35618701695178e-30
211	0.52060106	8.868041316432729e-31
212	0.5180779	7.236680106098762e-32
213	0.51393222	1.1116593148026696e-33
214	0.5193823	2.6525013126963874e-31
215	0.52206587	3.750028164347952e-30
216	0.52235713	4.9894010351341125e-30
217	0.52024182	6.217537843011963e-31
218	0.51901404	1.839572741877454e-31
219	0.5184979	1.100335554728363e-31
220	0.52033562	6.821932487477988e-31
221	0.52040918	7.336536929130825e-31
222	0.51743512	3.805308731980152e-32
223	0.51524661	4.2101809658964274e-33
224	0.52341286	1.400081166370539e-29
225	0.52179638	2.8783356988942144e-30
226	0.52354514	1.5927322810804725e-29
227	0.51454994	2.080397635181815e-33
228	0.5241345	2.825992289140829e-29
229	0.52047346	7.817751064703946e-31
230	0.51725075	3.163591021139392e-32
231	0.52043016	7.490264751425331e-31
232	0.52226869	4.575196314112213e-30
233	0.51614543	1.0423499546723053e-32
234	0.51690594	2.238745515294243e-32
235	0.52277136	7.483976844925286e-30
236	0.51868356	1.3239349589315519e-31
237	0.52029366	6.544656248279342e-31
238	0.51761791	4.569307578305492e-32
239	0.51125488	7.222549173127406e-35
240	0.5185405	1.1480619845698826e-31
241	0.51828972	8.940502184177565e-32
242	0.52203866	3.6512403067431296e-30
243	0.52009734	5.389251156439719e-31
244	0.52114096	1.5104988488256653e-30
245	0.51925249	2.3316301007362994e-31
246	0.51617278	1.0714477777924659e-32
247	0.51879166	1.474400737240436e-31
248	0.52099384	1.3066226595679717e-30
249	0.51757012	4.355936903392701e-32
250	0.51713457	2.815818022900334e-32
251	0.5232989	1.2528231386282084e-29
252	0.51675449	1.9229804575690504e-32
253	0.51485653	2.8378169531954774e-33
254	0.51738065	3.603291520556592e-32
255	0.5224691	5.5677399937647094e-30
256	0.52011777	5.499340393899926e-31
257	0.52006749	5.232334082343827e-31
258	0.51582557	7.552145037159434e-33
259	0.52441943	3.72660772696821e-29
260	0.51650884	1.5024033299928643e-32
261	0.52201565	3.569725148165125e-30
262	0.51489593	2.9532514416464126e-33
263	0.51686257	2.1433858078369152e-32
264	0.51440977	1.8048641621236334e-33
265	0.51623273	1.1380897346865152e-32
266	0.51698648	2.4271794555097545e-32
267	0.52009666	5.385624877989154e-31
268	0.51641227	1.3633854050450242e-32
269	0.51716102	2.8914856009735465e-32
270	0.51524089	4.185916788032133e-33
271	0.5167075	1.8343384394128312e-32
272	0.52275384	7.356848038562013e-30
273	0.51745323	3.874942171824447e-32
274	0.51920536	2.2249557447918397e-31
275	0.52019947	5.962422414257953e-31
276	0.51299348	4.276413037055053e-34
277	0.51740206	3.681390156116684e-32
278	0.51840914	1.007147016935919e-31
279	0.52141675	1.981758220766504e-30
280	0.52367599	1.8092248247064086e-29
281	0.52208372	3.8162742687762815e-30
282	0.52030407	6.612382105359141e-31
283	0.51863366	1.2597359673909443e-31
284	0.51556868	5.828332621929099e-33
285	0.51816608	7.902689917751419e-32
286	0.51720621	3.025478005052555e-32
287	0.51887478	1.601572798127916e-31
288	0.52152037	2.1944275917968835e-30
289	0.5152255	4.121321860769658e-33
290	0.51916076	2.1284871208038353e-31
291	0.5207462	1.0234364619439747e-30
292	0.5199905	4.848288638973715e-31
293	0.51818763	8.074525318422637e-32
294	0.51726932	3.223012406509093e-32
295	0.52073531	1.0124949755386528e-30
296	0.51361976	8.091784391150537e-34
297	0.52161408	2.406245106652473e-30
298	0.51649405	1.4802309726895227e-32
299	0.52037748	7.110197794628599e-31
300	0.51930626	2.4595644348811565e-31
301	0.52258827	6.2566957758000374e-30
302	0.52458339	4.3689175827840396e-29
303	0.52720522	5.459773796934257e-28
304	0.51621259	1.1152534654581351e-32
305	0.51782794	5.6373670109676e-32
306	0.51938507	2.659807163339337e-31
307	0.52467382	4.769135745210771e-29
308	0.52451936	4.1059233304632763e-29
309	0.51539397	4.88594243181035e-33
310	0.51939558	2.687709868454904e-31
311	0.52023939	6.20261006527004e-31
312	0.51656402	1.5880846208275888e-32
313	0.52214449	4.050663202976815e-30
314	0.52154244	2.2425789084565588e-30
315	0.51717776	2.940417804151099e-32
316	0.5195025	2.9886681057895115e-31
317	0.51612202	1.0180698987714046e-32
318	0.52434557	3.468853067007066e-29
319	0.51968147	3.5693296777848583e-31
320	0.51883571	1.540490784455491e-31
321	0.51931106	2.471319255421973e-31
322	0.51712426	2.786860415147611e-32
323	0.51690155	2.2289039052386813e-32
324	0.51973554	3.7659164883512006e-31
325	0.51717185	2.9230489977246865e-32
326	0.51669661	1.8143833607644172e-32
327	0.51912964	2.063653231559615e-31
328	0.52309025	1.0220136052274859e-29
329	0.52091503	1.2089288371271304e-30
330	0.52315352	1.0871309846376372e-29
331	0.52015117	5.68416183445367e-31
332	0.51333257	6.041185613593923e-34
333	0.51710617	2.736766028551331e-32
334	0.51853037	1.1365294342899248e-31
335	0.52261063	6.39511623437002e-30
336	0.51549141	5.3910642093379415e-33
337	0.52032109	6.724617628861898e-31
338	0.52069254	9.70637940088405e-31
339	0.51858829	1.204059856509616e-31
340	0.52196602	3.400020788303342e-30
341	0.52381967	2.080797206811853e-29
