Dataset	Random-mean	P-value
0	0.68029679	8.879237556838558e-14
1	0.67947016	5.194087680531237e-14
2	0.68744528	7.71114443640935e-12
3	0.68520218	1.9654005227710847e-12
4	0.683781	8.134080635311556e-13
5	0.67977184	6.319732937918943e-14
6	0.68528152	2.0638651994460602e-12
7	0.68750391	7.988273268674932e-12
8	0.68141966	1.827496139481254e-13
9	0.68296515	4.874496510134938e-13
10	0.68285019	4.5337034485665403e-13
11	0.68399726	9.310195676263676e-13
12	0.68541641	2.2425242359029247e-12
13	0.68969833	2.9484988138198805e-11
14	0.67804097	2.0358893640755314e-14
15	0.68495942	1.691947769131207e-12
16	0.67954125	5.440076943434248e-14
17	0.68750142	7.976307160076845e-12
18	0.68201011	2.6630371620936015e-13
19	0.68414121	1.018425894699966e-12
20	0.6859516	3.1139346821202925e-12
21	0.68912812	2.1062260076179417e-11
22	0.68483919	1.5707410225981892e-12
23	0.68085148	1.2695302530491272e-13
24	0.68037972	9.367851383570105e-14
25	0.68719291	6.622272237480449e-12
26	0.68690045	5.548506780487674e-12
27	0.68191972	2.5142218858890583e-13
28	0.68410064	9.930057775894467e-13
29	0.68493417	1.6657522674611877e-12
30	0.68671128	4.947163106814468e-12
31	0.68903753	1.9962357583369617e-11
32	0.68304209	5.116545383125024e-13
33	0.68111274	1.5014025120739897e-13
34	0.68313414	5.421715107979267e-13
35	0.68557781	2.4763652644093033e-12
36	0.6840519	9.632912885405863e-13
37	0.68524971	2.023817996968792e-12
38	0.68233273	3.268422039588956e-13
39	0.68370798	7.771004257989013e-13
40	0.68871902	1.6524742699588435e-11
41	0.68299535	4.96812930571932e-13
42	0.68336422	6.26507026280362e-13
43	0.68079212	1.2219835283184185e-13
44	0.67929616	4.637329556842908e-14
45	0.68423484	1.0795620588765804e-12
46	0.68123483	1.6236101403389927e-13
47	0.68514152	1.8932497311079474e-12
48	0.68396105	9.102217904834508e-13
49	0.68542425	2.253363505507102e-12
50	0.68474955	1.4859718686278245e-12
51	0.68272338	4.1849606561868243e-13
52	0.68700517	5.9117138729650705e-12
53	0.68788121	1.0020911629729071e-11
54	0.68132295	1.7178546504679888e-13
55	0.68312882	5.403600055422001e-13
56	0.68356972	7.126702616330848e-13
57	0.67864822	3.0354257697876934e-14
58	0.6855761	2.4737663250862842e-12
59	0.68503242	1.7699822582440225e-12
60	0.68066112	1.123176580554062e-13
61	0.68419714	1.054523085492792e-12
62	0.68404509	9.59209851390322e-13
63	0.68387912	8.648371217492374e-13
64	0.68285273	4.540973337169268e-13
65	0.68538619	2.201221038552584e-12
66	0.68036689	9.290561521804972e-14
67	0.68014638	8.056302443653921e-14
68	0.68276402	4.2937467095690933e-13
69	0.68542535	2.254888438051323e-12
70	0.68292898	4.764638897272834e-13
71	0.68611254	3.4358334461506882e-12
72	0.68735405	7.29860596782865e-12
73	0.68611126	3.4331485427425824e-12
74	0.68157238	2.0148311073263357e-13
75	0.68562477	2.548796285759136e-12
76	0.6817407	2.2432588162526364e-13
77	0.68582408	2.8801081070597487e-12
78	0.68890747	1.8481206391909555e-11
79	0.68151603	1.943603820696481e-13
80	0.6846977	1.4390112828607261e-12
81	0.6818773	2.4472373867759427e-13
82	0.68679813	5.214841962670857e-12
83	0.67962734	5.753386987817248e-14
84	0.68444263	1.2284340905454328e-12
85	0.68520113	1.9641289129131624e-12
86	0.6875995	8.461227594355347e-12
87	0.6842645	1.0996715744220928e-12
88	0.68506229	1.8029235061312107e-12
89	0.68345296	6.623777990919027e-13
90	0.68214582	2.90289901421888e-13
91	0.68853591	1.481912300591528e-11
92	0.68924269	2.2538841287501414e-11
93	0.6866039	4.634825174780402e-12
94	0.68331186	6.062463424886493e-13
95	0.6814355	1.846099688453945e-13
96	0.68582074	2.8742217636093458e-12
97	0.68044252	9.755406830074578e-14
98	0.67772605	1.653578898504032e-14
99	0.68179719	2.3254975557350506e-13
100	0.68707588	6.170076017749529e-12
101	0.68173598	2.2365185405701606e-13
102	0.68570923	2.6843479047906532e-12
103	0.6866786	4.849977975429405e-12
104	0.68631035	3.876556951699174e-12
105	0.6861513	3.5181207881690813e-12
106	0.68825608	1.2541274255478133e-11
107	0.68416163	1.0314617589454366e-12
108	0.68307573	5.226057586594635e-13
109	0.68291566	4.724799906976662e-13
110	0.68556827	2.4619001439104485e-12
111	0.68779186	9.497887383585305e-12
112	0.68607295	3.3537382350381263e-12
113	0.68354667	7.024527803495432e-13
114	0.69155461	8.688618969155253e-11
115	0.68590026	3.0176316934131096e-12
116	0.68737219	7.378868402118591e-12
117	0.68191097	2.5002587124393287e-13
118	0.6841465	1.0217873171750337e-12
119	0.68275194	4.2611230812974674e-13
120	0.6816317	2.0925913338743706e-13
121	0.69252186	1.512493108961334e-10
122	0.68485897	1.5900774523546496e-12
123	0.68702832	5.995106878105592e-12
124	0.68414852	1.0230737637154793e-12
125	0.6817519	2.2593328766667953e-13
126	0.6855556	2.4428175402362457e-12
127	0.68641664	4.135864268714825e-12
128	0.68432475	1.1416628501458835e-12
129	0.68768231	8.893114401963114e-12
130	0.68603707	3.2810042910530084e-12
131	0.69098303	6.243871954599398e-11
132	0.68520368	1.967218513251596e-12
133	0.68629266	3.834980223807198e-12
134	0.67879433	3.3405376771133294e-14
135	0.68450537	1.2772305019367744e-12
136	0.68214476	2.900945469039866e-13
137	0.67996995	7.186443044754321e-14
138	0.68554925	2.433308449723596e-12
139	0.67800772	1.9917228706047732e-14
140	0.68548625	2.3409169331055076e-12
