Dataset	Random-mean	P-value
0	0.0093622	0.31598138224487615
1	0.00881475	0.5104189666297887
2	0.00815879	0.8064260759189964
3	0.00824108	0.766558858801104
4	0.00781097	0.9793302551494358
5	0.00893629	0.4625184530899794
6	0.00789797	0.9356637537494858
7	0.00826375	0.7556790161723672
8	0.00857679	0.6112172509870006
9	0.00827793	0.748898181455084
10	0.00864901	0.5797026216428989
11	0.00862376	0.5906339034138348
12	0.00875255	0.5359029070550505
13	0.00762303	0.9263014238234297
14	0.00828063	0.7476092348839872
15	0.00890719	0.47375297166184316
16	0.00853663	0.6290648314488206
17	0.0086809	0.5660343252334554
18	0.00882471	0.5063980923809488
19	0.00826008	0.7574371025278053
20	0.00861873	0.592822813028512
21	0.00816333	0.8042123221995096
22	0.008045	0.8623744104666964
23	0.00791772	0.9257731979513534
24	0.00904916	0.4203827978136929
25	0.00892351	0.4674339286483903
26	0.00841265	0.6855110746167473
27	0.00811109	0.8297759154736635
28	0.0079953	0.8870476390831735
29	0.00764851	0.9390641474960721
30	0.00878702	0.5217012047770804
31	0.00817733	0.7973957508900531
32	0.00889133	0.4799387637919479
33	0.00727915	0.7572144424664046
34	0.00778296	0.9934084317628666
35	0.0079986	0.8854056957099654
36	0.00857549	0.6117914510157458
37	0.00830034	0.73822156471537
38	0.00921435	0.36296898313192605
39	0.00764409	0.9368489869347439
40	0.00854203	0.626652010476163
41	0.00846486	0.6615023361090094
42	0.00855234	0.6220564364168713
43	0.00845064	0.6680081724048414
44	0.00836872	0.7059632141080983
45	0.00879596	0.5180498716788611
46	0.00847366	0.65748898514479
47	0.00786547	0.9519603328890515
48	0.00866219	0.5740347677163937
49	0.00783112	0.9692063500766934
50	0.00762859	0.9290848756812708
51	0.00794242	0.9134200948187299
52	0.00890191	0.47580740725443815
53	0.00874044	0.5409381927764153
54	0.0082279	0.7729056782139774
55	0.00842084	0.6817230056556389
56	0.008329	0.7246410040989687
57	0.0087538	0.5353845133618564
58	0.0089227	0.46774644852388736
59	0.00787911	0.9451179339422945
60	0.00880462	0.5145255779099666
61	0.00861838	0.5929752615171342
62	0.00853354	0.6304472922739057
63	0.00870094	0.5575251619527517
64	0.00826475	0.7552001930148752
65	0.00857548	0.6117958688669869
66	0.00781299	0.9783151748275623
67	0.00811069	0.8299723911947795
68	0.00894504	0.4591697527415023
69	0.00861468	0.5945879606051279
70	0.00892722	0.46600399493222355
71	0.00842324	0.6806144661653364
72	0.00839104	0.6955441252083385
73	0.00825381	0.7604436086998531
74	0.0085756	0.611742855586779
75	0.00789073	0.9392920336919082
76	0.00770918	0.9695104267270314
77	0.00904635	0.42140357893296587
78	0.00858822	0.6061790545386654
79	0.00818726	0.7925701970548158
80	0.00887987	0.4844357930688231
81	0.00816461	0.8035884638034029
82	0.00873003	0.545285494341344
83	0.00811441	0.828145580094719
84	0.00796724	0.9010280767567838
85	0.0089362	0.4625529677066581
86	0.00854773	0.6241094837404679
87	0.00798554	0.8919066306418483
88	0.00779623	0.9867382378205234
89	0.00822923	0.772264518328488
90	0.00793035	0.9194541784828474
91	0.0096281	0.24200433565945387
92	0.00890593	0.4742427899286846
93	0.00766049	0.9450704638533605
94	0.00882208	0.5074582036378636
95	0.00859413	0.6035813312623961
96	0.00892049	0.46859971649839627
97	0.00900966	0.43486512150705403
98	0.00845294	0.6669541787306423
99	0.00871072	0.5533952807069822
100	0.00848102	0.6541399466846034
101	0.00841501	0.6844187002082712
102	0.00811261	0.8290294051873295
103	0.00766442	0.9470415155602623
104	0.00822998	0.7719030307190213
105	0.00898681	0.44337310616188963
106	0.00880372	0.5148912611672238
107	0.00850819	0.6418375029731231
108	0.00839143	0.6953625757888188
109	0.00880936	0.512601882634506
110	0.0086218	0.5914863948110906
111	0.00919109	0.37074171984279225
112	0.00773289	0.9814235069195549
113	0.00928845	0.3388957659112931
114	0.00877661	0.5259695934926992
115	0.00756403	0.8968271909348065
116	0.00834496	0.7171155260566466
117	0.00813432	0.8183842874656988
118	0.0083881	0.696913291226434
119	0.00790053	0.9343811427166699
120	0.00885007	0.4962361051220925
121	0.00856721	0.6154542680710724
122	0.00768392	0.9568261161010054
123	0.00819809	0.7873163565356756
124	0.0080699	0.8500618689618087
125	0.0082437	0.7652990540774723
126	0.00823805	0.7680165804842108
127	0.00834767	0.715840410723602
128	0.00785457	0.9574308111390877
129	0.00763059	0.9300863319800614
