Dataset	Random-mean	P-value
0	0.0373791	0.020884595831192468
1	0.039393	0.03507686911615099
2	0.0401933	0.04267356182686656
3	0.0416607	0.060238009709929555
4	0.0409034	0.05054032414641712
5	0.0422613	0.06898754916056592
6	0.040306	0.04384803351113845
7	0.0425317	0.07325541244581243
8	0.040627	0.047344238792721954
9	0.0397436	0.03824920144127507
10	0.0422737	0.06917868111535262
11	0.0405646	0.046646767928082686
12	0.040118	0.041903800106041014
13	0.0384574	0.02769203993622139
14	0.042104	0.06660049829310424
15	0.0438844	0.09796843644024356
16	0.0406719	0.04785152842833689
17	0.0401883	0.04262207973432933
18	0.0392115	0.03352500048220183
19	0.0381925	0.02586256681025756
20	0.039106	0.0326503059247818
21	0.0409382	0.0509552891872895
22	0.0399286	0.040019576290408754
23	0.0385743	0.02853433442634916
24	0.0381796	0.02577621688485793
25	0.0393574	0.03476772182161718
26	0.0403125	0.04391659829667417
27	0.0409595	0.05121068537272691
28	0.039403	0.035164130475582145
29	0.0399802	0.04052562878203841
30	0.0387148	0.029575875884179134
31	0.0401438	0.04216620523356785
32	0.0410241	0.05199184885940424
33	0.0390506	0.03219888777664352
34	0.0368579	0.01815446013284916
35	0.0418368	0.06270225364814325
36	0.0390083	0.03185783383308476
37	0.038075	0.0250852334306713
38	0.0388845	0.03087745829671643
39	0.0382663	0.02636140694205342
40	0.0417765	0.06184920187818097
41	0.0399833	0.04055620363956337
42	0.0389649	0.031511143691915856
43	0.0375009	0.02157209739852149
44	0.0377391	0.022973908832950484
45	0.0419876	0.0648783739516332
46	0.0426941	0.07592116495584146
47	0.0376452	0.022412101795978096
48	0.0402383	0.0431392780918551
49	0.0396714	0.037576622226064775
50	0.0411874	0.05401120021394362
51	0.0385826	0.028594970683885248
52	0.0407358	0.048581377808592494
53	0.0413645	0.05627498969082961
54	0.042467	0.07221499358879645
55	0.0421039	0.0665990027575846
56	0.0392381	0.033748686801234364
57	0.0436121	0.0925186570285701
58	0.0384881	0.027911132674214516
59	0.0413882	0.056583862364386596
60	0.0385043	0.028027348038701605
61	0.0416176	0.05964731480568969
62	0.0457113	0.14146507788209778
63	0.0396921	0.0377684132633961
64	0.0419567	0.0644274519026531
65	0.0382282	0.026102844153051953
66	0.040013	0.04085012579552163
67	0.0423094	0.06973139318711145
68	0.036173	0.01504612245340172
69	0.0413816	0.05649770535975694
70	0.0386882	0.029376207611081544
71	0.0414901	0.057928050264960895
72	0.0394775	0.03582009541904501
73	0.0391745	0.033215973611318055
74	0.0368904	0.018315050587848696
75	0.0427279	0.07648584415934766
76	0.0405422	0.0463985182786144
77	0.0371602	0.019697049305700848
78	0.0404268	0.04513719643971969
79	0.0387403	0.029768385056373393
80	0.041824	0.06252036351160498
81	0.0402122	0.042868640784394
82	0.0382016	0.025923631118342193
83	0.0383762	0.027119706344661286
84	0.0401964	0.04270550719879105
85	0.0390707	0.032362045592037425
86	0.0398315	0.03908186435732581
87	0.0450037	0.12312035344769139
88	0.0454419	0.13424694142517704
89	0.0440699	0.10182615494333669
90	0.0365007	0.016469305837729663
91	0.0411056	0.052991610120911734
92	0.0411603	0.05367161045605379
93	0.0392029	0.03345295345214365
94	0.0413552	0.05615417169036286
95	0.0364304	0.016154378023864515
96	0.0378742	0.023803724603633624
