Dataset	Random-mean	P-value
0	0.08105052	1.7888028436996594e-18
1	0.08601289	1.5614727534510353e-22
2	0.0872306	1.4125648665197737e-23
3	0.08473131	1.871546214276262e-21
4	0.0878978	3.7218707203747155e-24
5	0.08311932	3.9758047081244176e-20
6	0.08235279	1.6544320244725028e-19
7	0.0874783	8.621278286770941e-24
8	0.08162421	6.308582924741197e-19
9	0.08283804	6.722870436527983e-20
10	0.08419544	5.2133065496862725e-21
11	0.08658814	5.04422379210742e-23
12	0.08072325	3.2265905832263946e-18
13	0.08717566	1.5756954328487706e-23
14	0.08448498	3.000353526823071e-21
15	0.08549525	4.282238991150006e-22
16	0.08169797	5.513284932380558e-19
17	0.08446009	3.146593584026255e-21
18	0.08286251	6.42317885640604e-20
19	0.08527839	6.519877520962665e-22
20	0.08338095	2.4338799836418917e-20
21	0.07989307	1.4187230172171104e-17
22	0.08363553	1.5068096688511256e-20
23	0.0865424	5.520283256825732e-23
24	0.08516893	8.056910385864914e-22
25	0.08355838	1.7428275633270398e-20
26	0.08448745	2.9862141943812792e-21
27	0.08421705	5.0031334380139926e-21
28	0.08330446	2.8099669447381204e-20
29	0.08440456	3.498834488881637e-21
30	0.08155097	7.210533250809985e-19
31	0.0848976	1.3595543782360365e-21
32	0.08460097	2.402993537780062e-21
33	0.08439566	3.558816560715597e-21
34	0.08538319	5.3221134167912405e-22
35	0.08263118	9.87778146952985e-20
36	0.0841113	6.118414996745524e-21
37	0.08068975	3.426757393483164e-18
38	0.08207321	2.770463695267581e-19
39	0.08445502	3.1772378454403306e-21
40	0.08310626	4.074180879478458e-20
41	0.08399484	7.633453509271787e-21
42	0.08427913	4.444977316071285e-21
43	0.08526145	6.737148695632518e-22
44	0.08380724	1.0892517387496946e-20
45	0.08461408	2.343385984932023e-21
46	0.08334757	2.5914368097204213e-20
47	0.08591588	1.8875375016879175e-22
48	0.08522033	7.294898857311849e-22
49	0.08412054	6.0118518137723e-21
50	0.08378254	1.1413639767248496e-20
51	0.08365052	1.4647740831333096e-20
52	0.08578441	2.439658480639094e-22
53	0.08643913	6.765474884848959e-23
54	0.08429557	4.307813053752122e-21
55	0.08467358999999999	2.0907324109738623e-21
56	0.08723277	1.4064780379352675e-23
57	0.0843813	3.657754367687466e-21
58	0.08277412	7.572701581874192e-20
59	0.08547053	4.492742030433255e-22
60	0.08680794	3.267602839840946e-23
61	0.08274891	7.936424150041632e-20
62	0.0866127	4.805662799669556e-23
63	0.08433978	3.959431467304574e-21
64	0.08201561	3.0800040048361375e-19
65	0.08211799	2.5512951761924654e-19
66	0.08327665	2.9605349830620655e-20
67	0.08310487	4.084792277117549e-20
68	0.08512463	8.776694974200158e-22
69	0.08607281	1.3886890611723522e-22
70	0.08343061	2.2168925814252185e-20
71	0.08479491	1.6563577659342538e-21
72	0.0842662	4.5558924530845175e-21
73	0.08210146	2.6301223234122813e-19
74	0.08332912	2.6828194592037854e-20
75	0.08035097	6.285638734639209e-18
76	0.08280546	7.14349889809574e-20
77	0.08513523	8.59886417236637e-22
78	0.08409322	6.332376937495397e-21
79	0.08724656	1.3684013698435074e-23
80	0.08398045	7.844784925575864e-21
81	0.08534205	5.76376709688888e-22
82	0.08263372	9.831301295781371e-20
83	0.08345315	2.1248432450139066e-20
84	0.08387374	9.603870322220243e-21
85	0.08340278	2.3360159188084094e-20
86	0.0842873	4.376279295684458e-21
87	0.08692717	2.5804786221738516e-23
88	0.08213882	2.455288409012263e-19
89	0.0829809	5.150147952726222e-20
90	0.08258095	1.0843020261383434e-19
91	0.08557767	3.648637837398991e-22
92	0.08350488	1.9276693914588334e-20
93	0.08620391	1.0740461261080756e-22
94	0.08390134	9.114533702111128e-21
95	0.08271491	8.454528480267654e-20
96	0.08423885	4.799629666862926e-21
97	0.08657977	5.1281820667680325e-23
98	0.08565377	3.1466497046675867e-22
99	0.08043921	5.368837811631695e-18
100	0.08556715	3.7240153845886485e-22
101	0.08434938	3.887557241463059e-21
102	0.08552611	4.0331397673813115e-22
103	0.07994332	1.2979068744156272e-17
104	0.08189199	3.864754789950811e-19
105	0.08447331	3.06806089618427e-21
106	0.08491859	1.305723623660172e-21
107	0.08420067	5.161651416853748e-21
108	0.08335489	2.5560421250030717e-20
109	0.08616796	1.1525017834365703e-22
110	0.08445262	3.1918470639375633e-21
111	0.08337905	2.4425875672654083e-20
112	0.0848251	1.562989022076764e-21
113	0.08371166	1.3050350844556418e-20
114	0.08475376	1.79259289621787e-21
115	0.08348017	2.0194808819001967e-20
116	0.08480413	1.6272708772375942e-21
117	0.08289395	6.057487443168896e-20
118	0.08310911	4.052509081767483e-20
119	0.08596188	1.7252661473612158e-22
120	0.08202184	3.0449363469715745e-19
121	0.08462855	2.279296773681143e-21
122	0.08526292	6.718013291531459e-22
123	0.08283824	6.72036566409646e-20
124	0.08347002	2.0584382722761628e-20
125	0.08238899	1.5473241601272484e-19
126	0.08757566	7.097216467906388e-24
127	0.08590221	1.9386174087584975e-22
128	0.08303533	4.652148426123506e-20
129	0.08236963	1.6037218381373985e-19
130	0.08385935	9.869242335069326e-21
131	0.08589321	1.9729938321899196e-22
132	0.08413572	5.840765906009411e-21
133	0.08756704	7.220586972367618e-24
134	0.08401681	7.321644757193287e-21
135	0.0845665	2.5669921989614025e-21
136	0.08503073	1.052012353319579e-21
137	0.08472838	1.882101885821963e-21
138	0.0834298	2.2202730593817886e-20
139	0.08089187	2.3819687332786968e-18
140	0.08393287	8.585718374934715e-21
141	0.08296538	5.301587690466937e-20
142	0.08411429	6.083728447159249e-21
143	0.08730083	1.2282396043026313e-23
144	0.08351628	1.8867191128137344e-20
145	0.08697022	2.3694017502349017e-23
146	0.08138522	9.750749393816637e-19
147	0.08174107	5.095426843727371e-19
148	0.0849874	1.143654591689227e-21
149	0.08580443	2.3462477386854026e-22
150	0.08353244	1.8301442685108286e-20
151	0.08139378	9.60015334431379e-19
152	0.08580888	2.325971780956035e-22
153	0.08628307	9.194895900920852e-23
154	0.0842889	4.3629494241723894e-21
155	0.08626635	9.501787565419497e-23
156	0.08269498	8.773670501734887e-20
157	0.08648046	6.236776181342106e-23
158	0.0847742	1.7235869521242277e-21
159	0.08140083	9.477854528841962e-19
160	0.08539652	5.186345561939854e-22
161	0.08299936	4.9755956377885454e-20
162	0.08320514	3.385432964826289e-20
163	0.08664076	4.5467893394590744e-23
164	0.08354119	1.8002165950801048e-20
165	0.0846811	2.060832884240885e-21
166	0.08533315	5.863995804071176e-22
167	0.08629572	8.969265509275406e-23
168	0.08695241	2.454561623822893e-23
169	0.08238733	1.5520818672494999e-19
170	0.08710272	1.8215093850900594e-23
171	0.08507965	9.572796003482439e-22
172	0.08371869	1.2878133181044222e-20
173	0.08354686	1.7810831006136954e-20
174	0.0870962	1.8452540251761682e-23
175	0.08575155	2.601044963551568e-22
176	0.0844756	3.0546562398348478e-21
177	0.08272321	8.32503812944483e-20
178	0.08727606	1.2903498316384739e-23
179	0.08539613	5.190268519866959e-22
180	0.08400313	7.514280251144082e-21
181	0.08334307	2.61343658428194e-20
182	0.08409128	6.355771547934535e-21
183	0.08459801	2.4166586145577808e-21
184	0.08660815	4.8489970522600854e-23
185	0.08439717	3.548568455362501e-21
186	0.08527659	6.542630006166869e-22
187	0.08384407	1.0158990327330194e-20
188	0.08343217	2.2103964036177878e-20
189	0.08509376	9.315641836731865e-22
190	0.0814264	9.047091852109278e-19
191	0.08544475	4.7232142095289e-22
192	0.08220826	2.1603680505699317e-19
193	0.08389876	9.159208257147711e-21
194	0.08548689	4.352309560913969e-22
195	0.08560742	3.4435720984770224e-22
196	0.08613634	1.226194605138995e-22
197	0.08286079	6.44380443152334e-20
198	0.08358951	1.6434789608037758e-20
199	0.08666636	4.322713174641605e-23
200	0.08495675	1.2132199166335798e-21
201	0.08537267	5.431746229738235e-22
202	0.08501821	1.0777163501287908e-21
203	0.0840581	6.769424445798174e-21
204	0.08421993	4.9757656077052805e-21
205	0.08647558	6.297000809407187e-23
206	0.08479353	1.6607554904758573e-21
207	0.08549002	4.325942735021383e-22
208	0.08808101	2.5750890525651506e-24
209	0.08329038	2.885224543668114e-20
210	0.08359338	1.6315274505052056e-20
211	0.08703002	2.1043620790003233e-23
212	0.08359813	1.6169760323579272e-20
213	0.0826479	9.575772744566659e-20
214	0.08616018	1.1702153037914432e-22
215	0.08364958	1.4673755518753546e-20
216	0.08227675	1.9039252239883762e-19
217	0.08464262	2.2186474095504526e-21
218	0.08192827	3.615886759589803e-19
219	0.08744849	9.149910305652226e-24
220	0.08297896	5.168840842173374e-20
221	0.08776058	4.9013826509952346e-24
222	0.0815199	7.630715394530561e-19
223	0.08676044	3.589453705276615e-23
224	0.08293774	5.582301324995958e-20
225	0.08528634	6.420322959197828e-22
226	0.0849109	1.3251953250118404e-21
227	0.08307327	4.333560197007137e-20
228	0.08335405	2.5600793393253457e-20
229	0.0835629	1.7280411343003644e-20
230	0.08417693	5.4002769056212e-21
231	0.08562011	3.359619767453112e-22
232	0.08280366	7.167483775230046e-20
233	0.08439951	3.532745088827023e-21
234	0.08422375	4.939694195623729e-21
235	0.08594581	1.780317279910896e-22
236	0.08680968	3.256373533735226e-23
237	0.08518056	7.877860234290938e-22
238	0.08788215	3.840678316596124e-24
239	0.08597921	1.667791198283109e-22
240	0.08438739	3.6154665028393725e-21
241	0.08542919	4.867958663275801e-22
242	0.08378965	1.126114910084459e-20
243	0.08327295	2.981161094715124e-20
244	0.08353384	1.825322900860558e-20
245	0.08336386	2.513322097895932e-20
246	0.08405535	6.804883385964825e-21
247	0.08333772	2.6398329224483055e-20
248	0.08407181	6.5953612821681184e-21
249	0.08598084	1.6624841004338515e-22
250	0.08111775	1.5839913825686189e-18
251	0.08142849	9.012752479689966e-19
252	0.08573561	2.6831049332353036e-22
253	0.08529185	6.352210050647468e-22
254	0.08709493	1.8499147733732412e-23
255	0.08583388	2.2152531832115397e-22
256	0.08409966	6.2553271267299884e-21
257	0.08379786	1.1087578359354013e-20
258	0.08315173	3.7417285915462563e-20
259	0.08508368	9.49863922003575e-22
260	0.08468044	2.0634434475513333e-21
261	0.08411379	6.089515262735676e-21
262	0.08340707	2.3172476248476825e-20
263	0.08358134	1.6689957585471202e-20
264	0.08733742	1.1418839092036316e-23
265	0.08531759	6.043399610309714e-22
266	0.08250356	1.2516108604616776e-19
267	0.08400458	7.493626144530868e-21
268	0.08386342	9.793456842394181e-21
269	0.08360435	1.598115765884845e-20
270	0.08129138	1.1563188069811485e-18
271	0.08401239	7.383343419525114e-21
272	0.08682308	3.171169163209247e-23
273	0.08306103	4.4339036383579137e-20
274	0.08251678	1.2213199154498358e-19
275	0.08598739	1.6413265284456937e-22
276	0.08747645	8.653183477426717e-24
277	0.08284387	6.650234594210809e-20
278	0.08550276	4.220248064471565e-22
279	0.08398108	7.835412454546925e-21
280	0.0849666	1.1904177317180082e-21
281	0.08528477	6.439863145604559e-22
282	0.08444324	3.2495866975741335e-21
283	0.08747504	8.677579132081811e-24
284	0.08577591	2.4804260985167003e-22
285	0.08145658	8.563561670261062e-19
286	0.08252285	1.2076562303643042e-19
287	0.0851124	8.986409595396653e-22
288	0.08142312	9.101244762229437e-19
289	0.08168935	5.600842812038653e-19
290	0.0869975	2.244615854804279e-23
291	0.08757806	7.063241544482964e-24
292	0.08001887	1.1351693614725732e-17
293	0.08466427	2.1284371417413936e-21
294	0.0848861	1.3899749154771247e-21
295	0.08370577	1.3196398195494524e-20
296	0.08486816	1.4387847721775257e-21
297	0.08222864	2.08067751356277e-19
298	0.08275791	7.804629381735493e-20
299	0.08018125	8.506200131328035e-18
300	0.08093488	2.2042088541933648e-18
301	0.08283005	6.82369663654672e-20
302	0.08549642	4.272522191563244e-22
303	0.08643081	6.87716723980455e-23
304	0.08410339	6.2111264558005854e-21
305	0.08371305	1.301611909674265e-20
306	0.0824481	1.3870110801892795e-19
307	0.08231189	1.7843063834498597e-19
308	0.0818894	3.883156731995837e-19
309	0.08125423	1.236959642671738e-18
310	0.0826083	1.0306408421176325e-19
311	0.08531012	6.131451940303255e-22
312	0.0842905	4.3496598272053065e-21
313	0.08379533	1.1140781320242573e-20
314	0.08557733	3.6510501476646687e-22
315	0.08516337	8.143930579927133e-22
316	0.08709798	1.8387412571505138e-23
317	0.08512358	8.794507701158225e-22
318	0.08571422	2.797272638605047e-22
319	0.08239393	1.533251018071291e-19
320	0.08528988	6.376479823079947e-22
321	0.0859025	1.9375196675798652e-22
322	0.08443212	3.319380617543064e-21
323	0.08642882	6.904152274279608e-23
324	0.08589553	1.9640748983907833e-22
325	0.08352461	1.857343219704022e-20
326	0.08458738	2.4663714504170162e-21
327	0.08135935	1.0220247610434422e-18
328	0.0829445	5.512314368023862e-20
329	0.08371598	1.2944252922017316e-20
330	0.08557083	3.697473434184145e-22
331	0.08400725	7.45574128543449e-21
332	0.0834649	2.0783715047076146e-20
333	0.08413042	5.899943620263694e-21
334	0.08143396	8.92348851947539e-19
335	0.08436953999999999	3.740806996592814e-21
336	0.08506944	9.763253420727439e-22
337	0.08446228	3.133447559756522e-21
338	0.08525449	6.828485813035419e-22
339	0.08263749	9.762712373423178e-20
340	0.08480465	1.625645583568654e-21
341	0.08456277	2.5853910313812342e-21
342	0.08359891	1.614598868774775e-20
343	0.08503747	1.038427740772178e-21
344	0.08351947	1.8754154843596813e-20
345	0.08368658	1.3683564735285968e-20
346	0.08300289	4.942891242418625e-20
347	0.08395173	8.284066515373642e-21
348	0.08406176	6.7225159222364155e-21
349	0.08317735	3.566405752294564e-20
350	0.08625736	9.670978430264763e-23
351	0.08609772	1.32257312593682e-22
352	0.08383379	1.0358656541851897e-20
353	0.08266931	9.20237838569868e-20
354	0.08241526	1.473927896094521e-19
355	0.0851742	7.975280980104549e-22
356	0.08506949	9.76231161985273e-22
357	0.08435106	3.875112989461435e-21
358	0.08346973	2.0595622214588345e-20
359	0.08670344	4.0174598462354635e-23
360	0.0847405	1.8388176871886398e-21
361	0.0841573	5.6058302112148916e-21
362	0.0824212	1.457816364274705e-19
363	0.08440857	3.472137618074527e-21
364	0.08299012	5.0622205817845204e-20
365	0.08552376	4.0515919605585782e-22
366	0.08041415	5.614828125675994e-18
367	0.08497131	1.1796651394640013e-21
368	0.08200237	3.155864147870037e-19
369	0.08297507	5.2065258502790405e-20
370	0.08454959	2.65145756043066e-21
371	0.08304756	4.546994240180236e-20
372	0.08247816	1.3119144827236228e-19
373	0.08358061	1.671294745497454e-20
374	0.08673844	3.749001473047091e-23
375	0.08537133	5.445870817934675e-22
376	0.08537473	5.41010318328205e-22
377	0.0836921	1.3541632621999776e-20
378	0.08561178	3.414495762752703e-22
379	0.08391899	8.814653695981671e-21
380	0.08354897	1.7740144754805943e-20
381	0.08251959	1.2149756101864335e-19
382	0.08570828	2.829823640784468e-22
383	0.08352907	1.841801833699653e-20
384	0.0864765	6.28560299013954e-23
385	0.08390198	9.103485135812426e-21
386	0.08401748	7.312336983119504e-21
387	0.08418458	5.322210887021657e-21
388	0.08448031	3.0272683251332275e-21
389	0.08468221	2.0564497786845318e-21
390	0.0843532	3.859318591291028e-21
391	0.08156062	7.084755671464663e-19
392	0.08515233	8.319492754149137e-22
393	0.08255314	1.1417045304253155e-19
394	0.0860956	1.3280762021667919e-22
395	0.08552202	4.06530839667629e-22
396	0.08254386	1.161521645669956e-19
397	0.08594759	1.7741346504751131e-22
398	0.08681591	3.216480760827618e-23
399	0.08374132	1.2338913424369264e-20
400	0.08363719	1.5020963479488528e-20
401	0.08455413	2.6285132442557823e-21
402	0.08569958	2.878179057760999e-22
403	0.08297399	5.2170367456310694e-20
404	0.08369201	1.3543934983758697e-20
405	0.08309365	4.1714561119472825e-20
406	0.08276092	7.761037274381358e-20
407	0.07918637	4.917165240015142e-17
408	0.08590788	1.9172662098085973e-22
409	0.08384527	1.0135933197491643e-20
410	0.08587023	2.0635376378140921e-22
411	0.08388723	9.361527021191717e-21
412	0.08416348	5.540293746890743e-21
413	0.08575341	2.591633374909443e-22
414	0.08285744	6.484164973488271e-20
415	0.08392316	8.745245193713243e-21
416	0.08495711	1.2123789576922082e-21
417	0.08756757	7.212940467213105e-24
418	0.08495424	1.219099376491713e-21
419	0.0854852	4.366612203620654e-22
420	0.08153689	7.39802915686534e-19
421	0.08540585	5.093368595553266e-22
422	0.08364681	1.4750682546675402e-20
423	0.08425275	4.6741816478628955e-21
424	0.08340787	2.3137642864173417e-20
425	0.08147914	8.2189181817225685e-19
426	0.08140863	9.344342766045506e-19
427	0.08531108	6.120065074575458e-22
428	0.08353161	1.8330086108905364e-20
429	0.08735405	1.1046555254347471e-23
430	0.08491194	1.3225452087893031e-21
431	0.08559609	3.520284633776796e-22
432	0.08154552	7.282542994823239e-19
433	0.08369676	1.3422950248676983e-20
434	0.08417423	5.428099912618373e-21
435	0.08325908	3.0597571182436145e-20
436	0.08535108	5.66381194537832e-22
437	0.08182673	4.35586986062386e-19
438	0.08243305	1.4261942665707666e-19
439	0.08463157	2.266141816335771e-21
440	0.08339772	2.3583466858933995e-20
441	0.08269423	8.78591068850346e-20
442	0.08495114	1.226399893516351e-21
443	0.08687022	2.8886456536757626e-23
444	0.08382172	1.0598061451896074e-20
445	0.08429595	4.304692744689489e-21
446	0.08633295	8.336618592245925e-23
447	0.08533861	5.80230401106078e-22
448	0.08366261	1.4317196630573693e-20
449	0.08207157	2.7788350633832153e-19
450	0.08623854	1.0034913558171722e-22
451	0.08644953	6.628388948019983e-23
452	0.08450767	2.8729243419079765e-21
453	0.08603288	1.501580625278551e-22
454	0.08335363	2.5621003167260786e-20
455	0.08755684	7.36932463409258e-24
456	0.08699429	2.2589535906608292e-23
457	0.08321611	3.3165277710319966e-20
458	0.08275312	7.874501131624243e-20
459	0.08598131	1.6609569490120893e-22
460	0.08613383	1.2322408936920719e-22
461	0.08398207	7.820706718681339e-21
462	0.08243936	1.4096341739965535e-19
463	0.08475929	1.773657509174906e-21
464	0.08527771	6.528463661247051e-22
465	0.08259748	1.0515477333620018e-19
466	0.08492096	1.2997800157884184e-21
467	0.08460121	2.401888924095527e-21
468	0.08506073	9.92869845697982e-22
469	0.0834636	2.0834630699193734e-20
470	0.08203344	2.9806925954833004e-19
471	0.08527098	6.614048589162743e-22
472	0.08331641	2.747623392387767e-20
473	0.08100922	1.9274052781130887e-18
474	0.08552753	4.0220303809684156e-22
475	0.0849964	1.1239898711267263e-21
476	0.08462041	2.3151326668962672e-21
477	0.08421444	5.028064473411923e-21
478	0.08310367	4.0939752301198395e-20
479	0.08347733	2.030307013152403e-20
480	0.08192054	3.66754465140398e-19
481	0.08443725	3.28699966930835e-21
482	0.08405723	6.78062250241935e-21
483	0.08473953	1.842245188173408e-21
484	0.08387318	9.614063923016067e-21
485	0.085205	7.514359188420592e-22
486	0.08545024	4.673170449926879e-22
487	0.08233933	1.6961039829298348e-19
488	0.08254824	1.1521261873068732e-19
489	0.084941	1.2505839880406514e-21
490	0.08571276	2.805238778005437e-22
491	0.08367176	1.4071960069004688e-20
492	0.08124628	1.2549270243393425e-18
493	0.08357594	1.6860764428168513e-20
494	0.08169915	5.501405051142323e-19
495	0.08313503	3.860582815000204e-20
496	0.08579099	2.408556848453009e-22
497	0.08332269	2.7154121527227897e-20
498	0.0831201	3.9700043543350257e-20
499	0.08363714	1.5022381016704174e-20
500	0.08472884	1.880440781350774e-21
501	0.08437599	3.69502621827551e-21
502	0.08318844	3.4930637571364937e-20
503	0.08414566	5.731362788802375e-21
504	0.08488773	1.3856224047295594e-21
505	0.08355623	1.7499048941747366e-20
506	0.08147361	8.302105701797613e-19
507	0.08348424	2.0040656904694763e-20
508	0.08448537	2.9981165935138578e-21
509	0.08487111	1.430643367995287e-21
510	0.08276	7.774335436330112e-20
511	0.08532202	5.991775110898124e-22
512	0.08345451	2.1194121000890688e-20
513	0.0813569	1.0265855070695277e-18
514	0.08334237	2.6168753739935838e-20
515	0.08359979	1.611921100683774e-20
516	0.08049503	4.858598267086927e-18
517	0.08617744	1.1312771164445905e-22
518	0.08604916	1.454493305916388e-22
519	0.08494667	1.2370031999742356e-21
520	0.08467314	2.092537597781468e-21
521	0.08437799	3.680943836397845e-21
522	0.08161079	6.465041605599008e-19
523	0.08282581	6.877808669869814e-20
524	0.08255427	1.1393144575283054e-19
525	0.08530138	6.236091658034016e-22
526	0.08246256	1.3503695311696047e-19
527	0.08509897	9.222432657545114e-22
528	0.08490723	1.3345893487878632e-21
529	0.0847747	1.7219323874513314e-21
530	0.08587568	2.041697839214713e-22
531	0.08112423	1.5655229479156128e-18
532	0.08577618	2.4791207887982255e-22
533	0.08339693	2.361852160080053e-20
534	0.08526687	6.666861785582605e-22
535	0.08211116	2.5835777388592255e-19
536	0.0867498	3.665756763938201e-23
537	0.08005999	1.0552596071333654e-17
538	0.08158696	6.752396583722573e-19
539	0.082972	5.2364591601512775e-20
540	0.08443729999999999	3.286685612464254e-21
541	0.08132105	1.0956732290021787e-18
542	0.08336561	2.5050705502135248e-20
543	0.08582514	2.253352551655009e-22
544	0.08405226	6.84494616498127e-21
545	0.08332162	2.720873790104343e-20
546	0.08471941	1.9147859582348058e-21
547	0.08487416	1.4222740410427146e-21
