Dataset	Random-mean	P-value
0	0.19512878	2.022407299989355e-55
1	0.19586636	5.571004621388615e-56
2	0.19308223	7.157651520727911e-54
3	0.19741933	3.666098551331872e-57
4	0.199382	1.1631023959557695e-58
5	0.19866794	4.087584672577561e-58
6	0.19925869	1.4452069762021888e-58
7	0.19978491	5.718913306456579e-59
8	0.20064001	1.2655563206043723e-59
9	0.20131411	3.8480126769188547e-60
10	0.19488282	3.1073714158001624e-55
11	0.19835252	7.117970642387872e-58
12	0.20236246	6.0258603218030516e-61
13	0.20263968	3.688686094410046e-61
14	0.20110827	5.535791750778038e-60
15	0.1973599	4.0690660649974053e-57
16	0.19322339	5.59973304719365e-54
17	0.20051001	1.5919406030982716e-59
18	0.19637534	2.285786891299215e-56
19	0.19327484	5.1203993467403506e-54
20	0.19618409	3.194925997183075e-56
21	0.19632299	2.505231998258084e-56
22	0.19588117	5.428521439483639e-56
23	0.20508733	4.7994120561626287e-63
24	0.19807126	1.1669107656965891e-57
25	0.19994077	4.345020903578094e-59
26	0.19522565	1.7075748772694827e-55
27	0.20024401	2.545355177793887e-59
28	0.19794272	1.4625553404479904e-57
29	0.1952857	1.5375035057352895e-55
30	0.19755884	2.86989040713625e-57
31	0.196409	2.1549392689598988e-56
32	0.19540317	1.252181987062596e-55
33	0.19476682	3.804762336182567e-55
34	0.2014335	3.1160402880767366e-60
35	0.1917176	7.6468353527245855e-53
36	0.20345021	8.773371390403818e-62
37	0.20261855	3.8293158126192505e-61
38	0.19565999	7.99259344603837e-56
39	0.19953512	8.881314133387694e-59
40	0.19619776	3.1193789150880216e-56
41	0.19617359	3.254192730961969e-56
42	0.19811873	1.0735258282367493e-57
43	0.1996203	7.643611536028802e-59
44	0.19434105	7.996362464516274e-55
45	0.1961776	3.2314299711475867e-56
46	0.1981823	9.600549357276242e-58
47	0.19980933	5.477980089242144e-59
48	0.19859309	4.6627614720575135e-58
49	0.1981267	1.0585957331314061e-57
50	0.19757186	2.8050434843284535e-57
51	0.19727593	4.7149587577453704e-57
52	0.19816536	9.89065844955374e-58
53	0.19616574	3.2992179201963733e-56
54	0.20233468	6.329558288944162e-61
55	0.19760621	2.6408996138716057e-57
56	0.19270865	1.3700143881899418e-53
57	0.1964322	2.0691350906648917e-56
58	0.20236769	5.970334780248051e-61
59	0.19746667	3.373831281074989e-57
60	0.19387956	1.787201217755317e-54
61	0.20256747	4.191802382731882e-61
62	0.19736692	4.019251575028e-57
63	0.20024796	2.527681755838012e-59
64	0.19225561	3.008251310545504e-53
65	0.20030563	2.2831818005044124e-59
66	0.20215297	8.730323857723685e-61
67	0.19975743	6.002718771940355e-59
68	0.19658243	1.5903840755015147e-56
69	0.19716827	5.695040947205334e-57
70	0.198093	1.123176203162251e-57
71	0.19761042	2.621453505929154e-57
72	0.20058902	1.3847394290736095e-59
73	0.19838468	6.72669506877461e-58
74	0.19387667	1.7962203668826124e-54
75	0.19448778	6.1910391939465785e-55
76	0.19219424	3.3462465470721807e-53
77	0.19802492	1.265893979745859e-57
78	0.19779016	1.9119776984269424e-57
79	0.20096112	7.17888359213674e-60
80	0.19650491	1.8217105695754438e-56
81	0.19400688	1.4316832733719042e-54
82	0.19617771	3.230807802522871e-56
83	0.20150624	2.7400941340735543e-60
84	0.19544541	1.16306989233945e-55
85	0.19512413	2.0388998155802573e-55
86	0.19911297	1.8679071859146263e-58
87	0.19996347	4.174560396570377e-59
88	0.19306807	7.336047859070076e-54
89	0.19813588	1.041655827015847e-57
90	0.19705934	6.893910107818398e-57
91	0.19725957	4.852243716781245e-57
92	0.20284626	2.5584638767410455e-61
93	0.19766685	2.3741984195036714e-57
94	0.19604909	4.0464981489189417e-56
95	0.19607159	3.890256558052431e-56
96	0.19672566	1.2373941374524627e-56
97	0.19703409	7.20601634696489e-57
98	0.19909481	1.9285874857968863e-58
99	0.19399598	1.4591322331180035e-54
100	0.1957815	6.46248511270834e-56
101	0.1963534	2.3753173556149667e-56
102	0.20055102	1.4807949590540056e-59
103	0.1954783	1.0980930891711673e-55
104	0.19878735	3.313107409338801e-58
105	0.20023252	2.597469662543982e-59
106	0.2006269	1.2951835436587766e-59
107	0.19405735	1.3111584623948458e-54
108	0.19793617	1.479480506573607e-57
109	0.19510832	2.0959856945467693e-55
110	0.19954642	8.706250981903785e-59
111	0.19952785	8.995797826003812e-59
112	0.19206308	4.201139385152752e-53
113	0.19852004	5.301967092166623e-58
114	0.19700447	7.590173451659359e-57
115	0.20040231	1.9251416082640573e-59
116	0.19953969	8.810094683733225e-59
117	0.19834066	7.267935052199412e-58
118	0.19163607	8.807120631853468e-53
119	0.20325161	1.2475528642113007e-61
120	0.19809527	1.1187051088001663e-57
121	0.19691472	8.883635390326409e-57
122	0.19786038	1.6901461354291136e-57
123	0.19558619	9.093437889172575e-56
124	0.19876684	3.434843247785936e-58
125	0.19813936	1.0353051819350629e-57
126	0.19549508	1.0663526730712515e-55
127	0.1964	2.189174168998105e-56
128	0.19797182	1.3896691359996293e-57
129	0.19960195	7.894790598586181e-59
130	0.2006252	1.2990757760217962e-59
131	0.19617748	3.232108837043163e-56
132	0.19582233	6.017047579852512e-56
133	0.1937972	2.0628599097610997e-54
134	0.19573629	6.994228136426756e-56
135	0.19812477	1.0621920335878531e-57
136	0.19978493	5.718711712682742e-59
137	0.19604638	4.065734594612502e-56
138	0.19847031	5.78649099157005e-58
139	0.20000365	3.8890517562611673e-59
140	0.19833366	7.357923822981226e-58
141	0.19935381	1.2223076984350224e-58
142	0.19740125	3.7842790716437563e-57
143	0.19697111	8.047383234959502e-57
144	0.1972067	5.323798359398489e-57
145	0.19758269	2.7522205021483205e-57
146	0.19596009	4.728418302286028e-56
147	0.20135205	3.598478831345662e-60
148	0.19639085	2.224536592459828e-56
149	0.19497808	2.6312628899133993e-55
150	0.19812821	1.05579053011572e-57
151	0.19983879	5.20077778129318e-59
152	0.19381428	2.002403305236266e-54
153	0.19353501	3.256188981020032e-54
154	0.19519256	1.8091920642818392e-55
155	0.1927568	1.2600812830343662e-53
156	0.19608802	3.779985513141982e-56
157	0.19655295	1.674678901395091e-56
158	0.19916917	1.6919411350666774e-58
159	0.19634802	2.39780106522735e-56
160	0.19275146	1.2718254369708074e-53
161	0.19766184	2.3951740840343902e-57
162	0.19773597	2.102858136436481e-57
163	0.1951651	1.8980901458550772e-55
164	0.19968324	6.841186928195803e-59
165	0.19417183	1.0740129826628985e-54
166	0.19905014	2.086360833940403e-58
167	0.19718303	5.549491902965107e-57
168	0.19809587	1.1175262953889496e-57
169	0.19822998	8.828827961786894e-58
170	0.19474551	3.948928405291163e-55
171	0.20096107	7.179517542111474e-60
172	0.19676759	1.1497265640819371e-56
173	0.19716211	5.75690704724638e-57
174	0.19452358	5.816265391324643e-55
175	0.19536277	1.3437849344336768e-55
176	0.1925404	1.834965330464752e-53
177	0.19875309	3.518947414407109e-58
178	0.19727998	4.681576619512708e-57
179	0.19402799	1.379980898384647e-54
180	0.19653357	1.7325105057366927e-56
181	0.20280323	2.761087586276058e-61
182	0.19905788	2.0581281500544066e-58
183	0.19776809	1.9875345192075446e-57
184	0.1959462	4.84474164524363e-56
185	0.19799667	1.3303072034298432e-57
186	0.19943642	1.0567905098366352e-58
187	0.19396266	1.5463422688335822e-54
188	0.19408528	1.2488723864302532e-54
189	0.20057274	1.4251049555140058e-59
190	0.20028099	2.3846141679353634e-59
191	0.19716547	5.723079144573995e-57
192	0.19506185	2.273186329917582e-55
193	0.19943824	1.0534079954685354e-58
194	0.19854052	5.114411393069186e-58
195	0.19529908	1.5019763153804154e-55
196	0.19697515	7.990581640516053e-57
197	0.19654727	1.6914258354035556e-56
198	0.19218066	3.4260198225703923e-53
199	0.20018096	2.844766901544852e-59
200	0.19574352	6.906345631598079e-56
201	0.20082434	9.140180843944358e-60
202	0.19907636	1.992253720386055e-58
203	0.19555661	9.576071217486961e-56
204	0.19552279	1.0159310180780672e-55
205	0.19532708000000001	1.4302605002954511e-55
206	0.19800907	1.3016401829820536e-57
207	0.19929532	1.3549280231993717e-58
208	0.20333078	1.0842143677708187e-61
209	0.20289862	2.331838119214668e-61
210	0.19115897	2.011898856481906e-52
211	0.19365577	2.638874163217756e-54
212	0.19949585	9.517498552749275e-59
213	0.19621614	3.020606862207068e-56
214	0.19489549	3.0393958305356165e-55
215	0.19642066	2.111380023488119e-56
216	0.19424784	9.40736704295142e-55
217	0.19487698	3.1392126726354342e-55
218	0.19994429	4.318139741004491e-59
219	0.19720641	5.326507255397392e-57
220	0.19899025	2.3183062739317303e-58
221	0.19499586	2.5508285480249744e-55
222	0.19916463	1.7055193702718548e-58
223	0.19925136	1.4639817155832268e-58
224	0.19321565	5.675621684531793e-54
225	0.1926246	1.5853542052028253e-53
226	0.19393846	1.6129278037540712e-54
227	0.19777706	1.9564723994183398e-57
228	0.19930499	1.3320499605019473e-58
229	0.19849477	5.542885236145988e-58
230	0.19513481	2.0012184988663566e-55
231	0.19887709	2.829173039722764e-58
232	0.19531275	1.466525759114185e-55
233	0.1975956	2.690549062083912e-57
234	0.1980052	1.3105201936736632e-57
235	0.20412512	2.6500811775350414e-62
236	0.19773641	2.101234067331365e-57
237	0.19211493	3.8398102549492233e-53
238	0.19629932	2.61124488564974e-56
239	0.19529407000000001	1.515182039212422e-55
240	0.19277556	1.2196747412363371e-53
241	0.19651359	1.7942215926711212e-56
242	0.19727157	4.7511618798966774e-57
243	0.20018943	2.802584408991772e-59
244	0.19803907	1.2348110899579568e-57
245	0.19808658	1.1359181905190078e-57
246	0.20179433	1.646472176888342e-60
247	0.20252815	4.494021069933195e-61
248	0.19604022	4.109800699713402e-56
249	0.1945549	5.507022115486433e-55
250	0.19527559	1.564903659791056e-55
251	0.1958405	5.8288104301859605e-56
252	0.19692698	8.694732408378539e-57
253	0.19777623	1.959326121680526e-57
254	0.19716094	5.768733228113171e-57
255	0.19489025	3.067326879644925e-55
256	0.19346412	3.6837358818232483e-54
257	0.1973816	3.9170412426223985e-57
258	0.19521808	1.730307006961131e-55
259	0.19879969	3.2419507212707596e-58
260	0.20157061	2.4453866834367568e-60
261	0.19567671	7.762294206178763e-56
262	0.1999092	4.593709293369187e-59
263	0.19668601	1.3264281465225544e-56
264	0.1950205	2.4434043721401885e-55
265	0.19647805	1.9094678580355807e-56
266	0.19193908	5.208985259528143e-53
267	0.19840623	6.476603288645371e-58
268	0.2014844	2.847942791718846e-60
269	0.19688968	9.28228595767318e-57
270	0.20004953	3.586818682533035e-59
271	0.19597613	4.597556084050586e-56
272	0.19753738	2.980057618276305e-57
273	0.19650788	1.8122577572774327e-56
274	0.20091246	7.823074170978939e-60
275	0.19906757	2.023319970944712e-58
276	0.19410693	1.2026317483887112e-54
277	0.20248117	4.883790551392986e-61
