Dataset	Random-mean	P-value
0	0.5170948	1.1164512639328806e-19
1	0.5147955	3.1520149131391954e-20
2	0.5121231	7.113773014142571e-21
3	0.5159734	6.036347130086492e-20
4	0.5117985	5.9290714330514945e-21
5	0.5122326	7.564136143891358e-21
6	0.5210065	9.272426559790561e-19
7	0.5168958	1.0012912497290582e-19
8	0.5212791	1.0728685679037994e-18
9	0.5164499	7.842307589430867e-20
10	0.5116699	5.515800149930317e-21
11	0.519065	3.260456581387662e-19
12	0.5192657	3.634296159038766e-19
13	0.5093804	1.5123824497727988e-21
14	0.5200594	5.576432018485426e-19
15	0.5175732	1.4497723039730304e-19
16	0.5179741	1.8036863343381076e-19
17	0.5110886	3.97671696434899e-21
18	0.5145471	2.74702763643017e-20
19	0.5157261	5.2682989333995504e-20
20	0.52222	1.7721180516141957e-18
21	0.5208182	8.382568649822649e-19
22	0.5188697	2.9333008620021957e-19
23	0.5208836	8.681612058254623e-19
24	0.5172133	1.1911605248103133e-19
25	0.5185078	2.410657752599516e-19
26	0.508326	8.294064982833743e-22
27	0.5124903	8.738623529944617e-21
28	0.5111063	4.016585100067177e-21
29	0.5160393	6.259092680745274e-20
30	0.5159732	6.035683216915903e-20
31	0.5164595	7.883718170161611e-20
32	0.5145762	2.791667694797918e-20
33	0.5183779	2.246500895980593e-19
34	0.5169542	1.0338093115608184e-19
35	0.5137455	1.760408684576898e-20
36	0.5134811	1.5194997161495433e-20
37	0.5165629	8.343708780883742e-20
38	0.5145377	2.7327595195568057e-20
39	0.514118	2.165274778561887e-20
40	0.5159491	5.95620895039604e-20
41	0.5133856	1.440770285860534e-20
42	0.5227268	2.3196387113681433e-18
43	0.5140043	2.0327803061633706e-20
44	0.5119307	6.38590580116414e-21
45	0.5141355	2.1864136618203155e-20
46	0.5187438	2.739857089974533e-19
47	0.5195824	4.3122771410010385e-19
48	0.5155059	4.666381179669274e-20
49	0.5208666	8.602878282518788e-19
50	0.5247523	6.752538640035381e-18
51	0.510353	2.6251019356992153e-21
52	0.5202036	6.026325752835864e-19
53	0.5116838	5.5590560707080155e-21
54	0.5157177	5.2439859712356956e-20
55	0.517893	1.7257869363004483e-19
56	0.5083086	8.212040137584831e-22
57	0.5103881	2.677736432430167e-21
58	0.518659	2.6167386220594094e-19
59	0.5190038	3.1542295807218056e-19
60	0.5213383	1.107369070299302e-18
61	0.518953	3.0686627167822806e-19
62	0.5085312	9.324893506150683e-22
63	0.5205905	7.418788626973171e-19
64	0.5191918	3.491949829592975e-19
65	0.5193965	3.900465790799767e-19
66	0.5150086	3.546221822183765e-20
67	0.5207839	8.229830692930325e-19
68	0.5192374	3.5791182910650794e-19
69	0.5154767	4.591860336077701e-20
70	0.5151121	3.754933037147617e-20
71	0.5153075	4.1826879225150134e-20
