Dataset	Random-mean	P-value
0	0.10403852	1.773358200673369e-07
1	0.10460089	3.190245475554995e-07
2	0.10160154	1.2278138478622576e-08
3	0.10001145	1.92885755587798e-09
4	0.1041313	1.9552312463610215e-07
5	0.10432407	2.3926739064445385e-07
6	0.10157424	1.1902651694734632e-08
7	0.10451104	2.906680685320974e-07
8	0.10203891	2.0125169705615616e-08
9	0.10173986	1.4365057501732983e-08
10	0.10171921	1.4032896318299709e-08
11	0.10296277	5.5945545743167545e-08
12	0.10456169	3.063384693852322e-07
13	0.10266868	4.053144724808479e-08
14	0.10242824	3.1074231063292706e-08
15	0.10332006	8.24306797390523e-08
16	0.10204542	2.0272745168680908e-08
17	0.10207393	2.0931537330148988e-08
18	0.1032949	8.022282529895344e-08
19	0.10311957	6.635440868621188e-08
20	0.10300801	5.87737831956567e-08
21	0.1014935	1.085641365956578e-08
22	0.10199966	1.9257310598578773e-08
23	0.10394454	1.6058864186590344e-07
24	0.09980831	1.5134123666178703e-09
25	0.1034976	9.977516582096856e-08
26	0.10342269	9.20634811738886e-08
27	0.10333727	8.397474671397797e-08
28	0.10110994	6.991337438936045e-09
29	0.10599132	1.2998413320811157e-06
30	0.10513112	5.494353012037495e-07
31	0.10346376	9.621686247020777e-08
32	0.10447783	2.80817517198243e-07
33	0.10219784	2.404496346582003e-08
34	0.10249701	3.35345028806527e-08
35	0.10368477	1.218834831818925e-07
36	0.10362226	1.1401794635260078e-07
37	0.10268548	4.128789297813303e-08
38	0.10208775	2.1258331904341963e-08
39	0.10259776	3.748394910704317e-08
40	0.10155277	1.1615229751302857e-08
41	0.10356737	1.0751896526542434e-07
42	0.10152416	1.1242708726404057e-08
43	0.1031038	6.5227895716546e-08
44	0.10142893	1.0084688763844313e-08
45	0.10212612	2.2191888107310245e-08
46	0.10392369	1.5708654190193435e-07
47	0.10329737	8.043700769038713e-08
48	0.10353393	1.037373546706344e-07
49	0.10299795	5.813310726102134e-08
50	0.10112006999999999	7.073522008470104e-09
51	0.10451823	2.928443425298313e-07
52	0.10296525	5.609710099432838e-08
53	0.10081832	4.986618838160621e-09
54	0.10449187	2.8494190472155066e-07
55	0.10461439	3.2351002397414643e-07
56	0.10219871999999999	2.4068610011484883e-08
57	0.10370944	1.2513034363328425e-07
58	0.10211906	2.2017172834984542e-08
59	0.10324802	7.626109564702485e-08
60	0.1027802	4.5816477311077325e-08
61	0.10248118	3.2951927941078145e-08
62	0.10492461	4.4511192574865826e-07
63	0.10130424	8.742760621155047e-09
64	0.10325745	7.704243312104971e-08
65	0.10419567	2.0918964307889504e-07
66	0.1033505	8.518077751824193e-08
67	0.10202774	1.9874388477096086e-08
68	0.10353386	1.0372957559851403e-07
69	0.10558088	8.646680094878454e-07
70	0.10230032	2.69563004439474e-08
71	0.10426282	2.2443116805147978e-07
72	0.10347202999999999	9.70749187787032e-08
73	0.10107699	6.730400405942815e-09
74	0.10321177	7.332853406462174e-08
75	0.10396920999999999	1.64830160987555e-07
76	0.10353316	1.0365181599308534e-07
77	0.10462812	3.2813448490682355e-07
78	0.10428926	2.307229269482055e-07
79	0.10305542	6.188657730176038e-08
80	0.10402431	1.746991995698503e-07
81	0.10129162	8.617065426885697e-09
82	0.10523545	6.10761023178023e-07
83	0.10304645	6.128560964581285e-08
84	0.10436499	2.4970371799992044e-07
85	0.10253962999999999	3.5153216074233114e-08
86	0.10143972	1.0209820923974153e-08
87	0.10494128	4.5276721531474226e-07
88	0.10195059	1.8223429938190453e-08
89	0.10417834	2.0542187463063598e-07
90	0.10258488	3.695491098512226e-08
91	0.10117964	7.576205417037297e-09
92	0.10306161999999999	6.230530235339355e-08
93	0.10253918	3.513573472900887e-08
94	0.10456011999999999	3.058406829124489e-07
95	0.10063939	4.0471302970698475e-09
96	0.10405472	1.8038872098972388e-07
97	0.10247755	3.2819730224802047e-08
98	0.1011185	7.06072323834794e-09
99	0.10275026	4.433525022334385e-08
100	0.10599954	1.3104180531736654e-06
101	0.10438113	2.5394015313692656e-07
102	0.10165488	1.3045356623137451e-08
103	0.10171416	1.3952810627109068e-08
104	0.10363514	1.1559725274111052e-07
105	0.1036295	1.1490309931615715e-07
106	0.10420147	2.1046552337261624e-07
107	0.10382411	1.4135616570254498e-07
108	0.10271703	4.274572605414437e-08
109	0.10202465	1.980555255965002e-08
110	0.10460987	3.2200146732126893e-07
111	0.10299351	5.7852505840490246e-08
112	0.10154507	1.1513804769066847e-08
113	0.10304351	6.108987294704939e-08
114	0.10175432	1.4602194527205022e-08
115	0.10007262	2.074455787329019e-09
116	0.10426497	2.2493652045243646e-07
117	0.10259932	3.754852277574765e-08
118	0.10197093	1.8645256934558273e-08
119	0.10215462	2.2910997486089208e-08
120	0.10346577	9.642473122375255e-08
121	0.10213508	2.2415566118966238e-08
122	0.1020109	1.9502046587976354e-08
123	0.10152885	1.130296795816005e-08
124	0.10457664	3.1111798433962854e-07
125	0.10312193	6.65246094515098e-08
126	0.10298993	5.7627213444971556e-08
127	0.10284576	4.922978720967528e-08
128	0.10265565	3.9954042441141206e-08
129	0.10258068	3.678397304691289e-08
130	0.10349159	9.913402102588206e-08
131	0.10193157	1.7837390168781828e-08
132	0.10242063	3.081301724592226e-08
133	0.10416398	2.0234969872966597e-07
134	0.10280509	4.7084367193667374e-08
135	0.10235543	2.8660819404219954e-08
136	0.10374343	1.2974152397726354e-07
137	0.1034385	9.364131959025417e-08
138	0.10491133	4.391031115814076e-07
139	0.10151258	1.1095260593537368e-08
140	0.10143992	1.0212154551852447e-08
141	0.10352128	1.0234071553850089e-07
142	0.10317067	7.013596628681026e-08
143	0.10034936	2.8787641910582162e-09
144	0.10215995	2.3047976967778107e-08
145	0.10562179	9.007626203687656e-07
146	0.10241737	3.070177184170522e-08
147	0.10322161	7.411356654463563e-08
148	0.10309295	6.446364403552559e-08
149	0.10365574	1.1816735795962616e-07
150	0.1012243	7.975738806355638e-09
151	0.10121123	7.856735144133418e-09
152	0.10312691	6.688515397099036e-08
