Dataset	Random-mean	P-value
0	0.1400014	0.23863881661019576
1	0.1353137	0.4328137760863895
2	0.1378999	0.31643862873581247
3	0.1375897	0.3291980860108933
4	0.1355381	0.4218277484280084
5	0.1301322	0.7274201618600871
6	0.1381386	0.30684462726576733
7	0.1361018	0.394963880298698
8	0.141689	0.18678530617868883
9	0.1363413	0.38387123335457995
10	0.1360127	0.3991397079674671
11	0.1378549	0.3182691699531428
12	0.1342305	0.48812317143776707
13	0.1351784	0.4395171366436629
14	0.1375588	0.3304871483988472
15	0.1405906	0.21948708045154458
16	0.1359143	0.40378220855692115
17	0.1351373	0.44156518031557934
18	0.1381635	0.3058550694684246
19	0.1366104	0.37163820230085454
20	0.1408514	0.21137254423462376
21	0.1385209	0.29188531305388676
22	0.1336735	0.5179863479769882
23	0.1327006	0.5723304176807948
24	0.1388455	0.27957568670453803
25	0.1379328	0.3151046904125906
26	0.1406583	0.21735943468258573
27	0.1360687	0.39651206972757813
28	0.1350309	0.44689254048472016
29	0.1370402	0.35260912883122764
30	0.1330019	0.5552136080802603
31	0.1391968	0.26665745513073735
32	0.1434857	0.14129093969304024
33	0.1420745	0.17620851779371935
34	0.1392815	0.2636053939881077
35	0.1412107	0.20055252844504082
36	0.140648	0.21768217620349847
37	0.1389823	0.27449537891523684
38	0.1316999	0.6309103887956394
39	0.1332826	0.5394959905834187
40	0.1359439	0.4023822881599419
41	0.1322908	0.5960064284937048
42	0.1356208	0.41782066778517435
43	0.1379381	0.3148901474932579
44	0.1416642	0.18748148755192678
45	0.1369026	0.35863289066914694
46	0.1388221	0.2804510619180196
47	0.1389718	0.27488306111460054
48	0.1364568	0.37859074681730276
49	0.1408141	0.21251958678810326
50	0.133105	0.5494146131454085
51	0.1363297	0.3844040532693337
52	0.1440697	0.12850649843358014
53	0.131633	0.6349166408226251
54	0.1405846	0.21967636612637204
55	0.1381391	0.30682473573908625
56	0.136585	0.3727823976050646
57	0.1305832	0.699124619516641
58	0.1388723	0.27857540938425746
59	0.132075	0.6086513774307443
60	0.1356385	0.4169659748660658
61	0.1369975	0.3544715172948768
62	0.1379564	0.3141501070768355
63	0.1374204	0.33630092355462504
64	0.1433314	0.1448272064513755
65	0.1401386	0.23407692740640582
66	0.1366175	0.37131875899256583
67	0.1432816	0.14598291954558468
68	0.1395722	0.2533144850822396
69	0.138082	0.30910188209034417
70	0.1383363	0.29904624967688204
71	0.1404011	0.2255221660563812
72	0.1386263	0.28784888803520237
73	0.1426657	0.1608669037212617
74	0.138444	0.29485423484303586
75	0.1355654	0.42050248518616085
76	0.1350437	0.44624972231152327
77	0.1371649	0.3472058595028933
78	0.1409248	0.20912847439176319
79	0.1381643	0.3058233116473036
80	0.1382501	0.30243000444194795
81	0.1331414	0.5473744206784108
82	0.1382687	0.30169771583461735
83	0.136855	0.36073170175646896
84	0.1403816	0.2261498646463649
85	0.1357799	0.4101752721393599
86	0.1428477	0.1563537227706784
87	0.1342595	0.4865942551325114
88	0.1372373	0.3440931162131802
89	0.1411545	0.20221768038602178
90	0.1406755	0.2168212568083049
91	0.1392023	0.26645853266623665
92	0.129786	0.749398630430844
93	0.1392758	0.2638100253441095
94	0.1395659	0.2535344927755839
95	0.1380782	0.3092538222764048
96	0.1342515	0.4870157658708436
97	0.1461952	0.08944218136551284
98	0.1379691	0.313637201550685
99	0.1393564	0.26092666064447156
100	0.140165	0.2332062820752727
101	0.1336524	0.5191359423359442
102	0.1366185	0.3712737806988289
103	0.1354118	0.42799077539387376
104	0.1397435	0.24738338983413707
105	0.1353486	0.43109434585412454
106	0.1395417	0.2543808414141724
107	0.1414065	0.19482952708263374
108	0.1429134	0.15474837548162562
109	0.1347388	0.4617046291285074
110	0.1386116	0.2884095673195128
111	0.1370692	0.3513478198716693
112	0.1399466	0.24047837339825426
113	0.142097	0.17560530737810473
114	0.1439525	0.13099712920694426
