Dataset	Random-mean	P-value
0	0.1905883	1.0368013324236886e-28
1	0.1937844	3.3004952493346465e-30
2	0.1875835	2.4938700460094477e-27
3	0.1918838	2.5839388229419456e-29
4	0.193573	4.1540822607761545e-30
5	0.1934067	4.9770660645540144e-30
6	0.1909411	7.10946782964048e-29
7	0.1935356	4.3264884736963265e-30
8	0.1918917	2.562053366875315e-29
9	0.192816	9.444670659898437e-30
10	0.1900262	1.8881474620621519e-28
11	0.1939289	2.8198512104410687e-30
12	0.1894164	3.6095402179288383e-28
13	0.1941011	2.337200905845348e-30
14	0.1902351	1.5114269683429108e-28
15	0.1879143	1.7623658929772788e-27
16	0.188305	1.1684384003915258e-27
17	0.1919701	2.3546087357932223e-29
18	0.1939849	2.6529018393275872e-30
19	0.1906073	1.01596775916283e-28
20	0.1961742	2.4036950699023237e-31
21	0.1921452	1.9496596369145645e-29
22	0.1932552	5.867049157902415e-30
23	0.1902629	1.4672901285064083e-28
24	0.1988957	1.1663431192037323e-32
25	0.1927523	1.0118856813315946e-29
26	0.193117	6.81614639482909e-30
27	0.1916969	3.159557379950655e-29
28	0.1982081	2.5156516462943766e-32
29	0.191928	2.4638370684780706e-29
30	0.192419	1.450871908850687e-29
31	0.1902808	1.4395517508158014e-28
32	0.1889664	5.813520857053671e-28
33	0.1927392	1.026332827452952e-29
34	0.1928185	9.419142538859268e-30
35	0.1875937	2.4673426053783602e-27
36	0.1916939	3.169767748984415e-29
37	0.1935292	4.3566962121611476e-30
38	0.1936813	3.6924424812940806e-30
39	0.1901822	1.5990917074930022e-28
40	0.1907623	8.608449022659802e-29
41	0.1913859	4.4131587643947087e-29
42	0.1904703	1.1760406165844075e-28
43	0.1936391	3.865921226540667e-30
44	0.1954708	5.2159926794072535e-31
45	0.1901887	1.5880533841082998e-28
46	0.1965554	1.5775759785818533e-31
47	0.1964513	1.7699978792952488e-31
48	0.1905929	1.031718771183664e-28
49	0.1936763	3.712585505052268e-30
50	0.1883373	1.1293532885541747e-27
51	0.1885059	9.454809478697361e-28
52	0.1952265	6.821561108692168e-31
53	0.1866889	6.3536808470585336e-27
54	0.1920228	2.2246421857181736e-29
55	0.1917779	2.8959060515112384e-29
56	0.1852322	2.8794594341179464e-26
57	0.1905136	1.1229100135513652e-28
58	0.1926613	1.1165805552525335e-29
59	0.1969886	9.765329023941175e-32
60	0.1939337	2.8051408317756993e-30
61	0.1972758	7.100927610622294e-32
62	0.1887291	7.470608827838729e-28
63	0.1896829	2.72016782370492e-28
64	0.1945597	1.416359587941203e-30
65	0.1930276	7.509928385038763e-30
66	0.1895935	2.9911048344198117e-28
67	0.1911498	5.685136981819284e-29
68	0.1959717	3.005220912316016e-31
69	0.1933443	5.326089083953266e-30
70	0.191097	6.016131623362363e-29
71	0.1921529	1.9335377915471134e-29
72	0.1854882	2.2102078264239614e-26
73	0.1894379	3.5281573628959136e-28
74	0.1964801	1.7145399673187802e-31
75	0.1929677	8.01363107831356e-30
76	0.1908392	7.928677698774466e-29
77	0.1877305	2.137524111850405e-27
78	0.1887218	7.52842279596603e-28
79	0.1935443	4.285758657037286e-30
80	0.1944563	1.5858709765088597e-30
81	0.1898499	2.2777469164318145e-28
82	0.1931883	6.308836049048291e-30
83	0.1892803	4.169801488110628e-28
84	0.1850385	3.516428565647128e-26
85	0.1933926	5.053886933286462e-30
86	0.1932454	5.929788023644458e-30
87	0.1887949	6.969011078792044e-28
88	0.190226	1.526159468853928e-28
89	0.1870513	4.352890010013107e-27
90	0.1906317	9.898224882906989e-29
91	0.1938685	3.0116476872410977e-30
92	0.1933942	5.045110687646281e-30
93	0.1867891	5.723362073471756e-27
94	0.1930121	7.637166092403016e-30
95	0.1886859	7.819277138789519e-28
96	0.186572	7.176695200154323e-27
97	0.1882218	1.2754183780882541e-27
98	0.1860882	1.1869214926669455e-26
99	0.1912743	4.9746198159676365e-29
100	0.1956175	4.438894753896116e-31
101	0.1952913	6.353098694319596e-31
102	0.1944985	1.5143797176168663e-30
103	0.1836049	1.5308652016044412e-25
104	0.1988679	1.203224461850619e-32
105	0.1958842	3.309443334497883e-31
106	0.1949656	9.081820781710959e-31
107	0.1929278	8.367657048329268e-30
108	0.1891935	4.571432381550781e-28
109	0.1910189	6.541171534233002e-29
110	0.1975871	5.024442299921776e-32
111	0.1927206	1.0471986627652526e-29
112	0.183102	2.55598850477424e-25
113	0.1985955	1.6320034655895494e-32
114	0.1929784	7.921251938696262e-30
115	0.1807505	2.742671109044508e-24
116	0.1939082	2.8841737471986296e-30
117	0.1888432	6.62226032708209e-28
118	0.1930361	7.441050315707182e-30
119	0.1823884	5.27379215743233e-25
120	0.1946594	1.270014199029578e-30
121	0.1917237	3.069783768445726e-29
122	0.1947639	1.1327509656392044e-30
123	0.1892302	4.397128600942238e-28
124	0.190605	1.0184674053867584e-28
125	0.191692	3.1762512802739226e-29
126	0.194786	1.1056697221978279e-30
127	0.1962545	2.199812669229033e-31
128	0.1895858	3.0156588315449745e-28
129	0.193107	6.890469670345862e-30
130	0.1921606	1.9175485309916564e-29
131	0.1868266	5.503795126966969e-27
132	0.1869887	4.6470464438641e-27
133	0.1952966	6.316230033752374e-31
134	0.198672	1.4981826008587362e-32
135	0.1945543	1.4247483512059744e-30
136	0.1892483	4.313613056742137e-28
137	0.1933173	5.48455534855642e-30
138	0.1951807	7.173242263535413e-31
139	0.1917469	2.994120594273292e-29
140	0.190602	1.0217370054064699e-28
141	0.1934148	4.933461356398292e-30
142	0.1897535	2.523568913355066e-28
143	0.1918923	2.560398732088904e-29
144	0.193498	4.5069899747323136e-30
145	0.1956306	4.375378716598608e-31
146	0.1946171	1.3301711348729677e-30
147	0.1876945	2.2198105281466405e-27
148	0.1895125	3.2596676489476437e-28
149	0.1973312	6.677266249143931e-32
150	0.1884316	1.0225249692886262e-27
151	0.19309	7.018673683936191e-30
152	0.1902045	1.5615366381008187e-28
153	0.1940053	2.594559659786638e-30
154	0.1950869	7.950785668666542e-31
155	0.1864538	8.116538340652385e-27
156	0.1968007	1.2025385211291233e-31
157	0.1956608	4.232376568356516e-31
158	0.194336	1.8086305175580434e-30
159	0.1941833	2.1367269793167887e-30
160	0.1982442	2.4163210969120754e-32
161	0.19021	1.552409800083182e-28
162	0.1939717	2.691346160531576e-30
163	0.1867735	5.817245725381214e-27
164	0.1946749	1.2486551285054685e-30
165	0.1921093	2.0266075112698827e-29
166	0.1919226	2.4782071211023977e-29
167	0.1931122	6.851721522884606e-30
168	0.1961871	2.36971769386869e-31
169	0.1891972	4.553552638672593e-28
170	0.1963448	1.991030265992948e-31
171	0.189296	4.100997056590836e-28
172	0.1906101	1.0129329434475324e-28
173	0.189785	2.440472620802964e-28
174	0.1910815	6.116887633451808e-29
175	0.1971358	8.29456414397343e-32
176	0.1876055	2.4370037128934463e-27
177	0.1907835	8.415463647450634e-29
178	0.1930272	7.513185282818364e-30
179	0.1869718	4.729790961617241e-27
180	0.1929534	8.138766044544442e-30
181	0.1965913	1.516165650904161e-31
182	0.1881303	1.4043387036411963e-27
183	0.1932676	5.7886106787634365e-30
184	0.1898741	2.2198708506589303e-28
185	0.1913651	4.5127978966865506e-29
186	0.1907797	8.449736101731109e-29
187	0.1979174	3.4786835716619727e-32
188	0.1901475	1.6593228463274967e-28
189	0.1918678	2.6288349817420204e-29
190	0.191793	2.849233144867461e-29
191	0.1896873	2.707482139450663e-28
192	0.1921929	1.851897052086034e-29
193	0.1965594	1.5706128899829642e-31
194	0.1986451	1.5439452556707145e-32
195	0.1897737	2.4699641106629387e-28
196	0.1892813	4.165385023853659e-28
197	0.1964716	1.7307254339046328e-31
198	0.187955	1.6885856607928245e-27
199	0.1864601	8.063493187755195e-27
200	0.1909914	6.736690508080836e-29
201	0.196997	9.674819484921099e-32
202	0.1932904	5.647097329354967e-30
203	0.1932709	5.767912235502669e-30
204	0.1934712	4.640198584526373e-30
205	0.1897255	2.59979035640665e-28
206	0.1937692	3.3555666255427825e-30
207	0.1963509	1.977659525558684e-31
208	0.1922808	1.6843380180346146e-29
209	0.1927957	9.654523166826616e-30
210	0.1976421	4.7262818685451445e-32
211	0.1838789	1.1569622795496624e-25
212	0.1812753	1.6205137186679548e-24
213	0.1888821	6.355505832097243e-28
214	0.1929954	7.776654799714743e-30
215	0.1871964	3.7403039189336075e-27
216	0.1947125	1.1983154138738957e-30
217	0.18793289999999999	1.7282588084031208e-27
218	0.1956684	4.19712774345325e-31
219	0.1917416	3.011240596916028e-29
220	0.1916162	3.445955326473224e-29
221	0.1919294	2.4601250455349002e-29
222	0.1940916	2.361543976039798e-30
223	0.1897338	2.5769605381898792e-28
224	0.1913625	4.5254090455584437e-29
225	0.1955089	5.002031393463357e-31
226	0.1857316	1.7180185696543925e-26
227	0.1882344	1.2586125509581802e-27
228	0.189128	4.899758893228397e-28
229	0.1924518	1.4003667962362373e-29
230	0.1926047	1.1870620839408084e-29
231	0.1984477	1.925153164813009e-32
232	0.1946	1.355286933012152e-30
233	0.1932986	5.597047996492888e-30
234	0.1931811	6.35831177710109e-30
235	0.1951779	7.195318231555712e-31
236	0.190386	1.2867534933987404e-28
237	0.1915187	3.8266048426199694e-29
238	0.1891908	4.584523791964765e-28
239	0.1971639	8.039958351233402e-32
240	0.1948237	1.0609507331599748e-30
241	0.1849237	3.9581013954814664e-26
242	0.1887858	7.0363332259407495e-28
243	0.1915912	3.5398092821437757e-29
244	0.1933919	5.057731314172259e-30
245	0.1903462	1.3425660167986304e-28
246	0.1842113	8.231404848826572e-26
247	0.1934862	4.565166267696262e-30
248	0.1923884	1.4996212249544862e-29
249	0.1850621	3.4318903693532885e-26
250	0.190651	9.696167869583822e-29
251	0.1916701	3.251941331218901e-29
252	0.1858578	1.5074156375982298e-26
253	0.1934077	4.971662094093195e-30
254	0.1922914	1.665179001197025e-29
255	0.1939559	2.738092131273938e-30
256	0.1914638	4.059047615977052e-29
257	0.1909709	6.88621158422092e-29
258	0.1876134	2.4168995824493036e-27
259	0.1879106	1.7692299929738668e-27
260	0.189864	2.2438458043969026e-28
261	0.195084	7.976116409106193e-31
262	0.1918925	2.559847423346885e-29
263	0.1903957	1.2735043504450507e-28
264	0.1909216	7.259439047047883e-29
265	0.1887376	7.403847104838587e-28
266	0.197132	8.329605092735114e-32
267	0.1918849	2.5808803759370656e-29
268	0.1910752	6.158318062013362e-29
269	0.1909819	6.805575086892904e-29
270	0.1931561	6.533117949645014e-30
271	0.1919437	2.422526461790464e-29
272	0.1861869	1.0712791069065144e-26
273	0.1925427	1.2693543077955475e-29
274	0.1862161	1.0392648103613674e-26
275	0.1947723	1.1223807671951544e-30
276	0.1951491	7.42634551310931e-31
277	0.1877752	2.0395594219158198e-27
278	0.1924376	1.422013539716011e-29
279	0.1880652	1.5038703226075396e-27
280	0.1926793	1.0950504513577599e-29
281	0.1926076	1.1833456075095571e-29
282	0.1897968	2.410049819455325e-28
283	0.1969007	1.0764489100847931e-31
284	0.1960198	2.8500106739711354e-31
285	0.1913116	4.7794772331562727e-29
286	0.1959608	3.0415459654548954e-31
287	0.1910633	6.237338323446393e-29
288	0.1914267	4.224023244650978e-29
289	0.190444	1.2095241025339963e-28
290	0.189969	2.0066801808307495e-28
291	0.1900651	1.8115403392190776e-28
292	0.1924138	1.4590435102816277e-29
293	0.1915462	3.715197070618357e-29
294	0.2019546	3.6911409800432805e-34
295	0.1935269	4.3676032840950345e-30
296	0.1868262	5.5060924206319124e-27
297	0.1893435	3.899628946806325e-28
298	0.1940173	2.5608387829438866e-30
299	0.1971736	7.95388754914537e-32
300	0.1885474	9.049892976197555e-28
301	0.1901184	1.7115687986645036e-28
302	0.1932247	6.064509682161663e-30
303	0.1909787	6.828935646095475e-29
304	0.1962552	2.198113241184451e-31
305	0.1896047	2.955744316135816e-28
306	0.191843	2.6999617810705906e-29
307	0.1937478	3.434653977944247e-30
308	0.1930349	7.45073605418454e-30
309	0.1925424	1.2697659808774738e-29
310	0.1896084	2.9441542859636176e-28
311	0.1964617	1.749768484825411e-31
312	0.1872547	3.519031383629949e-27
313	0.1914964	3.9193807409049367e-29
314	0.193414	4.937751028171342e-30
315	0.1889201	6.105242346427637e-28
316	0.1902576	1.4756046713082738e-28
317	0.1928907	8.710778145860563e-30
318	0.1912099	5.330367213885029e-29
319	0.1920741	2.1049860748892258e-29
320	0.1928228	9.375394600691816e-30
321	0.1969875	9.777243685915813e-32
322	0.1884376	1.0160783132187094e-27
323	0.1900941	1.7564476332461008e-28
324	0.1943289	1.822709923939854e-30
325	0.1935648	4.191287952946005e-30
326	0.1926836	1.0899685521836739e-29
327	0.1923348	1.588969863637979e-29
328	0.1861027	1.1691856435219432e-26
329	0.188433	1.021017122531321e-27
330	0.1983082	2.2497215139305332e-32
331	0.188539	9.1304360440485e-28
332	0.1909968	6.697844571254064e-29
333	0.1933913	5.0610288127795296e-30
334	0.1969732	9.933457018030115e-32
335	0.1838559	1.1845046364080252e-25
336	0.1949849	8.891702928366644e-31
337	0.1971704	7.982180208932988e-32
338	0.1869213	4.985870963755277e-27
339	0.1970402	9.222362193803189e-32
340	0.1947144	1.1958259409583746e-30
341	0.1916199	3.432276776303578e-29
342	0.1944906	1.5275147663888138e-30
343	0.1945547	1.4241252699431205e-30
344	0.1850826	3.360097484890004e-26
345	0.1853858	2.457014806067394e-26
346	0.1884333	1.0206943001726592e-27
347	0.1921818	1.8742023469285988e-29
348	0.1871697	3.846205513874277e-27
349	0.1949325	9.417339367067953e-31
350	0.2005616	1.7907071283265845e-33
351	0.1875078	2.69980725455616e-27
352	0.1910249	6.49926849912129e-29
353	0.1885229	9.286807132547322e-28
354	0.1876068	2.4336840502729047e-27
355	0.1900824	1.7784713211936875e-28
356	0.1927351	1.0308964656035904e-29
357	0.1953917	5.689711783163947e-31
358	0.1903774	1.298614723355726e-28
359	0.1933162	5.491109863713785e-30
360	0.1849633	3.799847850543981e-26
361	0.1875277	2.64408750449679e-27
362	0.1945485	1.4338135638442978e-30
363	0.1961203	2.5509855040745875e-31
364	0.1932141	6.1346717988116416e-30
365	0.188565	8.883419013934767e-28
366	0.1924053	1.472499609877522e-29
367	0.1906252	9.967213246108844e-29
368	0.191484	3.971933286578928e-29
369	0.1906288	9.928945450289864e-29
370	0.1950892	7.93075269178751e-31
371	0.1979355	3.4092343056780913e-32
372	0.1916545	3.30694883288825e-29
373	0.1939835	2.656953233617951e-30
374	0.1907442	8.7766928540816e-29
375	0.1846014	5.514909461520792e-26
376	0.1859187	1.415170366394112e-26
377	0.1917362	3.0287837374049164e-29
378	0.1885077	9.43687894109518e-28
379	0.1963701	1.9361549823209184e-31
380	0.1922575	1.7272257260577957e-29
381	0.195579	4.6309228599404904e-31
382	0.1953251	6.121593580580236e-31
383	0.1957076	4.019903961742818e-31
384	0.1952336	6.768600408280959e-31
385	0.1981267	2.7547906063805424e-32
386	0.1910001	6.674215119854618e-29
387	0.1860378	1.2506740324568258e-26
388	0.1873184	3.292114674815041e-27
389	0.1960123	2.8736762241749025e-31
390	0.193135	6.684368253192342e-30
391	0.1916829	3.2074872880198246e-29
392	0.1942954	1.8906258114707938e-30
393	0.1946476	1.2865179796964043e-30
394	0.1855782	2.0137234734786646e-26
395	0.188379	1.0808096464051688e-27
396	0.1950049	8.698866399695393e-31
397	0.1898602	2.2529325804298135e-28
398	0.1877441	2.107233382095836e-27
399	0.191709	3.118706485248393e-29
400	0.1968611	1.1247250814759192e-31
401	0.1895627	3.0905295995888148e-28
402	0.187895	1.798463918953198e-27
403	0.1993639	6.899581456225336e-33
404	0.1905985	1.0255647315069028e-28
405	0.1933738	5.158152310591677e-30
406	0.1935373	4.3184996222671415e-30
407	0.1986631	1.5131719677928655e-32
408	0.1893302	3.9549997996290494e-28
409	0.1895261	3.212957034374233e-28
410	0.1929698	7.995416471777278e-30
411	0.1853246	2.617398503225519e-26
412	0.1886752	7.9081075678157665e-28
413	0.1890272	5.451386074744938e-28
414	0.1878877	1.812308307013208e-27
415	0.1905329	1.1000038638680938e-28
416	0.1974908	5.592260789400723e-32
417	0.1917599	2.952536911600754e-29
418	0.1913473	4.599840198127659e-29
419	0.1850107	3.618669036683861e-26
420	0.1919478	2.4118522473461714e-29
421	0.1938279	3.147808271778317e-30
422	0.1968174	1.180503281238991e-31
423	0.1887182	7.557097320089925e-28
424	0.1912017	5.377443012212557e-29
425	0.1904955	1.1448226618108208e-28
426	0.1920898	2.06966181035573e-29
427	0.1942324	2.0252391134356243e-30
428	0.1927175	1.0507170893484217e-29
429	0.1911288	5.814556234171279e-29
430	0.1928822	8.791340536086245e-30
431	0.1861942	1.0631848239439473e-26
432	0.1883431	1.1224738312766562e-27
433	0.1921791	1.8796682348128406e-29
434	0.192218	1.8024276476805202e-29
435	0.1947889	1.1021642167503964e-30
436	0.189545	3.1491460366501103e-28
437	0.1920215	2.2277606970684286e-29
438	0.1859681	1.3444819514338743e-26
439	0.1912575	5.065080865403156e-29
440	0.189259	4.2649856176713535e-28
441	0.1924211	1.4475847560431312e-29
442	0.1882155	1.2839047455354595e-27
443	0.1918247	2.753670561269331e-29
444	0.1873244	3.271505601345621e-27
445	0.1953775	5.77917637875874e-31
446	0.1946806	1.2408906972420318e-30
447	0.1837952	1.2603597745434928e-25
448	0.1882437	1.2463496101774444e-27
449	0.1971989	7.733683907721649e-32
450	0.1941903	2.1204670569219672e-30
451	0.1921642	1.910118210758123e-29
452	0.2	3.374099950017903e-33
453	0.1931853	6.329404229035623e-30
454	0.1949297	9.446280986804353e-31
455	0.1929982	7.753091910493982e-30
456	0.1970212	9.418705833789418e-32
457	0.1891786	4.644143775972258e-28
458	0.1937135	3.565300565212624e-30
459	0.1861561	1.1061099600729174e-26
460	0.1987004	1.451332514626148e-32
461	0.1961498	2.469293367775424e-31
462	0.1950191	8.564483676843074e-31
463	0.1900107	1.9195619146291004e-28
464	0.1911479	5.69672751939563e-29
465	0.1859942	1.3085625900505345e-26
466	0.2021594	2.9235934850973793e-34
467	0.1892812	4.165826460938555e-28
468	0.1948031	1.0851582984300519e-30
469	0.192529	1.2882901046231208e-29
470	0.1897186	2.6189223410820134e-28
471	0.1989216	1.1329957301628045e-32
472	0.1878081	1.970318915348774e-27
473	0.1919922	2.2992118894002936e-29
474	0.1909619	6.952892983630444e-29
475	0.1909044	7.39432991945134e-29
476	0.1928108	9.497989780661724e-30
477	0.1902012	1.567038327797194e-28
478	0.1956536	4.266041824059795e-31
479	0.1936042	4.015497647791786e-30
480	0.1961274	2.5310815991014573e-31
481	0.1940111	2.5782064420776973e-30
482	0.1935332	4.337791883649834e-30
483	0.193437	4.81589034089402e-30
484	0.1926053	1.1862922065583522e-29
485	0.1875764	2.5125023630767835e-27
486	0.1947375	1.1659675929476283e-30
487	0.1893529	3.860960142290066e-28
488	0.1923754	1.5208215682699895e-29
489	0.1940897	2.3664427708672188e-30
490	0.1959229	3.1712843221820326e-31
491	0.1928419	9.183502040491539e-30
492	0.1913715	4.4819037581180614e-29
493	0.1904008	1.2665928027268242e-28
494	0.1927626	1.0006686613187418e-29
495	0.1958375	3.4841575231623086e-31
496	0.1952003	7.020585841581989e-31
497	0.1942249	2.0418866383063238e-30
498	0.193565	4.190376565566004e-30
499	0.1952837	6.40634089872905e-31
500	0.1881407	1.3890563679481238e-27
501	0.192711	1.0581326520776919e-29
502	0.189911	2.1344241324731993e-28
503	0.1899123	2.131474201345681e-28
504	0.1967767	1.2349245213376296e-31
505	0.1918377	2.7154087080731733e-29
506	0.2021744	2.8740717223989547e-34
507	0.1934678	4.657375714731327e-30
508	0.1908729	7.64786232759406e-29
509	0.1958853	3.3054348581481705e-31
510	0.1927512	1.0130909816368038e-29
511	0.188717	7.566679599800497e-28
512	0.1929099	8.531494288590307e-30
513	0.1878867	1.814213029157534e-27
514	0.1926058	1.185651021427329e-29
515	0.1947065	1.2062108047356524e-30
516	0.1950464	8.31190342047489e-31
517	0.1925435	1.2682571617533863e-29
518	0.1955252	4.9131826964378086e-31
519	0.1919522	2.400449020385704e-29
520	0.1846841	5.0653047545826836e-26
521	0.1891008	5.042895114152524e-28
522	0.1940717	2.413356827736472e-30
523	0.1951451	7.459010953299535e-31
524	0.1878546	1.876423095758613e-27
525	0.1897	2.671195577636949e-28
526	0.1870356	4.424877872175582e-27
527	0.1932889	5.6563007396737606e-30
528	0.1953319	6.076042776276184e-31
529	0.1945888	1.371992159255199e-30
530	0.1912966	4.8570205494832385e-29
531	0.193495	4.521710274603275e-30
532	0.1969189	1.0549584988017002e-31
533	0.19705	9.122687859267791e-32
534	0.1854257	2.3577488694678458e-26
535	0.1909786	6.829666946902734e-29
536	0.1932523	5.885545643788702e-30
537	0.194149	2.2182111217377817e-30
538	0.1910031	6.652805740194669e-29
539	0.1923359	1.5870840576919098e-29
540	0.1902384	1.5061194220127598e-28
541	0.1860563	1.2268869338416082e-26
542	0.1947526	1.1468518626028098e-30
543	0.1891475	4.79963551235187e-28
544	0.1904706	1.175664041525953e-28
545	0.18857	8.83668298547368e-28
546	0.1900244	1.891769197863397e-28
547	0.1971616	8.060502451022571e-32
548	0.1868976	5.1107560124536844e-27
549	0.1909464	7.069241594768665e-29
550	0.1903972	1.27146765883473e-28
551	0.1934295	4.855295194865227e-30
552	0.1913079	4.7984894391103807e-29
553	0.1941741	2.158285928251206e-30
554	0.1856306	1.907425319530577e-26
555	0.1908633	7.726834258621359e-29
556	0.1937755	3.3326309420674336e-30
557	0.1916035	3.493319704128722e-29
558	0.1854788	2.2317973048782553e-26
559	0.192287	1.6731053478138386e-29
560	0.184727	4.846618650322173e-26
561	0.1950752	8.053474607169165e-31
562	0.1892279	4.407855531731398e-28
563	0.1919322	2.4527176763193657e-29
564	0.1932333	6.008172609293245e-30
565	0.1899724	1.9994321884556718e-28
566	0.189643	2.8379352276356414e-28
567	0.1939752	2.6810989291988592e-30
