Dataset	Random-mean	P-value
0	0.19966275	2.7852516135469196e-44
1	0.19688443	2.9345199250058345e-42
2	0.19370344	5.594492560653491e-40
3	0.19479828	9.276265714734709e-41
4	0.19849437	1.9901782835744164e-43
5	0.19558783	2.5216589558587176e-41
6	0.20035156	8.69167487958247e-45
7	0.19583958	1.6626871441997486e-41
8	0.19710791	2.0224967133780373e-42
9	0.20192579	5.984514170312979e-46
10	0.19854688	1.8222806490490765e-43
11	0.19960503	3.070219772208883e-44
12	0.19810695	3.8105576339512674e-43
13	0.19417677	2.576066189072266e-40
14	0.19622774	8.738832483436837e-42
15	0.20276068	1.4364902047468133e-46
16	0.19691153	2.8050773272408653e-42
17	0.19745877	1.1264856097418841e-42
18	0.19814845	3.554649978530788e-43
19	0.1922872	5.625314191218564e-39
20	0.20109454	2.4643868538854503e-45
21	0.1965171	5.40542834323472e-42
22	0.19695949	2.589792225823246e-42
23	0.19465885	1.166860019607783e-40
24	0.19702843	2.308868945329758e-42
25	0.20294848	1.0413114018239843e-46
26	0.1988945	1.0161760503977542e-43
27	0.19543396	3.2517575140543274e-41
28	0.19842174	2.2481149333615695e-43
29	0.19519434	4.829594224083076e-41
30	0.19264171	3.16222196089025e-39
31	0.1979854	4.670691610406503e-43
32	0.19744225	1.1579850495851524e-42
33	0.20054765	6.234754885093471e-45
34	0.19989828	1.87117267363353e-44
35	0.19440876	1.7601857592303365e-40
36	0.19997745	1.636825030904553e-44
37	0.19415951	2.650050518889478e-40
38	0.20108857	2.489516041543109e-45
39	0.19563296	2.3403429042967183e-41
40	0.19388816	4.134534366984328e-40
41	0.19746154	1.121288190729614e-42
42	0.19665677	4.2856572966445073e-42
43	0.19980691	2.183498547109803e-44
44	0.20163899	9.758289941480078e-46
45	0.19679072	3.42976576844357e-42
46	0.19403964	3.225706193036282e-40
47	0.19286035	2.2154294128786537e-39
48	0.19873181	1.3357727430743844e-43
49	0.19989286	1.8883887073254782e-44
50	0.19414410000000001	2.717892256361059e-40
51	0.19459537	1.2952704455332653e-40
52	0.1988423	1.1093927625469486e-43
53	0.19761266	8.711722605443946e-43
54	0.20151713	1.200917995313812e-45
55	0.2034366	4.506888430068706e-47
56	0.19723252	1.6431342194151205e-42
57	0.19902673	8.135249886016619e-44
58	0.19486745	8.277739251864182e-41
59	0.1971245	1.96734435516941e-42
60	0.19807912	3.992377763037728e-43
61	0.2020053	5.2252954510516e-46
62	0.19927221	5.381135077556025e-44
63	0.19629093	7.869037623413897e-42
64	0.2011031	2.4287964702336672e-45
65	0.19951026	3.602500865325311e-44
66	0.19880426	1.182649089732828e-43
67	0.20083242	3.846323126001233e-45
68	0.19791637	5.242718672150583e-43
69	0.2001771	1.1677747670011452e-44
70	0.19650243	5.5387853413802895e-42
71	0.19687041	3.00380604340308e-42
72	0.202422	2.5643752399429357e-46
73	0.19948461	3.761763188176288e-44
74	0.20151934	1.1964073444230829e-45
75	0.19916327	6.464848650981347e-44
76	0.19341617	8.948223940025752e-40
77	0.1984126	2.2828511902849055e-43
78	0.20004476	1.4607592446052694e-44
79	0.19893621	9.473387764984639e-44
80	0.19408851	2.9773285205884335e-40
81	0.19007574	1.9902382626214772e-37
82	0.19792143	5.198514028882522e-43
83	0.19724918	1.5981119560182086e-42
84	0.19629598	7.80336950467381e-42
85	0.19442681	1.7087588768732116e-40
86	0.19483445	8.739999332555114e-41
87	0.19269647	2.8927189775460106e-39
88	0.20099778	2.904729092731307e-45
89	0.20098855	2.950628484044204e-45
90	0.19618666	9.355039789533021e-42
91	0.19916252	6.473017847035139e-44
92	0.19686386	3.0367323782840525e-42
93	0.19715085	1.882811235551536e-42
94	0.20206232	4.740728208227413e-46
95	0.19685319	3.0911418114448245e-42
96	0.1910683	4.039299370915617e-38
97	0.19798446	4.678046796995815e-43
98	0.19547445	3.0413576454527523e-41
99	0.19792865	5.136082052574428e-43
100	0.20183754	6.956621122442977e-46
101	0.19660532	4.668336815330242e-42
102	0.20003183	1.4930486979461464e-44
103	0.19320704	1.2589893879658179e-39
104	0.20289568	1.1399225103581307e-46
105	0.19840421	2.315207938250771e-43
106	0.19393995	3.798220008452521e-40
107	0.19892109	9.717380281157607e-44
108	0.1974832	1.0814628259648314e-42
109	0.19483898	8.675051492530736e-41
110	0.1976316	8.440344392093664e-43
111	0.19955628	3.3334262567822896e-44
112	0.19967289	2.737986166529114e-44
113	0.19893554	9.484069112635412e-44
114	0.19936325	4.615830971974887e-44
115	0.20255564	2.040408665226473e-46
116	0.19701875	2.346400196339078e-42
117	0.19784436	5.913972815531488e-43
118	0.19963849	2.9016624290455973e-44
119	0.19605223	1.169063978184658e-41
120	0.18816811	4.1514934093895644e-36
121	0.20075624	4.377143165523849e-45
122	0.19322035	1.2319405193277526e-39
123	0.19770963	7.408384089655421e-43
124	0.19886166	1.0738653423935032e-43
125	0.19430096	2.1010744328612507e-40
126	0.19644311	6.112314459932127e-42
127	0.19900051	8.502182154142044e-44
128	0.20036427	8.506589088327725e-45
129	0.19903185	8.065463258978057e-44
130	0.19292873	1.9819254950036467e-39
131	0.19639211	6.652493979251608e-42
132	0.19987311	1.9524695876135748e-44
133	0.20383039	2.2902844114843783e-47
134	0.19860559	1.651228857020957e-43
135	0.1916544	1.5681722213587244e-38
136	0.19956354	3.292847727523605e-44
137	0.20293914	1.0581135891249561e-46
138	0.19443224	1.6935831180225775e-40
139	0.19997062	1.655832567357981e-44
140	0.20098459	2.9705420214677906e-45
141	0.19772295	7.245246463767136e-43
142	0.19178008	1.2796601543279622e-38
143	0.19507561	5.874221779406636e-41
144	0.19534849	3.744727350634726e-41
145	0.20313152	7.608297960119764e-47
146	0.19806236	4.106021456699231e-43
147	0.19604692	1.1793974595069808e-41
148	0.20074357	4.4722558886787686e-45
149	0.19546043	3.1126281501180914e-41
150	0.20133192	1.6459466227044297e-45
151	0.20022175	1.0827905305718344e-44
152	0.1969116	2.8047504548178713e-42
153	0.1928082	2.4117652914339312e-39
