Chrom	Pos	EnrichmentRatio
Chr1	74736	0.1347
Chr1	103308	0.2706
Chr1	7675238	0.2247
Chr1	152232	0.1647
Chr1	3799279	0.0
Chr1	170065	0.4962
Chr1	193815	0.1199
Chr1	1595066	0.2263
Chr1	211851	0.4497
Chr1	9629726	0.1348
Chr1	2169571	0.1199
Chr1	12582061	0.0899
Chr1	9153882	0.2168
Chr1	2460974	0.0599
Chr1	325017	0.0
Chr1	369123	0.1575
Chr1	2527850	0.03
Chr1	10486563	0.2399
Chr1	420421	0.0319
Chr1	681656	0.2243
Chr1	6529672	0.1499
Chr1	6071470	0.0149
Chr1	539570	0.3514
Chr1	1901393	0.0942
Chr1	565836	0.1213
Chr1	597354	0.0749
Chr1	7196899	0.6096
Chr1	664710	0.2247
Chr1	689314	0.0
Chr1	9504742	0.0
Chr1	705273	0.0149
Chr1	11046861	0.0598
Chr1	729413	0.0599
Chr1	774736	0.1198
Chr1	795795	0.0749
Chr1	834184	0.0
Chr1	857928	0.2098
Chr1	929914	0.0449
Chr1	955357	0.0598
Chr1	956766	0.1448
Chr1	964281	0.1049
Chr1	10833237	0.0
Chr1	9206062	0.3087
Chr1	1076591	0.1049
Chr1	1103918	0.2398
Chr1	9119092	0.1797
Chr1	1131954	0.4798
Chr1	4644681	0.0149
Chr1	2654551	0.0149
Chr1	1184146	0.1199
Chr1	2939512	0.0
Chr1	2580175	0.0
Chr1	7586102	0.0
Chr1	1259557	0.2592
Chr1	1263578	0.0
Chr1	1280140	0.2997
Chr1	1281537	0.2997
Chr1	5638426	0.7173
Chr1	1285065	0.2247
Chr1	1289574	0.1198
Chr1	1292044	0.0855
Chr1	9064933	0.2547
Chr1	10905467	0.0666
Chr1	1384409	0.284
Chr1	7515880	0.1798
Chr1	3356715	0.0184
Chr1	7320466	0.2998
Chr1	1583081	0.0479
Chr1	5710943	0.0899
Chr1	1661091	0.0299
Chr1	1679911	0.1648
Chr1	1719805	0.1603
Chr1	1723819	0.2098
Chr1	1731344	0.0
Chr1	1743940	0.1946
Chr1	1753226	0.0
