Chrom	Pos	EnrichmentRatio
Chr1	53500	0.3391
Chr1	74500	0.2314
Chr1	103000	0.1858
Chr1	151500	0.2479
Chr1	152000	0.2721
Chr1	167500	0.241
Chr1	169500	0.2342
Chr1	193500	0.213
Chr1	201000	0.1932
Chr1	211500	0.252
Chr1	213000	0.1123
Chr1	271500	0.2978
Chr1	286500	0.1022
Chr1	320000	0.1234
Chr1	324500	0.1342
Chr1	369000	0.4331
Chr1	385500	0.1196
Chr1	420000	0.2577
Chr1	465500	0.3897
Chr1	506500	0.2032
Chr1	537000	0.0912
Chr1	539000	0.0912
Chr1	541500	0.1566
Chr1	545500	0.0914
Chr1	559500	0.3028
Chr1	565500	0.3679
Chr1	597000	0.0654
Chr1	627500	0.1739
Chr1	662000	0.1074
Chr1	664500	0.0578
Chr1	689000	0.1504
Chr1	704000	0.1789
Chr1	705000	0.171
Chr1	729000	0.2246
Chr1	774500	0.1391
Chr1	791500	0.2654
Chr1	795500	0.2074
Chr1	834000	0.12
Chr1	857500	0.0979
Chr1	929500	0.2028
Chr1	955000	0.1931
Chr1	956500	0.2074
Chr1	964000	0.1722
Chr1	1072000	0.2
Chr1	1076500	0.2478
Chr1	1103500	0.2043
Chr1	1117500	0.0963
Chr1	1131500	0.2034
Chr1	1141500	0.2661
Chr1	1170000	0.3102
Chr1	1184000	0.1487
Chr1	1186000	0.1551
Chr1	1188500	0.2333
Chr1	1196500	0.2007
Chr1	1254000	0.1049
Chr1	1259500	0.0954
Chr1	1263000	0.0954
Chr1	1280000	0.0704
Chr1	1281000	0.0704
Chr1	1284500	0.1307
Chr1	1285000	0.1307
Chr1	1289500	0.146
Chr1	1291500	0.1427
Chr1	1342500	0.2841
Chr1	1344000	0.1788
Chr1	1384000	0.0723
Chr1	1399000	0.1418
Chr1	1544500	0.1598
Chr1	1572000	0.1887
Chr1	1582500	0.0759
Chr1	1606500	0.0504
Chr1	1661000	0.3254
Chr1	1679500	0.1448
Chr1	1719500	0.1761
Chr1	1723500	0.1871
Chr1	1731000	0.2174
Chr1	1743500	0.1975
Chr1	1753000	0.1073
Chr1	1764500	0.1467
Chr1	1773500	0.1848
Chr1	1786000	0.1378
Chr1	1813500	0.0933
Chr1	1814500	0.0933
Chr1	1821500	0.2368
Chr1	1825000	0.2446
Chr1	1848500	0.0
Chr1	1854500	0.0823
Chr1	1867500	0.087
Chr1	1869500	0.1228
Chr1	1928000	0.1128
Chr1	1934000	0.1447
Chr1	1947000	0.1399
Chr1	1971500	0.1139
Chr1	1988000	0.0906
Chr1	2022500	0.1394
Chr1	2036000	0.1767
Chr1	2043000	0.1356
Chr1	2115500	0.0877
Chr1	2141000	0.2053
Chr1	2147500	0.1918
Chr1	2169000	0.2339
Chr1	2231000	0.3079
Chr1	2238000	0.2593
Chr1	2372000	0.1983
Chr1	2442000	0.334
Chr1	2484000	0.1799
Chr1	2490500	0.2264
Chr1	2518000	0.1635
Chr1	2548500	0.1352
Chr1	2564500	0.332
Chr1	2569000	0.222
Chr1	2575000	0.089
Chr1	2579000	0.1497
Chr1	2587000	0.3474
Chr1	2608000	0.1227
Chr1	2622500	0.2223
Chr1	2689500	0.2122
Chr1	2718500	0.1347
Chr1	2731500	0.0517
Chr1	2938500	0.1282
Chr1	3017000	0.2236
Chr1	3123000	0.197
Chr1	3141500	0.1269
Chr1	3143000	0.0717
Chr1	3235000	0.0703
Chr1	3242000	0.3309
Chr1	3250000	0.1898
Chr1	3264500	0.1872
Chr1	3327500	0.367
Chr1	3367000	0.1951
Chr1	3391500	0.1845
Chr1	3408500	0.1192
Chr1	3454000	0.0958
Chr1	3456500	0.0998
Chr1	3496000	0.0865
Chr1	3503000	0.0925
Chr1	3513000	0.0898
Chr1	3525500	0.182
Chr1	3534500	0.133
Chr1	3572500	0.1211
Chr1	3581500	0.0236
Chr1	3582000	0.0236
Chr1	3585500	0.0077
Chr1	3614000	0.192
Chr1	3624500	0.1505
