Chrom	Pos	EnrichmentRatio
Chr1	53500	1.0
Chr1	74500	1.0
Chr1	103000	0.0
Chr1	151500	1.0
Chr1	152000	0.71
Chr1	167500	1.0
Chr1	169500	1.0
Chr1	193500	0.67
Chr1	201000	1.0
Chr1	211500	1.0
Chr1	213000	0.541
Chr1	271500	1.0
Chr1	286500	1.0
Chr1	320000	0.958
Chr1	324500	0.917
Chr1	369000	0.0
Chr1	385500	1.0
Chr1	420000	1.0
Chr1	465500	0.282
Chr1	506500	1.0
Chr1	537000	0.711
Chr1	539000	1.0
Chr1	541500	0.665
Chr1	545500	1.0
Chr1	559500	0.0
Chr1	565500	1.0
Chr1	597000	1.0
Chr1	627500	1.0
Chr1	662000	1.0
Chr1	664500	0.128
Chr1	689000	1.0
Chr1	704000	1.0
Chr1	705000	1.0
Chr1	729000	0.0
Chr1	774500	1.0
Chr1	791500	0.592
Chr1	795500	1.0
Chr1	834000	1.0
Chr1	857500	1.0
Chr1	929500	0.0
Chr1	955000	0.975
Chr1	956500	0.097
Chr1	964000	1.0
Chr1	1072000	0.0
Chr1	1076500	1.0
Chr1	1103500	0.0
Chr1	1117500	1.0
Chr1	1131500	0.0
Chr1	1141500	1.0
Chr1	1170000	0.0
Chr1	1184000	0.204
Chr1	1186000	1.0
Chr1	1188500	0.793
Chr1	1196500	0.0
Chr1	1254000	1.0
Chr1	1259500	1.0
Chr1	1263000	1.0
Chr1	1280000	1.0
Chr1	1281000	1.0
Chr1	1284500	1.0
Chr1	1285000	1.0
Chr1	1289500	1.0
Chr1	1291500	0.793
Chr1	1342500	1.0
Chr1	1344000	0.084
Chr1	1384000	0.659
Chr1	1399000	1.0
Chr1	1544500	0.0
Chr1	1572000	0.78
Chr1	1582500	1.0
Chr1	1606500	0.0
Chr1	1661000	0.0
Chr1	1679500	1.0
Chr1	1719500	1.0
Chr1	1723500	1.0
Chr1	1731000	1.0
Chr1	1743500	0.0
Chr1	1753000	1.0
Chr1	1764500	1.0
Chr1	1773500	1.0
Chr1	1786000	0.792
Chr1	1813500	1.0
Chr1	1814500	1.0
Chr1	1821500	0.894
Chr1	1825000	0.952
Chr1	1848500	1.0
Chr1	1854500	1.0
Chr1	1867500	0.985
Chr1	1869500	1.0
Chr1	1928000	1.0
Chr1	1934000	0.514
Chr1	1947000	1.0
Chr1	1971500	1.0
Chr1	1988000	1.0
Chr1	2022500	1.0
Chr1	2036000	1.0
Chr1	2043000	1.0
Chr1	2115500	1.0
Chr1	2141000	0.318
Chr1	2147500	0.0
Chr1	2169000	0.936
Chr1	2231000	1.0
Chr1	2238000	1.0
Chr1	2372000	1.0
Chr1	2442000	0.0
Chr1	2484000	1.0
Chr1	2490500	1.0
Chr1	2518000	1.0
Chr1	2548500	0.181
Chr1	2564500	0.428
Chr1	2569000	1.0
Chr1	2575000	1.0
Chr1	2579000	1.0
Chr1	2587000	0.244
Chr1	2608000	0.099
Chr1	2622500	1.0
Chr1	2689500	0.984
Chr1	2718500	0.222
Chr1	2731500	1.0
Chr1	2938500	1.0
Chr1	3017000	1.0
Chr1	3123000	0.57
Chr1	3141500	1.0
Chr1	3143000	1.0
Chr1	3235000	1.0
Chr1	3242000	0.132
Chr1	3250000	0.0
Chr1	3264500	0.788
Chr1	3327500	0.977
Chr1	3367000	1.0
Chr1	3391500	1.0
Chr1	3408500	1.0
