Chrom	Pos	EnrichmentRatio
Chr1	74736	0.2314
Chr1	103308	0.2135
Chr1	7675238	0.0172
Chr1	152232	0.274
Chr1	3799279	0.0669
Chr1	170065	0.2342
Chr1	193815	0.2445
Chr1	1595066	0.1978
Chr1	211851	0.2169
Chr1	9629726	0.1861
Chr1	2169571	0.1768
Chr1	12582061	0.1717
Chr1	9153882	0.1744
Chr1	2460974	0.2246
Chr1	325017	0.1342
Chr1	369123	0.4208
Chr1	2527850	0.0707
Chr1	10486563	0.103
Chr1	420421	0.227
Chr1	681656	0.0
Chr1	6529672	0.2265
Chr1	6071470	0.1883
Chr1	539570	0.1159
Chr1	1901393	0.15
Chr1	565836	0.3464
Chr1	597354	0.1008
Chr1	7196899	0.0751
Chr1	664710	0.0579
Chr1	689314	0.1504
Chr1	9504742	0.124
Chr1	705273	0.171
Chr1	11046861	0.0379
Chr1	729413	0.2246
Chr1	774736	0.117
Chr1	795795	0.2074
Chr1	834184	0.12
Chr1	857928	0.0979
Chr1	929914	0.2028
Chr1	955357	0.1931
Chr1	956766	0.2124
Chr1	964281	0.1722
Chr1	10833237	0.0835
Chr1	9206062	0.1964
Chr1	1076591	0.2387
Chr1	1103918	0.2461
Chr1	9119092	0.0973
Chr1	1131954	0.2034
Chr1	4644681	0.172
Chr1	2654551	0.0501
Chr1	1184146	0.1551
Chr1	2939512	0.1345
Chr1	2580175	0.1538
Chr1	7586102	0.0607
Chr1	1259557	0.0954
Chr1	1263578	0.0606
Chr1	1280140	0.0704
Chr1	1281537	0.0818
Chr1	5638426	0.2466
Chr1	1285065	0.1307
Chr1	1289574	0.1504
Chr1	1292044	0.1204
Chr1	9064933	0.1155
Chr1	10905467	0.2367
Chr1	1384409	0.0542
Chr1	7515880	0.0138
Chr1	3356715	0.217
Chr1	7320466	0.26
Chr1	1583081	0.1268
Chr1	5710943	0.1734
Chr1	1661091	0.3254
Chr1	1679911	0.1448
Chr1	1719805	0.1712
Chr1	1723819	0.1798
Chr1	1731344	0.183
Chr1	1743940	0.1975
Chr1	1753226	0.1049
Chr1	6433970	0.2056
Chr1	11978778	0.1783
Chr1	1786614	0.1378
Chr1	1813837	0.0933
Chr1	9483409	0.3408
Chr1	5315118	0.1258
Chr1	5739542	0.1385
Chr1	10436436	0.0753
Chr1	1855037	0.0823
Chr1	13206585	0.1452
Chr1	5363450	0.0671
Chr1	3572709	0.1211
Chr1	7735271	0.1703
Chr1	1928359	0.1487
Chr1	1947383	0.1399
Chr1	1971732	0.1139
Chr1	1988307	0.0906
Chr1	4702035	0.0473
Chr1	9626757	0.2045
Chr1	11376685	0.2349
Chr1	5446868	0.2484
Chr1	5641895	0.2655
Chr1	11903838	0.0846
Chr1	3599794	0.0227
Chr1	7479941	0.1555
Chr1	2490952	0.2264
Chr1	2518353	0.1677
Chr1	3658001	0.1374
Chr1	6214915	0.2212
Chr1	3820324	0.1736
Chr1	10225421	0.1122
Chr1	8662324	0.1466
Chr1	13074544	0.1718
Chr1	2689629	0.2251
Chr1	9211364	0.2135
Chr1	2731615	0.0632
Chr1	9468400	0.0
Chr1	10222996	0.1482
Chr1	6046223	0.1137
Chr1	6168060	0.0922
Chr1	12353732	0.1837
Chr1	3264956	0.2284
Chr1	3327719	0.3889
Chr1	3392028	0.2163
Chr1	3408919	0.1262
Chr1	3648600	0.0796
Chr1	3456884	0.1269
Chr1	3496370	0.0865
Chr1	3503425	0.0925
Chr1	6086857	0.0535
Chr1	3525776	0.182
Chr1	3534971	0.133
Chr1	3585554	0.0131
Chr1	3614099	0.192
Chr1	6355882	0.2344
Chr1	9959826	0.2018
Chr1	3631361	0.086
Chr1	3733515	0.0701
Chr1	3740837	0.168
Chr1	3847079	0.0962
Chr1	3848009	0.0962
Chr1	9033879	0.0681
Chr1	3908832	0.082
Chr1	3713924	0.1094
Chr1	9144305	0.088
Chr1	3937792	0.1809
Chr1	3970583	0.1144
Chr1	3989803	0.1487
Chr1	10738336	0.1026
Chr1	9555136	0.1458
Chr1	11712131	0.0376
Chr1	4189999	0.3351
Chr1	8386912	0.1433
Chr1	4219381	0.2065
Chr1	10054632	0.1546
Chr1	4244930	0.331
Chr1	4414528	0.2305
Chr1	9210452	0.1875
Chr1	4461570	0.2399
Chr1	4548256	0.1706
Chr1	9847023	0.3063
Chr1	8695724	0.3517
Chr1	7334396	0.2396
Chr1	4645449	0.172
Chr1	4653979	0.1106
Chr1	9481237	0.2614
Chr1	11673861	0.1528
Chr1	8371439	0.0103
Chr1	4753992	0.1154
Chr1	11769332	0.2506
Chr1	11122314	0.1147
Chr1	10247851	0.2885
Chr1	12868215	0.0656
Chr1	4822260	0.1216
Chr1	4835262	0.1516
Chr1	4919450	0.1734
Chr1	9457494	0.2191
Chr1	5109392	0.1606
Chr1	11470112	0.1396
Chr1	5150897	0.3434
Chr1	10797764	0.2008
Chr1	10050525	0.2007
Chr1	5210676	0.1835
Chr1	5249834	0.1331
Chr1	5419230	0.3199
Chr1	5499006	0.0996
Chr1	5513403	0.1943
Chr1	5540530	0.2368
Chr1	5548113	0.1604
Chr1	11668186	0.1547
Chr1	5575402	0.1442
Chr1	5628164	0.0538
Chr1	5635935	0.122
Chr1	6143887	0.1835
Chr1	9604117	0.0603
Chr1	9815270	0.0894
Chr1	5846845	0.2494
Chr1	7914687	0.1898
Chr1	5870037	0.135
Chr1	5942602	0.359
Chr1	5956947	0.2171
Chr1	7591856	0.0489
Chr1	6062113	0.2218
Chr1	6066601	0.2056
Chr1	7154994	0.1366
Chr1	6082170	0.0
Chr1	6148297	0.1054
Chr1	6319217	0.1096
Chr1	9455722	0.2166
Chr1	6322780	0.2674
Chr1	6369885	0.1142
Chr1	7022640	0.0766
Chr1	6488472	0.1886
Chr1	10791100	0.0971
Chr1	12549455	0.1083
Chr1	10722462	0.279
Chr1	9828067	0.3477
Chr1	8663940	0.1466
Chr1	7185986	0.0
Chr1	9360149	0.0519
Chr1	7375963	0.183
Chr1	7593381	0.0469
Chr1	7650145	0.2402
Chr1	8973407	0.235
Chr1	9421011	0.1794
Chr1	8720800	0.1392
Chr1	7951591	0.2335
Chr1	9607708	0.1458
Chr1	9095444	0.1474
Chr1	12158764	0.1172
Chr1	8284367	0.0804
Chr1	9889617	0.2704
Chr1	8351495	0.1458
Chr1	9266762	0.0761
Chr1	12167312	0.0946
Chr1	8674256	0.1233
Chr1	8721852	0.1392
Chr1	8909268	0.3025
Chr1	8910191	0.3025
Chr1	8999031	0.2213
Chr1	11238282	0.0
Chr1	10313063	0.1359
Chr1	9075202	0.1132
Chr1	10580325	0.1364
Chr1	9637026	0.1516
Chr1	11372568	0.1895
Chr1	10569813	0.2563
Chr1	10560042	0.0669
Chr1	10686774	0.1917
Chr1	10950454	0.0693
Chr1	11717411	0.1418
Chr1	12157656	0.1179
Chr1	11241536	0.0
Chr1	13071357	0.1467
Chr5	20936896	0.2814
Chr2	601358	0.0142
Chr2	603794	0.0142
Chr2	4536359	0.0
Chr2	6658917	0.0
Chr2	7581439	0.138
Chr3	9982225	0.227
Chr3	13212854	0.0
Chr4	2596990	0.2941
Chr4	18268459	0.1775
Chr4	12809217	0.0692
Chr1	2513068	0.0375
Chr1	5000204	0.2822
Chr1	151661	0.2561
Chr1	5669107	0.1498
Chr1	167885	0.2178
Chr1	11606615	0.1525
Chr1	3506044	0.1077
Chr1	201351	0.1956
Chr1	13142017	0.2417
Chr1	213034	0.1089
Chr1	271646	0.2894
Chr1	12582098	0.1717
Chr1	286856	0.1338
Chr1	320008	0.1242
Chr1	3713221	0.1094
Chr1	8124724	0.1185
Chr1	385996	0.1196
Chr1	420367	0.227
Chr1	9485109	0.2866
Chr1	465599	0.3897
Chr1	506586	0.1946
Chr1	537063	0.0912
Chr1	6484368	0.1886
Chr1	559782	0.33
Chr1	4292637	0.1942
Chr1	4173905	0.0764
Chr1	627789	0.1739
Chr1	9207682	0.1859
Chr1	1033702	0.2008
Chr1	704352	0.171
Chr1	12122522	0.1874
Chr1	728117	0.2246
Chr1	12360818	0.1285
Chr1	3714595	0.1245
Chr1	3843584	0.0539
Chr1	3388994	0.1426
Chr1	4163840	0.0833
Chr1	9145524	0.088
Chr1	10933406	0.0667
Chr1	1297088	0.1204
Chr1	8523391	0.23
Chr1	1072510	0.2
Chr1	1076504	0.2474
Chr1	5843796	0.1933
Chr1	10571965	0.2563
Chr1	1117668	0.1092
Chr1	5636458	0.1513
Chr1	1142020	0.3066
Chr1	1170233	0.295
Chr1	11813693	0.1716
Chr1	1186379	0.1814
Chr1	1188916	0.2255
Chr1	1196791	0.1716
Chr1	7938864	0.1339
Chr1	7111173	0.0769
Chr1	1328114	0.1199
Chr1	5638311	0.2466
Chr1	662354	0.1074
Chr1	4823008	0.1872
Chr1	2409834	0.2274
Chr1	3141653	0.1269
Chr1	1342901	0.2613
Chr1	1344369	0.1586
Chr1	10284316	0.0877
Chr1	1399550	0.1418
Chr1	1544701	0.1598
Chr1	1572029	0.1887
Chr1	12623760	0.0364
Chr1	1607136	0.089
Chr1	5071002	0.3123
Chr1	5340255	0.3715
Chr1	3883397	0.354
Chr1	6208130	0.1037
Chr1	8506164	0.0644
Chr1	2890672	0.1303
Chr1	7634550	0.1231
Chr1	1764668	0.1467
Chr1	1773872	0.1641
Chr1	4230249	0.3125
Chr1	4240124	0.2339
Chr1	1814736	0.0933
Chr1	1821717	0.2368
Chr1	1825162	0.2446
Chr1	1848614	0.0
Chr1	2683474	0.1504
Chr1	5363239	0.0671
Chr1	1867539	0.087
Chr1	7735172	0.1703
Chr1	1869698	0.1113
Chr1	5108528	0.1606
Chr1	6489851	0.1021
Chr1	12157080	0.1714
Chr1	9170271	0.101
Chr1	2022563	0.144
Chr1	2036296	0.1767
Chr1	2043135	0.149
Chr1	2115506	0.0877
Chr1	2147549	0.1918
Chr1	2231456	0.2947
Chr1	2238345	0.2248
Chr1	2484239	0.2038
Chr1	3702270	0.1871
Chr1	11923945	0.2787
Chr1	2548668	0.1352
Chr1	2564986	0.332
Chr1	2575533	0.089
Chr1	2579236	0.1497
Chr1	2608512	0.1537
Chr1	2622520	0.2223
Chr1	10297252	0.296
Chr1	2718789	0.1482
Chr1	6357377	0.2707
Chr1	2938929	0.1345
Chr1	3017003	0.2236
Chr1	3123166	0.197
Chr1	3142099	0.1269
Chr1	3235053	0.0756
Chr1	11530452	0.2055
Chr1	10352903	0.1295
Chr1	3694970	0.0
Chr1	3797746	0.0304
Chr1	3454307	0.0958
Chr1	10221282	0.1375
Chr1	6434678	0.2056
Chr1	6831400	0.1498
Chr1	3513305	0.0898
Chr1	10428915	0.1232
Chr1	3808537	0.3133
Chr1	9696813	0.1751
Chr1	3632340	0.0967
Chr1	3624729	0.1505
Chr1	3630813	0.1369
Chr1	4717176	0.3058
Chr1	5138532	0.2171
Chr1	5941328	0.3154
Chr1	11576357	0.1684
Chr1	11242220	0.0
Chr1	3871921	0.0692
Chr1	9288900	0.2429
Chr1	9144178	0.088
Chr1	3937969	0.1809
Chr1	7101977	0.2592
Chr1	6254997	0.1115
Chr1	5179678	0.1771
Chr1	4121007	0.2247
Chr1	4127244	0.1115
Chr1	4146677	0.2374
Chr1	10946028	0.1243
Chr1	4202534	0.07
Chr1	10383570	0.1173
Chr1	4243690	0.3845
Chr1	7509470	0.2244
Chr1	6501276	0.1772
Chr1	4456198	0.1327
Chr1	13899666	0.0379
Chr1	8572887	0.1065
Chr1	4613232	0.248
Chr1	4633368	0.0263
Chr1	4645308	0.172
Chr1	9605355	0.0603
Chr1	10062955	0.0469
Chr1	4704280	0.0343
Chr1	4740871	0.1532
Chr1	4753401	0.1617
Chr1	9533766	0.2123
Chr1	4787395	0.2092
Chr1	4788489	0.1587
Chr1	4806523	0.1943
Chr1	4811092	0.1091
Chr1	8507068	0.0644
Chr1	10158050	0.0
Chr1	5465158	0.1244
Chr1	4969278	0.181
Chr1	7592650	0.0489
Chr1	5141665	0.3396
Chr1	9600580	0.0079
Chr1	5171755	0.2483
Chr1	5210546	0.1835
Chr1	8867416	0.0852
Chr1	9731291	0.1872
Chr1	10964531	0.2129
Chr1	6136647	0.1643
Chr1	8658867	0.1282
Chr1	7293706	0.0887
Chr1	7906772	0.193
Chr1	5575139	0.1429
Chr1	12386208	0.0485
Chr1	13055229	0.0708
Chr1	13054425	0.0708
Chr1	5662332	0.0223
Chr1	5714409	0.1654
Chr1	5816169	0.0784
Chr1	6571764	0.0694
Chr1	5858307	0.1163
Chr1	10388203	0.0337
Chr1	8346855	0.1329
Chr1	9937824	0.3529
Chr1	6057261	0.1298
Chr1	8679152	0.1405
Chr1	7545920	0.0663
Chr1	6069080	0.1272
Chr1	10469827	0.0358
Chr1	7430677	0.0439
Chr1	6216564	0.1685
Chr1	6253790	0.1265
Chr1	6331840	0.2698
Chr1	10986758	0.1392
Chr1	6371039	0.1142
Chr1	7043902	0.2014
Chr1	6671508	0.3251
Chr1	6718657	0.0998
Chr1	6764820	0.2207
Chr1	6789194	0.175
Chr1	7068615	0.1207
Chr1	7503631	0.2906
Chr1	7215627	0.0773
Chr1	11873927	0.1076
Chr1	10907006	0.2193
Chr1	8705128	0.0834
Chr1	7655665	0.2337
Chr1	7684160	0.1045
Chr1	7780184	0.1435
Chr1	8281530	0.0804
Chr1	8025377	0.1368
Chr1	8047846	0.1334
Chr1	8158843	0.1883
Chr1	9003576	0.1342
Chr1	8302591	0.259
Chr1	9453031	0.309
Chr1	8493319	0.031
Chr1	8651590	0.0696
Chr1	11057146	0.1076
Chr1	10219511	0.1319
Chr1	10819374	0.1493
Chr1	15607610	0.0608
Chr1	9716522	0.0966
Chr1	9017577	0.1072
Chr1	9063210	0.1214
Chr1	10609897	0.0858
Chr1	9346039	0.1723
Chr1	11372833	0.2092
Chr1	11282178	0.0
Chr1	9788111	0.0417
Chr1	12592131	0.047
Chr1	13072133	0.1498
Chr1	11717070	0.1625
Chr1	1934213	0.1447
Chr1	11116159	0.1816
Chr1	12495686	0.0299
Chr1	11880670	0.0983
Chr1	30069799	0.1803
Chr2	603691	0.0142
Chr2	603826	0.0142
Chr2	2656360	0.0
Chr2	6664117	0.1344
Chr2	7584146	0.0789
Chr5	1482647	0.0306
Chr3	12054883	0.0
Chr4	2602649	0.0
Chr4	12809176	0.0692
Chr4	12809272	0.0741
