Chrom	Pos	EnrichmentRatio
Chr1	53500	0.1349
Chr1	74500	0.145
Chr1	103000	0.0299
Chr1	151500	0.0
Chr1	152000	0.0
Chr1	167500	0.1949
Chr1	169500	0.1949
Chr1	193500	0.1948
Chr1	201000	0.1649
Chr1	211500	0.0849
Chr1	213000	0.2149
Chr1	271500	0.0
Chr1	286500	0.0949
Chr1	320000	0.0
Chr1	324500	0.0
Chr1	369000	0.0
Chr1	385500	0.0
Chr1	420000	0.0
Chr1	465500	0.0
Chr1	506500	0.0
Chr1	537000	0.2749
Chr1	539000	0.0749
Chr1	541500	0.0149
Chr1	545500	0.0
Chr1	559500	0.1648
Chr1	565500	0.1697
Chr1	597000	0.4048
Chr1	627500	0.1599
Chr1	662000	0.0099
Chr1	664500	0.1199
Chr1	689000	0.0
Chr1	704000	0.1898
Chr1	705000	0.2898
Chr1	729000	0.0899
Chr1	774500	0.0
Chr1	791500	0.0299
Chr1	795500	0.0299
Chr1	834000	0.0149
Chr1	857500	0.0599
Chr1	929500	0.0
Chr1	955000	0.175
Chr1	956500	0.025
Chr1	964000	0.2099
Chr1	1072000	0.0
Chr1	1076500	0.0
Chr1	1103500	0.1498
Chr1	1117500	0.0749
Chr1	1131500	0.0299
Chr1	1141500	0.0749
Chr1	1170000	0.1649
Chr1	1184000	0.1499
Chr1	1186000	0.0449
Chr1	1188500	0.0449
Chr1	1196500	0.1498
Chr1	1254000	0.1798
Chr1	1259500	0.3747
Chr1	1263000	0.6048
Chr1	1280000	0.1497
Chr1	1281000	0.1497
Chr1	1284500	0.1348
Chr1	1285000	0.1497
Chr1	1289500	0.0598
Chr1	1291500	0.2147
Chr1	1342500	0.1498
Chr1	1344000	0.1748
Chr1	1384000	0.0
Chr1	1399000	0.25
Chr1	1544500	0.0
Chr1	1572000	0.035
Chr1	1582500	0.1049
Chr1	1606500	0.4548
Chr1	1661000	0.0899
Chr1	1679500	0.2799
Chr1	1719500	0.0149
Chr1	1723500	0.1547
Chr1	1731000	0.1499
Chr1	1743500	0.0899
Chr1	1753000	0.0599
Chr1	1764500	0.0
Chr1	1773500	0.4199
Chr1	1786000	0.2397
Chr1	1813500	0.0
Chr1	1814500	0.0299
Chr1	1821500	0.1198
Chr1	1825000	0.0449
Chr1	1848500	0.0899
Chr1	1854500	0.1648
Chr1	1867500	0.0
Chr1	1869500	0.0249
Chr1	1928000	0.2098
Chr1	1934000	0.03
Chr1	1947000	0.1798
Chr1	1971500	0.0449
Chr1	1988000	0.57
Chr1	2022500	0.0
Chr1	2036000	0.0
Chr1	2043000	0.0
Chr1	2115500	0.1198
Chr1	2141000	0.1949
Chr1	2147500	0.0
Chr1	2169000	0.1199
Chr1	2231000	0.2399
Chr1	2238000	0.2399
Chr1	2372000	0.0
Chr1	2442000	0.0449
Chr1	2484000	0.0
Chr1	2490500	0.1198
Chr1	2518000	0.1199
Chr1	2548500	0.0
Chr1	2564500	0.1349
Chr1	2569000	0.2548
Chr1	2575000	0.1349
Chr1	2579000	0.0299
Chr1	2587000	0.1299
Chr1	2608000	0.0749
Chr1	2622500	0.0
Chr1	2689500	0.1199
Chr1	2718500	0.1649
Chr1	2731500	0.0
Chr1	2938500	0.0749
Chr1	3017000	0.0
Chr1	3123000	0.1948
Chr1	3141500	0.1749
Chr1	3143000	0.2699
Chr1	3235000	0.0599
Chr1	3242000	0.2797
Chr1	3250000	0.1799
Chr1	3264500	0.2349
Chr1	3327500	0.1199
Chr1	3367000	0.0
Chr1	3391500	0.1799
Chr1	3408500	0.0899
Chr1	3454000	0.0
Chr1	3456500	0.0
Chr1	3496000	0.0
Chr1	3503000	0.1048
Chr1	3513000	0.4247
Chr1	3525500	0.0299
Chr1	3534500	0.1449
Chr1	3572500	0.1349
Chr1	3581500	0.2799
Chr1	3582000	0.2549
Chr1	3585500	0.06
Chr1	3614000	0.0149
Chr1	3624500	0.0
Chr1	3630500	0.1649
Chr1	3631000	0.1649
Chr1	3713500	0.4348
Chr1	3733500	0.1499
Chr1	3740500	0.5697
Chr1	3747000	0.3949
Chr1	3847000	0.2949
Chr1	3847500	0.2549
Chr1	3861500	0.0
Chr1	3862000	0.0
Chr1	3871500	0.1249
Chr1	3893000	0.0299
Chr1	3908500	0.1049
Chr1	3937500	0.0749
Chr1	3970500	0.0
Chr1	3989500	0.0449
Chr1	4120500	0.2749
Chr1	4127000	0.2999
Chr1	4146500	0.1948
Chr1	4189500	0.1349
Chr1	4202500	0.0299
Chr1	4219000	0.1199
Chr1	4243500	0.2098
Chr1	4244500	0.1749
Chr1	4355500	0.0898
Chr1	4414000	0.0
Chr1	4456000	0.1648
Chr1	4461000	0.035
Chr1	4529500	0.0
Chr1	4548000	0.0
Chr1	4613000	0.0549
Chr1	4633000	1.0
Chr1	4645000	0.0
Chr1	4653500	0.0
Chr1	4670500	0.1949
Chr1	4704000	0.0
Chr1	4740500	0.2398
Chr1	4753000	0.2698
Chr1	4753500	0.3198
Chr1	4787000	0.0449
Chr1	4788000	0.0449
Chr1	4806500	0.0
Chr1	4811000	0.3098
Chr1	4818000	0.4448
Chr1	4822000	0.3599
Chr1	4835000	0.0749
Chr1	4919000	0.0
Chr1	4954500	0.2149
Chr1	4969000	0.5098
Chr1	5005500	0.0749
Chr1	5109000	0.0
Chr1	5141500	0.1197
Chr1	5150500	0.0449
Chr1	5165000	0.1499
Chr1	5171500	0.0899
Chr1	5182500	0.1949
Chr1	5210500	0.2849
Chr1	5249500	0.0
Chr1	5363000	0.2998
Chr1	5418500	0.0748
Chr1	5419000	0.0748
Chr1	5498500	0.085
Chr1	5513000	0.0849
Chr1	5540000	0.33
Chr1	5547500	0.2649
Chr1	5575000	0.2548
Chr1	5628000	0.1499
Chr1	5635500	0.095
Chr1	5662000	0.0
Chr1	5714000	0.1198
Chr1	5816000	0.0
Chr1	5846500	0.0
Chr1	5858000	0.0149
Chr1	5869500	0.1799
Chr1	5942500	0.1798
Chr1	5956500	0.0
Chr1	5989000	0.1049
Chr1	6057000	0.6148
Chr1	6062000	0.3548
Chr1	6066500	0.1799
Chr1	6069000	0.1799
Chr1	6082000	0.0
Chr1	6114500	0.0748
Chr1	6148000	0.1049
Chr1	6216500	0.0299
Chr1	6253500	0.1049
Chr1	6303500	0.0
Chr1	6322500	0.4049
Chr1	6369500	0.1349
Chr1	6371000	0.1349
Chr1	6488000	0.3249
Chr1	6565500	0.3097
Chr1	6608000	0.0899
Chr1	6671500	0.2248
Chr1	6718500	0.0
Chr1	6764500	0.2848
Chr1	6789000	0.0
Chr1	7068500	0.0749
Chr1	7136000	0.4049
Chr1	7185500	0.6998
Chr1	7215500	0.0
Chr1	7244500	0.2098
Chr1	7280500	0.1049
Chr1	7287500	0.2349
Chr1	7312000	0.1499
Chr1	7375500	0.0299
Chr1	7387500	0.1499
Chr1	7430000	0.4898
Chr1	7593000	0.02
Chr1	7649500	0.0999
Chr1	7650000	0.0499
Chr1	7655500	0.2699
Chr1	7684000	0.1899
Chr1	7774500	0.1498
Chr1	7780000	0.025
Chr1	7891500	0.0749
Chr1	7925000	0.3397
Chr1	7951500	0.0899
Chr1	8025000	0.2098
Chr1	8047500	0.0049
Chr1	8158500	0.1349
Chr1	8284000	0.1949
Chr1	8302500	0.0
Chr1	8351000	0.0299
Chr1	8362500	0.0
Chr1	8493000	0.0
Chr1	8651500	0.0
Chr1	8674000	0.1049
Chr1	8721500	0.1349
Chr1	8909000	0.0
Chr1	8910000	0.0
Chr1	8998500	0.1698
Chr1	9017500	0.0
Chr1	9063000	0.1799
Chr1	9075000	0.0
Chr1	9346000	0.1649
Chr1	9636500	0.1949
Chr1	9788000	0.0
Chr1	10042000	0.3298
Chr1	10394500	0.355
Chr1	10486000	0.0
Chr1	10560000	0.0899
Chr1	10686500	0.2698
Chr1	10950000	0.065
Chr1	11116000	0.0
Chr1	11241000	0.2098
Chr1	11282000	0.0
Chr1	11739000	0.1199
Chr1	11787000	0.1948
Chr1	11880500	0.0
Chr1	16447500	0.0
Chr1	19172000	0.0898
Chr1	19721500	0.0
Chr1	24225000	0.2999
Chr1	28993500	0.0049
Chr1	30070000	0.0
Chr2	2500	0.0599
Chr2	3000	0.0599
Chr2	601000	0.0
Chr2	1771000	0.0
Chr2	2656000	0.0
Chr2	6658500	0.0
Chr2	7581000	0.1649
