Chrom	Pos	EnrichmentRatio
Chr1	53500	0.571
Chr1	74500	0.5861
Chr1	103000	0.4019
Chr1	151500	0.66
Chr1	152000	0.6799
Chr1	167500	0.8353
Chr1	169500	0.7468
Chr1	193500	0.6849
Chr1	201000	0.7843
Chr1	211500	0.6852
Chr1	213000	0.6721
Chr1	271500	0.8484
Chr1	286500	0.9359
Chr1	320000	0.9338
Chr1	324500	0.9185
Chr1	369000	0.3652
Chr1	385500	0.9405
Chr1	420000	0.6621
Chr1	465500	0.5756
Chr1	506500	0.2531
Chr1	537000	0.7191
Chr1	539000	0.6321
Chr1	541500	0.6479
Chr1	545500	0.6221
Chr1	559500	0.4497
Chr1	565500	0.7092
Chr1	597000	0.8904
Chr1	627500	0.6246
Chr1	662000	0.7031
Chr1	664500	0.754
Chr1	689000	0.8505
Chr1	704000	0.651
Chr1	705000	0.7385
Chr1	729000	0.6936
Chr1	774500	0.6958
Chr1	791500	0.6785
Chr1	795500	0.8119
Chr1	834000	0.9332
Chr1	857500	0.8535
Chr1	929500	0.3658
Chr1	955000	0.5117
Chr1	956500	0.4345
Chr1	964000	0.7706
Chr1	1072000	0.7645
Chr1	1076500	0.752
Chr1	1103500	0.4999
Chr1	1117500	0.9742
Chr1	1131500	0.3273
Chr1	1141500	0.7463
Chr1	1170000	0.3024
Chr1	1184000	0.7308
Chr1	1186000	0.7593
Chr1	1188500	0.7397
Chr1	1196500	0.836
Chr1	1254000	0.5811
Chr1	1259500	0.8236
Chr1	1263000	0.8726
Chr1	1280000	0.4489
Chr1	1281000	0.5489
Chr1	1284500	0.763
Chr1	1285000	0.7716
Chr1	1289500	0.7902
Chr1	1291500	0.7509
Chr1	1342500	0.6163
Chr1	1344000	0.7313
Chr1	1384000	0.7585
Chr1	1399000	1.0
Chr1	1544500	0.4889
Chr1	1572000	0.369
Chr1	1582500	0.9711
Chr1	1606500	0.767
Chr1	1661000	0.6528
Chr1	1679500	0.6931
Chr1	1719500	0.9914
Chr1	1723500	0.946
Chr1	1731000	0.7585
Chr1	1743500	0.4521
Chr1	1753000	0.921
