Chrom	Strt	End	Relative Read Coverage	Sample
chr1	1	100000	2.325	shattered
chr1	100001	200000	2.464	shattered
chr1	200001	300000	2.419	shattered
chr1	300001	400000	2.184	shattered
chr1	400001	500000	2.095	shattered
chr1	500001	600000	2.65	shattered
chr1	600001	700000	2.162	shattered
chr1	700001	800000	2.333	shattered
chr1	800001	900000	2.291	shattered
chr1	900001	1000000	3.07	shattered
chr1	1000001	1100000	2.342	shattered
chr1	1100001	1200000	2.669	shattered
chr1	1200001	1300000	2.363	shattered
chr1	1300001	1400000	2.544	shattered
chr1	1400001	1500000	1.807	shattered
chr1	1500001	1600000	2.67	shattered
chr1	1600001	1700000	2.222	shattered
chr1	1700001	1800000	2.636	shattered
chr1	1800001	1900000	2.777	shattered
chr1	1900001	2000000	2.349	shattered
chr1	2000001	2100000	2.008	shattered
chr1	2100001	2200000	2.249	shattered
chr1	2200001	2300000	2.225	shattered
chr1	2300001	2400000	2.404	shattered
chr1	2400001	2500000	2.849	shattered
chr1	2500001	2600000	2.39	shattered
chr1	2600001	2700000	2.521	shattered
chr1	2700001	2800000	1.979	shattered
chr1	2800001	2900000	3.017	shattered
chr1	2900001	3000000	2.271	shattered
chr1	3000001	3100000	2.25	shattered
chr1	3100001	3200000	2.116	shattered
chr1	3200001	3300000	2.128	shattered
chr1	3300001	3400000	2.34	shattered
chr1	3400001	3500000	2.228	shattered
chr1	3500001	3600000	2.889	shattered
chr1	3600001	3700000	2.478	shattered
chr1	3700001	3800000	2.599	shattered
chr1	3800001	3900000	2.643	shattered
chr1	3900001	4000000	2.712	shattered
chr1	4000001	4100000	2.307	shattered
chr1	4100001	4200000	2.851	shattered
chr1	4200001	4300000	2.043	shattered
chr1	4300001	4400000	2.009	shattered
chr1	4400001	4500000	2.346	shattered
chr1	4500001	4600000	1.975	shattered
chr1	4600001	4700000	2.475	shattered
chr1	4700001	4800000	2.104	shattered
chr1	4800001	4900000	2.325	shattered
chr1	4900001	5000000	2.095	shattered
chr1	5000001	5100000	1.902	shattered
chr1	5100001	5200000	2.342	shattered
chr1	5200001	5300000	2.081	shattered
chr1	5300001	5400000	2.054	shattered
chr1	5400001	5500000	2.523	shattered
chr1	5500001	5600000	2.452	shattered
chr1	5600001	5700000	2.821	shattered
chr1	5700001	5800000	2.484	shattered
chr1	5800001	5900000	2.651	shattered
chr1	5900001	6000000	2.88	shattered
chr1	6000001	6100000	2.872	shattered
chr1	6100001	6200000	2.405	shattered
chr1	6200001	6300000	2.697	shattered
chr1	6300001	6400000	2.674	shattered
chr1	6400001	6500000	3.044	shattered
chr1	6500001	6600000	3.014	shattered
chr1	6600001	6700000	2.835	shattered
chr1	6700001	6800000	2.577	shattered
chr1	6800001	6900000	2.37	shattered
chr1	6900001	7000000	2.398	shattered
chr1	7000001	7100000	2.588	shattered
chr1	7100001	7200000	2.666	shattered
chr1	7200001	7300000	2.684	shattered
chr1	7300001	7400000	2.636	shattered
chr1	7400001	7500000	1.993	shattered
chr1	7500001	7600000	2.268	shattered
chr1	7600001	7700000	2.375	shattered
chr1	7700001	7800000	2.385	shattered
chr1	7800001	7900000	2.226	shattered
chr1	7900001	8000000	2.699	shattered
chr1	8000001	8100000	2.284	shattered
chr1	8100001	8200000	1.963	shattered
chr1	8200001	8300000	2.326	shattered
chr1	8300001	8400000	2.542	shattered
chr1	8400001	8500000	2.179	shattered
