Chrom	Pos	EnrichmentRatio
Chr1	74736	0.5861
Chr1	103308	0.3711
Chr1	7675238	0.5897
Chr1	152232	0.6952
Chr1	3799279	0.9887
Chr1	170065	0.6338
Chr1	193815	0.6718
Chr1	1595066	0.4437
Chr1	211851	0.6852
Chr1	9629726	0.5514
Chr1	2169571	0.6305
Chr1	12582061	0.6342
Chr1	9153882	0.7726
Chr1	2460974	0.6648
Chr1	325017	0.9371
Chr1	369123	0.3775
Chr1	2527850	0.4038
Chr1	10486563	0.5256
Chr1	420421	0.6279
Chr1	681656	0.8701
Chr1	6529672	0.7033
Chr1	6071470	0.7257
Chr1	539570	0.5758
Chr1	1901393	0.7707
Chr1	565836	0.6866
Chr1	597354	0.8588
Chr1	7196899	0.4548
Chr1	664710	0.754
Chr1	689314	0.8505
Chr1	9504742	0.7069
Chr1	705273	0.7681
Chr1	11046861	0.3572
Chr1	729413	0.6936
Chr1	774736	0.709
Chr1	795795	0.8119
Chr1	834184	0.9332
Chr1	857928	0.8535
Chr1	929914	0.3846
Chr1	955357	0.5117
Chr1	956766	0.4079
Chr1	964281	0.7706
Chr1	10833237	0.8857
Chr1	9206062	0.5034
Chr1	1076591	0.7611
Chr1	1103918	0.4796
Chr1	9119092	0.7186
Chr1	1131954	0.3273
Chr1	4644681	0.7776
Chr1	2654551	0.8404
Chr1	1184146	0.7376
Chr1	2939512	0.9609
Chr1	2580175	0.901
Chr1	7586102	0.9737
Chr1	1259557	0.8236
Chr1	1263578	0.9303
Chr1	1280140	0.4629
Chr1	1281537	0.6026
Chr1	5638426	0.1141
Chr1	1285065	0.7716
Chr1	1289574	0.7828
Chr1	1292044	0.7969
Chr1	9064933	0.6366
Chr1	10905467	0.7792
Chr1	1384409	0.7809
Chr1	7515880	0.4836
Chr1	3356715	0.7064
Chr1	7320466	0.4986
Chr1	1583081	0.9408
Chr1	5710943	0.9129
Chr1	1661091	0.6528
Chr1	1679911	0.6931
Chr1	1719805	1.0
Chr1	1723819	0.8877
Chr1	1731344	0.7646
Chr1	1743940	0.4961
Chr1	1753226	0.9436
Chr1	6433970	0.8093
Chr1	11978778	0.407
Chr1	1786614	0.8614
Chr1	1813837	0.8324
Chr1	9483409	0.48
Chr1	5315118	0.8439
Chr1	5739542	0.9179
Chr1	10436436	0.9082
Chr1	1855037	0.7488
Chr1	13206585	0.4553
Chr1	5363450	0.5525
Chr1	3572709	0.6779
Chr1	7735271	0.411
Chr1	1928359	0.7982
Chr1	1947383	0.6563
Chr1	1971732	0.7551
Chr1	1988307	0.9921
Chr1	4702035	0.1932
Chr1	9626757	0.5643
Chr1	11376685	0.4825
Chr1	5446868	0.7626
Chr1	5641895	0.2012
Chr1	11903838	0.6
Chr1	3599794	0.7693
Chr1	7479941	0.6297
Chr1	2490952	0.7373
Chr1	2518353	0.4069
Chr1	3658001	0.9212
Chr1	6214915	0.7859
Chr1	3820324	0.7641
Chr1	10225421	0.3307
