Chrom	Pos	EnrichmentRatio
Chr1	53500	1.0
Chr1	74500	0.83
Chr1	103000	0.7734
Chr1	151500	0.66
Chr1	152000	0.6799
Chr1	167500	0.6757
Chr1	169500	0.6953
Chr1	193500	0.9537
Chr1	201000	1.0
Chr1	211500	0.6852
Chr1	213000	0.6721
Chr1	271500	1.0
Chr1	286500	0.9359
Chr1	320000	1.0
Chr1	324500	1.0
Chr1	369000	0.5924
Chr1	385500	1.0
Chr1	420000	1.0
Chr1	465500	0.5756
Chr1	506500	0.2531
Chr1	537000	0.7191
Chr1	539000	0.6321
Chr1	541500	0.6479
Chr1	545500	0.6221
Chr1	559500	0.6269
Chr1	565500	0.8864
Chr1	597000	1.0
Chr1	627500	1.0
Chr1	662000	1.0
Chr1	664500	1.0
Chr1	689000	1.0
Chr1	704000	0.9234
Chr1	705000	1.0
Chr1	729000	0.8526
Chr1	774500	1.0
Chr1	791500	0.8794
Chr1	795500	1.0
Chr1	834000	0.9332
Chr1	857500	1.0
Chr1	929500	0.4646
Chr1	955000	0.8657
Chr1	956500	0.4885
Chr1	964000	1.0
Chr1	1072000	1.0
Chr1	1076500	1.0
Chr1	1103500	0.4999
Chr1	1117500	0.9742
Chr1	1131500	0.3273
Chr1	1141500	0.891
Chr1	1170000	0.3024
Chr1	1184000	1.0
Chr1	1186000	1.0
Chr1	1188500	1.0
Chr1	1196500	0.8645
Chr1	1254000	0.6233
Chr1	1259500	1.0
Chr1	1263000	1.0
Chr1	1280000	0.4489
Chr1	1281000	0.5489
Chr1	1284500	0.763
Chr1	1285000	0.7716
Chr1	1289500	0.9039
Chr1	1291500	0.8646
Chr1	1342500	0.6163
Chr1	1344000	0.7313
Chr1	1384000	0.7585
Chr1	1399000	1.0
Chr1	1544500	0.7471
Chr1	1572000	0.3827
Chr1	1582500	1.0
Chr1	1606500	0.767
Chr1	1661000	1.0
Chr1	1679500	1.0
Chr1	1719500	1.0
Chr1	1723500	0.946
Chr1	1731000	1.0
Chr1	1743500	0.4521
Chr1	1753000	1.0
Chr1	1764500	1.0
Chr1	1773500	1.0
Chr1	1786000	1.0
Chr1	1813500	1.0
Chr1	1814500	1.0
Chr1	1821500	0.6675
Chr1	1825000	0.8753
Chr1	1848500	0.6456
Chr1	1854500	0.8877
Chr1	1867500	1.0
Chr1	1869500	1.0
Chr1	1928000	0.8266
Chr1	1934000	0.5072
Chr1	1947000	1.0
Chr1	1971500	1.0
Chr1	1988000	1.0
Chr1	2022500	0.8832
Chr1	2036000	1.0
Chr1	2043000	0.9714
Chr1	2115500	1.0
Chr1	2141000	0.8635
Chr1	2147500	0.4686
Chr1	2169000	0.5888
Chr1	2231000	0.6431
Chr1	2238000	0.9924
Chr1	2372000	0.8223
Chr1	2442000	1.0
Chr1	2484000	1.0
Chr1	2490500	0.877
Chr1	2518000	0.4422
Chr1	2548500	0.8564
Chr1	2564500	0.4729
Chr1	2569000	0.6619
Chr1	2575000	0.9239
Chr1	2579000	1.0
Chr1	2587000	0.8234
Chr1	2608000	0.999
Chr1	2622500	1.0
Chr1	2689500	0.8383
Chr1	2718500	0.9702
Chr1	2731500	1.0
Chr1	2938500	1.0
Chr1	3017000	0.7418
Chr1	3123000	1.0
Chr1	3141500	1.0
Chr1	3143000	1.0
Chr1	3235000	0.939
Chr1	3242000	0.6367
Chr1	3250000	0.7643
Chr1	3264500	0.9236
Chr1	3327500	0.6876
Chr1	3367000	0.7028
Chr1	3391500	1.0
Chr1	3408500	1.0
Chr1	3454000	0.7307
Chr1	3456500	0.8877
Chr1	3496000	0.9234
Chr1	3503000	1.0
Chr1	3513000	0.8437
Chr1	3525500	0.491
Chr1	3534500	1.0
Chr1	3572500	1.0
Chr1	3581500	0.744
Chr1	3582000	0.744
Chr1	3585500	0.9466
Chr1	3614000	1.0
Chr1	3624500	0.9079
Chr1	3630500	0.7887
Chr1	3631000	0.7887
Chr1	3713500	0.8907
Chr1	3733500	0.8014
Chr1	3740500	1.0
Chr1	3747000	1.0
Chr1	3847000	0.7944
Chr1	3847500	0.7444
Chr1	3861500	0.953
Chr1	3862000	1.0
Chr1	3871500	0.6609
Chr1	3893000	0.4218
Chr1	3908500	0.7516
Chr1	3937500	0.3193
Chr1	3970500	1.0
Chr1	3989500	0.9854
Chr1	4120500	1.0
Chr1	4127000	1.0
Chr1	4146500	1.0
Chr1	4189500	0.3502
Chr1	4202500	1.0
Chr1	4219000	0.6488
Chr1	4243500	0.6428
Chr1	4244500	0.6905
Chr1	4355500	0.9129
Chr1	4414000	0.2355
Chr1	4456000	1.0
Chr1	4461000	0.6878
Chr1	4529500	0.2018
Chr1	4548000	0.8331
Chr1	4613000	1.0
Chr1	4633000	0.8004
Chr1	4645000	1.0
Chr1	4653500	0.0922
Chr1	4670500	1.0
Chr1	4704000	0.1932
Chr1	4740500	1.0
Chr1	4753000	0.8886
Chr1	4753500	0.8698
Chr1	4787000	0.752
Chr1	4788000	0.8978
Chr1	4806500	0.6228
Chr1	4811000	0.5877
Chr1	4818000	0.4798
Chr1	4822000	0.4364
Chr1	4835000	0.7081
Chr1	4919000	1.0
Chr1	4954500	0.9268
Chr1	4969000	0.9899
Chr1	5005500	0.4758
Chr1	5109000	1.0
Chr1	5141500	0.6018
Chr1	5150500	0.4868
Chr1	5165000	0.7901
Chr1	5171500	1.0
Chr1	5182500	0.9963
Chr1	5210500	1.0
Chr1	5249500	1.0
Chr1	5363000	0.5701
Chr1	5418500	1.0
Chr1	5419000	1.0
Chr1	5498500	1.0
Chr1	5513000	1.0
Chr1	5540000	1.0
Chr1	5547500	0.8135
Chr1	5575000	0.8153
Chr1	5628000	1.0
Chr1	5635500	0.1636
Chr1	5662000	0.6034
Chr1	5714000	1.0
Chr1	5816000	0.7001
Chr1	5846500	1.0
Chr1	5858000	1.0
Chr1	5869500	0.7165
Chr1	5942500	0.8141
Chr1	5956500	1.0
Chr1	5989000	1.0
Chr1	6057000	0.8583
Chr1	6062000	0.5853
Chr1	6066500	0.6997
Chr1	6069000	0.8181
Chr1	6082000	1.0
Chr1	6114500	0.713
Chr1	6148000	1.0
Chr1	6216500	1.0
Chr1	6253500	0.9426
Chr1	6303500	0.957
Chr1	6322500	0.8394
Chr1	6369500	0.8893
Chr1	6371000	0.8461
Chr1	6488000	0.5721
Chr1	6565500	0.9929
Chr1	6608000	1.0
Chr1	6671500	0.4245
Chr1	6718500	0.4652
Chr1	6764500	0.7345
Chr1	6789000	0.6556
Chr1	7068500	0.9053
Chr1	7136000	0.5313
Chr1	7185500	1.0
Chr1	7215500	0.9591
Chr1	7244500	0.5357
Chr1	7280500	0.5022
Chr1	7287500	1.0
Chr1	7312000	0.97
Chr1	7375500	1.0
Chr1	7387500	0.5251
Chr1	7430000	0.5922
Chr1	7593000	1.0
Chr1	7649500	1.0
Chr1	7650000	1.0
Chr1	7655500	1.0
Chr1	7684000	0.767
Chr1	7774500	0.8476
Chr1	7780000	0.6499
Chr1	7891500	0.7902
Chr1	7925000	1.0
Chr1	7951500	0.9117
Chr1	8025000	1.0
Chr1	8047500	1.0
Chr1	8158500	0.3226
Chr1	8284000	0.8123
Chr1	8302500	1.0
Chr1	8351000	1.0
Chr1	8362500	0.8448
Chr1	8493000	0.2605
Chr1	8651500	0.5323
Chr1	8674000	1.0
Chr1	8721500	0.3871
Chr1	8909000	0.7184
Chr1	8910000	0.6993
Chr1	8998500	0.6303
Chr1	9017500	0.6044
Chr1	9063000	0.549
Chr1	9075000	0.9695
Chr1	9346000	0.2019
Chr1	9636500	0.8513
Chr1	9788000	0.2718
Chr1	10042000	1.0
Chr1	10394500	0.5703
Chr1	10486000	0.5819
Chr1	10560000	0.1862
Chr1	10686500	1.0
Chr1	10950000	0.4458
Chr1	11116000	0.5981
Chr1	11241000	0.6749
Chr1	11282000	0.2981
Chr1	11739000	0.7058
Chr1	11787000	0.6954
Chr1	11880500	0.7464
Chr1	16447500	0.6464
Chr1	19172000	1.0
Chr1	19721500	0.8242
Chr1	24225000	0.7503
Chr1	28993500	0.3614
Chr1	30070000	1.0
Chr2	2500	0.1886
Chr2	3000	0.1886
Chr2	601000	0.3162
Chr2	1771000	0.4327
Chr2	2656000	0.2129
Chr2	6658500	0.171
Chr2	7581000	0.3377
Chr2	12800500	0.4049
Chr3	7286500	0.1974
Chr3	8322500	0.9668
Chr3	9982000	0.9007
Chr3	10495500	0.4661
Chr3	12054500	0.7875
Chr3	14248000	0.7288
Chr3	14973500	0.6263
Chr3	22515000	1.0
Chr4	1806500	0.478
Chr4	2509500	0.779
Chr4	2596500	0.5172
Chr4	9954000	0.3591
Chr4	9957500	0.1479
Chr4	12809000	0.9568
Chr5	9461000	0.7172
Chr5	15927000	1.0
Chr1	6826500	0.6621
Chr1	2513000	1.0
Chr1	5000000	0.4186
Chr1	7675000	0.6135
Chr1	5669000	1.0
Chr1	3799000	1.0
Chr1	11606500	1.0
Chr1	3506000	1.0
Chr1	1594500	0.4282
Chr1	13142000	0.514
Chr1	9629500	0.5643
Chr1	2169500	0.6076
Chr1	12582000	0.5682
Chr1	9153500	0.7444
Chr1	2460500	1.0
Chr1	3713000	0.9907
Chr1	8124500	1.0
Chr1	2527500	0.4843
Chr1	9485000	0.8287
Chr1	681000	1.0
Chr1	681500	1.0
Chr1	6529500	1.0
Chr1	6071000	0.719
Chr1	6484000	0.496
Chr1	9420000	0.8854
Chr1	9097000	0.7838
Chr1	1901000	1.0
Chr1	4292500	0.4941
Chr1	4173500	0.5666
Chr1	7196500	0.4909
Chr1	5638000	0.1141
Chr1	9207500	0.8575
Chr1	1033500	0.9582
Chr1	9504500	1.0
Chr1	12122500	0.9851
Chr1	11046500	0.8751
Chr1	12360500	0.5172
Chr1	3714500	0.802
Chr1	4625500	0.6715
Chr1	3843000	1.0
Chr1	3388500	1.0
Chr1	4163500	0.7946
Chr1	9145500	1.0
Chr1	10933000	0.4357
Chr1	1297000	0.8442
Chr1	8523000	0.7517
Chr1	10833000	0.862
Chr1	5843500	1.0
Chr1	10571500	0.2025
Chr1	9118500	0.7235
Chr1	5636000	0.1141
Chr1	4644500	1.0
Chr1	2654500	1.0
Chr1	11813500	0.1971
Chr1	2939500	1.0
Chr1	2580000	1.0
Chr1	7585500	1.0
Chr1	9162000	0.9054
Chr1	7938500	0.3561
Chr1	7111000	0.6212
Chr1	1328000	1.0
Chr1	4823000	0.3547
Chr1	2409500	1.0
Chr1	9064500	0.4197
Chr1	10905000	0.7792
Chr1	10284000	1.0
Chr1	7515500	0.635
Chr1	3356500	0.8232
Chr1	7320000	0.4986
Chr1	12623500	0.1635
Chr1	5710500	1.0
Chr1	5071000	0.447
Chr1	5340000	0.6936
Chr1	3883000	0.4643
Chr1	6208000	1.0
Chr1	8506000	1.0
Chr1	2890500	0.8226
Chr1	7634500	0.6487
Chr1	6433500	1.0
Chr1	11978500	0.6971
Chr1	4230000	0.5434
Chr1	4240000	1.0
Chr1	9483000	0.8287
Chr1	5315000	0.8438
Chr1	5739000	1.0
Chr1	10436000	1.0
Chr1	2683000	0.7482
Chr1	7735000	0.411
Chr1	5108500	1.0
Chr1	11717000	0.777
Chr1	6489500	0.6343
Chr1	12157000	0.5763
Chr1	9170000	0.8185
Chr1	4701500	0.1932
Chr1	9626500	0.5573
Chr1	11376500	0.501
Chr1	5446500	0.7626
Chr1	11450000	0.6224
Chr1	5641500	0.2012
Chr1	11903500	0.6857
Chr1	3599500	1.0
Chr1	3882000	0.4798
Chr1	10739000	1.0
Chr1	7479500	1.0
Chr1	3702000	0.9629
Chr1	11923500	0.6203
Chr1	3657500	1.0
Chr1	6214500	1.0
Chr1	5554000	1.0
Chr1	3820000	1.0
Chr1	10225000	0.2851
Chr1	14296500	0.4345
Chr1	8662000	0.7635
Chr1	13074000	0.524
Chr1	10297000	1.0
Chr1	9211000	1.0
Chr1	6357000	1.0
Chr1	9468000	0.5485
Chr1	10222500	0.5197
Chr1	6046000	1.0
Chr1	6167500	0.866
Chr1	12396500	0.7061
Chr1	12353500	1.0
Chr1	13158500	0.4777
Chr1	10359000	0.6368
Chr1	11530000	0.5852
Chr1	10352500	1.0
Chr1	4479500	0.8584
Chr1	3694500	1.0
Chr1	3797500	1.0
Chr1	3648500	1.0
Chr1	10221000	0.6135
Chr1	6434500	1.0
Chr1	6831000	0.6671
Chr1	6086500	0.9942
Chr1	10428500	0.8519
Chr1	3808500	0.9803
Chr1	10901500	0.7115
Chr1	9696500	1.0
Chr1	3632000	0.7887
Chr1	6355500	1.0
Chr1	9959500	0.2526
Chr1	4717000	0.7514
Chr1	9144000	1.0
Chr1	5138500	0.6045
Chr1	5941000	0.8905
Chr1	4007000	1.0
Chr1	11576000	0.2607
Chr1	11242000	0.5316
Chr1	11142000	0.6235
Chr1	9033500	1.0
Chr1	6286500	1.0
Chr1	9288500	0.6582
Chr1	7101500	1.0
Chr1	6254500	0.9719
Chr1	6255000	0.9719
Chr1	5179500	1.0
Chr1	10738000	1.0
Chr1	9555000	0.7675
Chr1	11712000	0.48
Chr1	10945500	1.0
Chr1	8386500	0.4485
Chr1	10383500	0.6851
Chr1	10054500	0.9441
Chr1	7509500	0.4343
Chr1	10314000	1.0
Chr1	6501000	0.8606
Chr1	9210000	1.0
Chr1	13899500	0.5242
Chr1	11292000	1.0
Chr1	8572500	0.8821
Chr1	9846500	0.5131
Chr1	8695500	0.2227
Chr1	7334000	0.426
Chr1	9605000	1.0
Chr1	10062500	1.0
Chr1	8466000	1.0
Chr1	9481000	0.987
Chr1	11673500	0.9187
Chr1	8371000	0.9629
Chr1	9533500	1.0
Chr1	11769000	1.0
Chr1	11122000	0.7571
Chr1	10247500	0.2626
Chr1	12868000	0.6912
Chr1	8982500	0.1957
Chr1	8507000	1.0
Chr1	10158000	0.2355
Chr1	5465000	0.9226
Chr1	9040000	1.0
Chr1	9457000	0.281
Chr1	6265500	0.5693
Chr1	7592500	1.0
Chr1	11469500	1.0
Chr1	11470000	1.0
Chr1	9600500	1.0
Chr1	6124000	0.7423
Chr1	10797500	0.4901
Chr1	10740500	1.0
Chr1	8867000	1.0
Chr1	10050000	1.0
Chr1	9731000	0.6762
Chr1	13206500	0.4553
Chr1	11846500	0.848
Chr1	10964500	0.6156
Chr1	6136500	0.6564
Chr1	8658500	0.5026
Chr1	7293500	0.9773
Chr1	7906500	0.3845
Chr1	11668000	0.477
Chr1	12386000	0.2206
Chr1	13055000	0.81
Chr1	13054000	0.8369
Chr1	6143500	0.8957
Chr1	9603500	1.0
Chr1	9815000	0.2585
Chr1	6571500	0.6413
Chr1	7914500	0.5083
Chr1	10388000	0.3887
Chr1	8346500	1.0
Chr1	9937500	1.0
Chr1	10108500	1.0
Chr1	7591500	1.0
Chr1	8679000	1.0
Chr1	7545500	0.5703
Chr1	7154500	0.9199
Chr1	10469500	1.0
Chr1	7430500	0.5922
Chr1	6319000	0.8169
Chr1	9455500	0.406
Chr1	8445000	1.0
Chr1	6331500	0.8559
Chr1	10986500	0.4213
Chr1	7022500	0.7743
Chr1	7043500	0.4524
Chr1	7454500	0.3061
Chr1	9117500	0.8235
Chr1	10791000	1.0
Chr1	12549000	1.0
Chr1	10722000	0.6198
Chr1	9827500	0.4876
Chr1	8663500	0.9141
Chr1	9714500	0.9544
Chr1	7503500	0.4436
Chr1	9359500	0.3691
Chr1	9360000	0.3695
Chr1	10446000	1.0
Chr1	9493500	0.8091
Chr1	11259000	0.8858
Chr1	7434500	0.5627
Chr1	11873500	0.8244
Chr1	9554000	0.6675
Chr1	10907000	0.6646
Chr1	8705000	0.7276
Chr1	8973000	1.0
Chr1	9421000	0.644
Chr1	9648000	0.5661
Chr1	8720500	0.3254
Chr1	11113500	0.2508
Chr1	12383500	0.026
Chr1	8281000	0.6763
Chr1	9607500	1.0
Chr1	9095000	0.7991
Chr1	12158500	0.5593
Chr1	9003500	0.6664
Chr1	9889500	0.6557
Chr1	9453000	0.5658
Chr1	8525000	0.7458
Chr1	9266500	0.1222
Chr1	12167000	0.5806
Chr1	11057000	0.6069
Chr1	10219500	0.5863
Chr1	10819000	1.0
Chr1	15607500	0.6258
Chr1	9716500	0.9376
Chr1	11238000	1.0
Chr1	10312500	1.0
Chr1	10609500	0.885
Chr1	10580000	0.506
Chr1	11372500	0.7491
Chr1	10569500	0.2025
Chr1	13980500	0.3403
Chr1	11467000	1.0
Chr1	10785000	1.0
Chr1	12592000	0.8179
Chr1	13072000	0.3784
Chr1	12157500	0.552
Chr1	12495500	0.4841
Chr1	12196500	0.1597
Chr1	12144000	1.0
Chr1	13071000	0.4293
Chr2	8038500	0.3828
Chr3	10542500	0.4763
Chr4	5706000	0.1999
Chr4	1458500	0.7386
Chr4	1783000	0.1926
Chr5	20936500	0.6772
Chr3	14195500	0.0862
Chr3	14196500	0.0862
Chr2	603500	0.3513
Chr3	8232500	0.2076
Chr2	4536000	0.3384
Chr2	6664000	0.1657
Chr2	7584000	0.4559
Chr2	12803000	0.4819
Chr4	1549500	1.0
Chr5	1342000	0.4477
Chr5	1482500	0.8386
Chr3	16688500	0.503
Chr3	13212500	0.6629
Chr3	14251500	0.7472
Chr3	14988500	0.3158
Chr4	3684000	0.817
Chr4	2895500	0.6617
Chr4	14105000	0.3041
Chr4	2602500	0.5198
Chr5	9570500	0.7242
Chr5	14836500	1.0
Chr4	18268000	0.7715
Chr5	9463500	1.0
Chr5	16688000	1.0
