Chrom1	Chrom1_binstart	Chrom2	Chrom2_binstart	Gaetan_aa_C_102	LC_C_1_21_ctrl	LC_C_22_36_ctrl2	CNV_related	Size
Chr1	53500	Chr1	6826500	48	0	0	Two	Tr
Chr1	74500	Chr1	2513000	20	0	0	Two	Tr
Chr1	103000	Chr1	5000000	38	0	0	Two	Tr
Chr1	151500	Chr1	7675000	45	0	0	Two	Tr
Chr1	152000	Chr1	5669000	23	0	0	Two	Tr
Chr1	167500	Chr1	3799000	23	0	0	Two	Tr
Chr1	169500	Chr1	11606500	22	0	0	Two	Tr
Chr1	193500	Chr1	3506000	24	0	0	Two	Tr
Chr1	201000	Chr1	1594500	27	0	0	Two	Tr
Chr1	211500	Chr1	13142000	23	0	0	Two	Tr
Chr1	213000	Chr1	9629500	27	0	0	Two	Tr
Chr1	271500	Chr1	2169000	28	0	0	Two	Tr
Chr1	271500	Chr1	2169500	20	0	0	Two	Tr
Chr1	271500	Chr1	12582000	56	0	0	Two	Tr
Chr1	286500	Chr1	9153500	47	0	0	Two	Tr
Chr1	320000	Chr1	2460500	49	0	0	Two	Tr
Chr1	324500	Chr1	3713000	36	0	0	Two	Tr
Chr1	369000	Chr1	8124500	24	0	0	Two	Tr
Chr1	385500	Chr1	2527500	22	0	0	Two	Tr
Chr1	420000	Chr1	9485000	28	0	0	Two	Tr
Chr1	465500	Chr1	681000	21	0	0	Two	Tr
Chr1	465500	Chr1	681500	31	0	0	Two	Tr
Chr1	506500	Chr1	6529500	27	0	0	Two	Tr
Chr1	537000	Chr1	6071000	29	0	0	Two	Tr
Chr1	539000	Chr1	6484000	32	0	0	Two	Tr
Chr1	541500	Chr1	9420000	42	0	0	Two	Tr
Chr1	545500	Chr1	9097000	26	0	0	Two	Tr
Chr1	559500	Chr1	1901000	30	0	0	Two	Tr
Chr1	565500	Chr1	4292500	23	0	0	Two	Tr
Chr1	597000	Chr1	4173500	51	0	0	Two	Tr
Chr1	627500	Chr1	7196500	23	0	0	Two	Tr
Chr1	662000	Chr1	5638000	24	0	0	Two	Tr
Chr1	664500	Chr1	9207500	29	0	0	Two	Tr
Chr1	689000	Chr1	1033500	22	0	0	Two	Tr
Chr1	704000	Chr1	9504500	23	0	0	Two	Tr
Chr1	705000	Chr1	12122500	49	0	0	Two	Tr
Chr1	729000	Chr1	11046500	30	0	0	Two	Tr
Chr1	729000	Chr1	12360500	32	0	0	Two	Tr
Chr1	774500	Chr1	3714500	46	0	0	Two	Tr
Chr1	791500	Chr1	4625500	36	0	0	Two	Tr
Chr1	795500	Chr1	3843000	30	0	0	Two	Tr
Chr1	834000	Chr1	3388500	22	0	0	Two	Tr
Chr1	857500	Chr1	4163500	34	0	0	Two	Tr
Chr1	929500	Chr1	9145500	26	0	0	Two	Tr
Chr1	955000	Chr1	10933000	51	0	0	Two	Tr
Chr1	956500	Chr1	1297000	45	0	0	Two	Tr
Chr1	964000	Chr1	8523000	30	0	0	Two	Tr
Chr1	1072000	Chr1	10833000	29	0	0	Two	Tr
Chr1	1076500	Chr1	5843500	26	0	0	Two	Tr
Chr1	1103500	Chr1	10571500	28	0	0	Two	Tr
Chr1	1117500	Chr1	9118500	21	0	0	Two	Tr
Chr1	1131500	Chr1	5636000	31	0	0	Two	Tr
Chr1	1141500	Chr1	4644500	24	0	0	Two	Tr
Chr1	1170000	Chr1	2654500	22	0	0	Two	Tr
Chr1	1184000	Chr1	11813500	25	0	0	Two	Tr
Chr1	1186000	Chr1	2939500	35	0	0	Two	Tr
Chr1	1188500	Chr1	2580000	34	0	0	Two	Tr
Chr1	1196500	Chr1	7585500	28	0	0	Two	Tr
Chr1	1254000	Chr1	9162000	23	0	0	Two	Tr
Chr1	1259500	Chr1	7938500	29	0	0	Two	Tr
Chr1	1263000	Chr1	7111000	24	0	0	Two	Tr
Chr1	1280000	Chr1	1328000	39	0	0	Two	Tr
Chr1	1281000	Chr1	5638000	26	0	0	Two	Tr
Chr1	1284500	Chr1	4823000	31	0	0	Two	Tr
Chr1	1285000	Chr1	4823000	22	0	0	Two	Tr
Chr1	1289500	Chr1	2409500	26	0	0	Two	Tr
Chr1	1291500	Chr1	3141500	30	0	0	Two	Tr
Chr1	1342500	Chr1	9064500	54	0	0	Two	Tr
Chr1	1344000	Chr1	10905000	39	0	0	Two	Tr
Chr1	1384000	Chr1	10284000	32	0	0	Two	Tr
Chr1	1399000	Chr1	7515500	34	0	0	Two	Tr
Chr1	1544500	Chr1	3356500	20	0	0	Two	Tr
Chr1	1572000	Chr1	7320000	43	0	0	Two	Tr
Chr1	1582500	Chr1	12623500	27	0	0	Two	Tr
Chr1	1606500	Chr1	5710500	25	0	0	Two	Tr
Chr1	1661000	Chr1	5071000	22	0	0	Two	Tr
Chr1	1679500	Chr1	5340000	36	0	0	Two	Tr
Chr1	1719500	Chr1	3883000	28	0	0	Two	Tr
Chr1	1723500	Chr1	6208000	30	0	0	Two	Tr
Chr1	1731000	Chr1	8506000	28	0	0	Two	Tr
Chr1	1743500	Chr1	2890500	21	0	0	Two	Tr
Chr1	1753000	Chr1	7634500	21	0	0	Two	Tr
Chr1	1764500	Chr1	6433500	28	0	0	Two	Tr
Chr1	1773500	Chr1	11978500	31	0	0	Two	Tr
Chr1	1786000	Chr1	4230000	23	0	0	Two	Tr
Chr1	1813500	Chr1	4240000	35	0	0	Two	Tr
Chr1	1814500	Chr1	9483000	22	0	0	Two	Tr
Chr1	1821500	Chr1	5315000	27	0	0	Two	Tr
Chr1	1825000	Chr1	5739000	25	0	0	Two	Tr
Chr1	1848500	Chr1	10436000	49	0	0	Two	Tr
Chr1	1854500	Chr1	2683000	26	0	0	Two	Tr
Chr1	1867500	Chr1	5363000	34	0	0	Two	Tr
Chr1	1869500	Chr1	7735000	31	0	0	Two	Tr
Chr1	1928000	Chr1	5108500	32	0	0	Two	Tr
Chr1	1934000	Chr1	11717000	37	0	0	Two	Tr
Chr1	1947000	Chr1	6489500	24	0	0	Two	Tr
Chr1	1971500	Chr1	12157000	47	0	0	Two	Tr
Chr1	1988000	Chr1	9170000	30	0	0	Two	Tr
Chr1	2022500	Chr1	4701500	22	0	0	Two	Tr
Chr1	2036000	Chr1	9626500	27	0	0	Two	Tr
Chr1	2043000	Chr1	11376500	45	0	0	Two	Tr
Chr1	2115500	Chr1	5446500	24	0	0	Two	Tr
Chr1	2141000	Chr1	11450000	24	0	0	Two	Tr
Chr1	2147500	Chr1	5641500	33	0	0	Two	Tr
Chr1	2169000	Chr1	12582000	28	0	0	Two	Tr
Chr1	2231000	Chr1	11903500	25	0	0	Two	Tr
Chr1	2238000	Chr1	3599500	22	0	0	Two	Tr
Chr1	2372000	Chr1	3882000	23	0	0	Two	Tr
Chr1	2442000	Chr1	10739000	27	0	0	Two	Tr
Chr1	2484000	Chr1	7479500	27	0	0	Two	Tr
Chr1	2490500	Chr1	3702000	22	0	0	Two	Tr
Chr1	2518000	Chr1	11923500	26	0	0	Two	Tr
Chr1	2548500	Chr1	3657500	34	0	0	Two	Tr
