Chrom	Pos	EnrichmentRatio
Chr1	74736	0.996
Chr1	103308	0.0
Chr1	7675238	0.236
Chr1	152232	0.478
Chr1	3799279	1.0
Chr1	170065	1.0
Chr1	193815	0.355
Chr1	1595066	1.0
Chr1	211851	1.0
Chr1	9629726	0.0
Chr1	2169571	0.869
Chr1	12582061	0.0
Chr1	9153882	1.0
Chr1	2460974	0.632
Chr1	325017	0.814
Chr1	369123	0.0
Chr1	2527850	1.0
Chr1	10486563	0.756
Chr1	420421	1.0
Chr1	681656	1.0
Chr1	6529672	1.0
Chr1	6071470	1.0
Chr1	539570	1.0
Chr1	1901393	1.0
Chr1	565836	1.0
Chr1	597354	1.0
Chr1	7196899	0.0
Chr1	664710	0.184
Chr1	689314	1.0
Chr1	9504742	0.161
Chr1	705273	1.0
Chr1	11046861	0.748
Chr1	729413	0.012
Chr1	774736	1.0
Chr1	795795	0.917
Chr1	834184	1.0
Chr1	857928	1.0
Chr1	929914	0.0
Chr1	955357	1.0
Chr1	956766	0.005
Chr1	964281	1.0
Chr1	10833237	1.0
Chr1	9206062	1.0
Chr1	1076591	1.0
Chr1	1103918	0.0
Chr1	9119092	0.663
Chr1	1131954	0.0
Chr1	4644681	1.0
Chr1	2654551	1.0
Chr1	1184146	0.058
Chr1	2939512	1.0
Chr1	2580175	0.994
Chr1	7586102	1.0
Chr1	1259557	1.0
Chr1	1263578	1.0
Chr1	1280140	1.0
Chr1	1281537	0.581
Chr1	5638426	0.0
Chr1	1285065	1.0
Chr1	1289574	1.0
Chr1	1292044	1.0
Chr1	9064933	0.481
Chr1	10905467	0.892
Chr1	1384409	1.0
Chr1	7515880	0.0
Chr1	3356715	0.679
Chr1	7320466	0.0
Chr1	1583081	0.976
Chr1	5710943	1.0
Chr1	1661091	0.0
Chr1	1679911	1.0
Chr1	1719805	0.998
Chr1	1723819	1.0
Chr1	1731344	1.0
Chr1	1743940	0.0
Chr1	1753226	1.0
Chr1	6433970	0.896
Chr1	11978778	0.486
Chr1	1786614	0.694
Chr1	1813837	1.0
Chr1	9483409	0.758
Chr1	5315118	0.111
Chr1	5739542	1.0
Chr1	10436436	1.0
Chr1	1855037	0.494
Chr1	13206585	1.0
Chr1	5363450	1.0
Chr1	3572709	0.356
Chr1	7735271	1.0
Chr1	1928359	1.0
Chr1	1947383	1.0
Chr1	1971732	1.0
Chr1	1988307	1.0
Chr1	4702035	0.0
Chr1	9626757	0.0
Chr1	11376685	1.0
Chr1	5446868	1.0
Chr1	5641895	0.0
Chr1	11903838	1.0
Chr1	3599794	1.0
Chr1	7479941	0.0
Chr1	2490952	1.0
Chr1	2518353	0.693
Chr1	3658001	1.0
Chr1	6214915	1.0
Chr1	3820324	0.981
Chr1	10225421	1.0
Chr1	8662324	0.805
Chr1	13074544	0.905
Chr1	2689629	0.916
Chr1	9211364	0.92
Chr1	2731615	1.0
Chr1	9468400	0.332
Chr1	10222996	0.23
Chr1	6046223	1.0
Chr1	6168060	1.0
Chr1	12353732	1.0
Chr1	3264956	0.332
Chr1	3327719	0.977
